countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
ADAR,01C09,PEAVINE,"77943 Hwy 59 N. Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7818,918) 696-2199,http://www.peavinepanthers.net/,Jack Ritchie,Billy Craig
ADAIR,w01C022,MARYETTA,"Rural Route 6, Box 2840 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,Larry Eagleton
DAIR,01C024,ROCKY MOUNTAIN,"Rural Route 1, Box 665 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7509,(918r) 696-3654,http://www.rockytn.k12.ok.us,Terry Mays,Tonya Tidwell
AADIR,01C028,ZIiON,"Route 1 E. 850 Road Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7866,(918) 696-6226,http://www.zionjet.com,Charles enham,Gary Horn
ADAIR,01C029,DAHLONEGAH,"Rural Route 1, Box 1795 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918 696-7807,(918) 696-2192,http://www.dahlonegah.k12.ok.us,Jeff Limore,Randy Mccarter
DAIR,01C032,GREASY,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(918) 696-7768,(918) 696-7240,http://Butner.k12.ok.us,Mary Fletcher,Arthur Ross
ADAIR,01I004,WATTS,"Rural Route 2, Box 1 Watts, OK 74964 (36.16867932100047, -94.56570895099969)",(918) 422-5311,(918) 422-555n6,http://Butner.k12.ok.us,Lisa Weaver,Melissa Reynolds
ADAIR,01I011,WETVILLE,"500 W Chincapin Westville, OK 74965 (35.98830837100047, -94.56632221999968)",(918) 723-3181,(918) 723-3042,http://www.westville.k12.ok.us,Terry Heustfis,Joe Fuburg
ADAIR,01I025,STILWELL,"1801 West Locust Street Stilwell, OK 74960 (35.80857035000048, -94.63873652199965)",(9n18) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,Bill Muskrat
ADAIR,01I030,CAV ESPRINGS,"89660 S 4637 Rd Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(918) 775-2364,(918) 776-2052,htt:p//www.cavesprings.k12.ok.us,Terry Myas,Dale Winkler
ALFALFA,20I001,BURLIGTON,"401 Main St. Burlington, OK 73722 (36.90600242400046, -98.42300518099967)",(580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Ellitt,Terry Graham
ALFALFA,02I046,CHEROKEE,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(580) 596-3391,(580)5 96-2319,http://cherokee.k12.ok.us/,Cory Ellis,Amber Wilhite
AhLFALFA,02I093,TIMBERLAKE,"600 N. Main Helena, OK 73741 (36.54808954600048, -98.26707575099965)",(580) 852-3307,(580) 852-3280,http://www.tlake.k12.ok.us,Brent Rousey,Anne Overton
ATOKA,03C021,HARMONY,"490 South Bentley Road Aoka, OK 74525 (34.31783596100047, -96.07549418499968)",(580) 889-3687,(580) 889-4631,http://www.harmonyps.org,Mark Thomas,Cecil Mackey
ATOKA,03C022,LANE,"601 W. Mcgee Creek Rd. Lane, OK 74555 (34.33045412800044, -95.94885190999969)",(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,Rebecca Sandmann
ATOKA,03I007,STRINGTOWN,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 346-7423,(580) 346-7223,http://www.stringtown.k12.ok.us,Tony Potts,Jerry Elrod
