yearvalue,statevalue,county,hai,facilityid(long),facilityname,facilitytype,notes
2020H1,California,Kern,Surgical Site Infections (SSI),120000555.0,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2002H1,California,Kern,Surgical Site Infections (SSI),120000413.0,Adventist Health Tehachapi Valley,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202H01,Californa,Los Angeles,Surgical Site Infjections (SSI),930000059.0,Adventist Health Glendale,"Community, >250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Modoc,Surgical Site Infections (SSI),230000011.0,Modoc Medical Center,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Laos Angeles,Surgical Site Infections (SSI),930000191.0,Adventist Health White Memorial,Major Teaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Trinity,Surgical Site Infections (SSI),230000022.0,Trinity Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2d020H1,Cailfornia,Glenn,Surgical Site Infections (SS),230000006.0,Glenn Medical Center,Critical Access,No surgeries in the 28 surgical procedure categoreis were performed in first half of 2020.
020H1,California,Ksern,Surgical Site Infections (SSI),120000555.0,Adventist Health Bakersfield,aMjor Teaching,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Mariposa,Surgical Site Infections (SSI),40000105.0,John C. Fremont Healthcare District,Critical Access,No surgeries in the 28 surgical procedure categorise were performed in first half of 2020.
2020H1,California,Santa Barbara,Surgical Site Infections (SSI),930000059.0,Santa Ynez Valley Cottage Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,ulare,Surgical Site Infections (SSI),930000059.0,Porterville Developmental Center,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgical Site Infections (SSI),120000555.0,Bear Valley Community Hospital,Critical Access,No surgeries in fthe 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Modoc,Surgical Site Infections (SSI),230000006.0,Surprise Valley Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Humboldt,Surgical Site Infections( SSI),930000059.0,Jerold Phelps Community Hospital,Critical Access,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),930000191.0,College Hospital Costa Mesa,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Califofrnia,San Joaquin,Surgical Site Infections (SSI),120000413.0,Adventist Health Lodi Memorial,"Community, 125-250 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Los Angeles,Surgical Site Infections (SSI),230000011.0,Barlow Respiratory Hospital,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first hlf of 2020.
2020H1,California,Orange,Surgical Site Infections (SSI),230000006.0,"Kindred Hospital, Westminster",Long-Term Acute Care,Nos urgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Californai,Kern,Surgical Site Infections (SSI),120000319.0,"Good Samaritan Hospital, Bakersfield","Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),90000048.0,"Kindred Hospital, San Diego",Longh-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,Humboldt,Surgical Site Infections (SSI),230000006.0,The General Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,Californqia,Shasta,Surgical Site Infections (SSI),930000059.0,Vibra Hospital of Northern California,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in firs half of 2020.
2020H1,California,Riverside,Surgical Site Infections (SSI),230000022.0,"Kindred Hospital, Riverside",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed i first half of 2020.
2002H1,California,aNpa,Surgical Site Infections (SSI),40000105.0,Adventist Health St. Helena,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Diego,Surgical Site Infections (SSI),230000006.0,Select Specialty Hospital - San Diego,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
202l0H1,California,Los Angeles,Surgical Site Infections S(SI),40000105.0,Encompass Health Rehabilitation Hospital of Bakersfield,Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Benardino,Surgical Site Infections s(SSI),120000555.0,"Kindred Hospital, Ontario",Long-Term Acute Care,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
o2020H1,California,Los Angeles,Surgical Site Infections (SSI),930000064.0,Southern California Hospital at Hollywood,"Community, <125 Beds",No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
200H1,California,Fresno,Surgical Site Infections (SSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,No surgeries in the 28 surgical procedure categories were performed in first half of 2020.
2020H1,California,San Bernardino,Surgica Site Infections (SSI),930000191.0,Ballard Rehabilitation Hospital,Free-Standing Rehabiltation,No surgeries in the 28 surgical procedure categories were performed in first hlaf of 2020.
2020H1,California,Sacramento,Surgical Site Infections (SSI),30000907.0,Vibra Hospital of Sacramento,tLong-Term Acute Care,No surgeries in the 28 surgical procedure categories were xperformed in first half of 2020.
