objectid(long),datevalue,countvalue(double precision)
1,03/27/2020 10:00:00 AM,25.0
2,03/28/2020 10:00:00 AM,32.0
3,03/29/2020 10:00:00 AM,39.0
4,03/30/2020 10:00:00 AM,43.0
5,03/31/2020 10:00:00 AM,53.0
6,04/01/2020 10:00:00 AM,22373.85023147554
7,04/02/2020 10:00:00 AM,81.0
8,04/03/2020 10:00:00 AM,-3446.5625484217235
9,04/04/2020 10:00:00 AM,159.0
10,04/05/2020 10:00:00 AM,159.0
11,04/06/2020 10:00:00 AM,184.0
12,04/07/2020 10:00:00 AM,288.0
13,04/08/2020 10:00:00 AM,365.0
14,04/09/2020 10:00:00 AM,376.0
15,04/10/2020 10:00:00 AM,397.0
16,04/11/2020 10:00:00 AM,431.0
17,04/12/2020 10:00:00 AM,456.0
18,04/13/2020 10:00:00 AM,603.0
19,04/14/2020 10:00:00 AM,607.0
20,04/15/2020 10:00:00 AM,607.0
21,04/16/2020 10:00:00 AM,-3632.7144053735774
22,04/17/2020 10:00:00 AM,736.0
23,04/18/2020 10:00:00 AM,771.0
24,04/19/2020 10:00:00 AM,914.0
25,04/20/2020 10:00:00 AM,917.0
1292,04/21/2020 10:00:00 AM,930.0
27,04/22/2020 10:00:00 AM,981.0
28,04/23/2020 10:00:00 AM,1040.0
29,04/24/2020 10:00:00 AM,1108.0
1263,04/25/2020 10:00:00 AM,1165.0
31,04/26/2020 10:00:00 AM,22053.072706303985
32,04/27/2020 10:00:00 AM,-3515.703613570166
33,04/28/2020 10:00:00 AM,1295.0
34,04/29/2020 10:00:00 AM,1361.0
35,04/30/2020 10:00:00 AM,1432.0
36,05/01/2020 10:00:00 AM,1517.0
37,05/02/2020 10:00:00 AM,1590.0
38,05/03/2020 10:00:00 AM,24721.832322903887
39,05/04/2020 10:00:00 AM,1695.0
40,05/05/2020 10:00:00 AM,26996.731044403623
1384,05/06/2020 10:00:00 AM,1903.0
42,05/07/2020 10:00:00 AM,2029.0
43,05/08/2020 10:00:00 AM,2041.0
44,05/09/2020 10:00:00 AM,2159.0
45,05/10/2020 10:00:00 AM,2293.0
46,05/11/2020 10:00:00 AM,2298.0
47,05/12/2020 10:00:00 AM,24137.670338340988
1378,05/13/2020 10:00:00 AM,2456.0
49,05/14/2020 10:00:00 AM,2569.0
50,05/15/2020 10:00:00 AM,2685.0
51,05/16/2020 10:00:00 AM,2806.0
1311,05/17/2020 10:00:00 AM,2816.0
53,05/18/2020 10:00:00 AM,2817.0
54,05/19/2020 10:00:00 AM,2868.0
55,05/20/2020 10:00:00 AM,2993.0
1251,05/21/2020 10:00:00 AM,3099.0
57,05/22/2020 10:00:00 AM,3243.0
58,05/23/2020 10:00:00 AM,3283.0
59,05/24/2020 10:00:00 AM,3319.0
60,05/25/2020 10:00:00 AM,3329.0
61,05/26/2020 10:00:00 AM,3334.0
62,05/27/2020 10:00:00 AM,3401.0
63,05/28/2020 10:00:00 AM,3468.0
64,05/29/2020 10:00:00 AM,3571.0
65,05/30/2020 10:00:00 AM,3649.0
66,05/31/2020 10:00:00 AM,3764.0
67,06/01/2020 10:00:00 AM,3782.0
68,06/02/2020 10:00:00 AM,-3689.2830951414953
69,06/03/2020 10:00:00 AM,3970.0
70,06/04/2020 10:00:00 AM,3985.0
71,06/05/2020 10:00:00 AM,4159.0
72,06/06/2020 10:00:00 AM,25455.48243302818
73,06/07/2020 10:00:00 AM,4240.0
74,06/08/2020 10:00:00 AM,4240.0
75,06/09/2020 10:00:00 AM,4279.0
76,06/10/2020 10:00:00 AM,4310.0
77,06/11/2020 10:00:00 AM,23812.39686177231
78,06/12/2020 10:00:00 AM,4474.0
79,06/13/2020 10:00:00 AM,4536.0
80,06/14/2020 10:00:00 AM,4541.0
81,06/15/2020 10:00:00 AM,-3476.0993953601564
82,06/16/2020 10:00:00 AM,4579.0
83,06/17/2020 10:00:00 AM,4596.0
84,06/18/2020 10:00:00 AM,4640.0
85,06/19/2020 10:00:00 AM,4685.0
86,06/20/2020 10:00:00 AM,25204.904921610432
87,06/21/2020 10:00:00 AM,28467.493096815917
88,06/22/2020 10:00:00 AM,4776.0
89,06/23/2020 10:00:00 AM,4797.0
90,06/24/2020 10:00:00 AM,4810.0
91,06/25/2020 10:00:00 AM,4874.0
92,06/26/2020 10:00:00 AM,4903.0
93,06/27/2020 10:00:00 AM,4935.0
94,06/28/2020 10:00:00 AM,4976.0
95,06/29/2020 10:00:00 AM,4979.0
96,06/30/2020 10:00:00 AM,4982.0
97,07/01/2020 10:00:00 AM,5001.0
98,07/02/2020 10:00:00 AM,5013.0
99,07/03/2020 10:00:00 AM,5023.0
100,07/04/2020 10:00:00 AM,5025.0
101,07/05/2020 10:00:00 AM,5029.0
102,07/06/2020 10:00:00 AM,27135.96827558073
103,07/07/2020 10:00:00 AM,27835.96567182727
104,07/08/2020 10:00:00 AM,20521.319919223817
105,07/09/2020 10:00:00 AM,5132.0
106,07/10/2020 10:00:00 AM,5132.0
107,07/11/2020 10:00:00 AM,28110.089431067277
108,07/12/2020 10:00:00 AM,5230.0
109,07/13/2020 10:00:00 AM,5230.0
110,07/14/2020 10:00:00 AM,5238.0
111,07/15/2020 10:00:00 AM,5238.0
112,07/16/2020 10:00:00 AM,5286.0
113,07/17/2020 10:00:00 AM,5286.0
1440,07/18/2020 10:00:00 AM,26156.11190185321
115,07/19/2020 10:00:00 AM,5344.0
116,07/20/2020 10:00:00 AM,5344.0
117,07/21/2020 10:00:00 AM,5380.0
118,07/22/2020 10:00:00 AM,5434.0
119,07/23/2020 10:00:00 AM,5434.0
120,07/24/2020 10:00:00 AM,5434.0
121,07/25/2020 10:00:00 AM,5434.0
122,07/26/2020 10:00:00 AM,5434.0
123,07/27/2020 10:00:00 AM,5434.0
124,07/28/2020 10:00:00 AM,5592.0
125,07/29/2020 10:00:00 AM,5592.0
126,07/30/2020 10:00:00 AM,5592.0
127,07/31/2020 10:00:00 AM,21176.06542047428
128,08/01/2020 10:00:00 AM,5713.0
129,08/02/2020 10:00:00 AM,23046.569671920945
130,08/03/2020 10:00:00 AM,5740.0
131,08/04/2020 10:00:00 AM,5740.0
132,08/05/2020 10:00:00 AM,5749.0
133,08/06/2020 10:00:00 AM,5790.0
134,08/07/2020 10:00:00 AM,5838.0
135,08/08/2020 10:00:00 AM,5899.0
136,08/09/2020 10:00:00 AM,5910.0
137,08/10/2020 10:00:00 AM,25385.93354344657
1419,08/11/2020 10:00:00 AM,5935.0
139,08/12/2020 10:00:00 AM,5956.0
140,08/13/2020 10:00:00 AM,5962.0
