HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Tot_Benes_2017,Avg_Spndng_Per_Dsg_Unt_2017,Avg_Spndng_Per_Clm_2017,Avg_Spndng_Per_Bene_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spndng_Per_Dsg_Unt_2018,Avg_Spndng_Per_Clm_2018,Avg_Spndng_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Avg_DY21_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_20_21,CAGR_Avg_Spnd_Per_Dsg_Unt_17_21
J9271,Inj pembrolizumab,Keytruda,Pembrolizumab,1033716692.7,22526012,109885,21816,45.889911303,9407.259341,47383.42009,0,1813727266.8,41818943,201492,35491,43.370949543,9001.485254,51103.864834,0,2673427541,60934811,293728,49743,43.873567458,9101.7115868,53744.799086,0,3500947569.2,77271995.6,355684,58699,45.306809304,9842.8593054,59642.371576,0,3966530837.1,85837941,373954,62830,46.209529153,10607.00203,63131.160864,0,51.59175,0.0199245955,0.0017366913
J0178,Aflibercept injection,Eylea,Aflibercept,2465832791.8,2566135,1162647,229369,960.913121,2120.8782991,10750.505917,0,2573938386.9,2730000.6,1228011,240910,942.83436674,2096.0222562,10684.232232,0,2911408262.2,3123465,1391256,268296,932.1084956,2092.647408,10851.47845,0,3013081886.1,3269214,1435329,284454,921.65330446,2099.2273451,10592.510164,0,3415890772,3758278,1635603,309699,908.89784418,2088.4595908,11029.711985,0,918.74375,-0.01383976,-0.013816488
J0897,Denosumab injection,Prolia*,Denosumab*,1238722483.2,74787572.9,952934,470360,16.563212779,1299.9037532,2633.5625546,0,1416968972.8,84040684.1,1078076,533286,16.860512119,1314.3497979,2657.0526373,0,1605208840.2,91759929,1192252,589684,17.493571079,1346.3670769,2722.1509151,0,1626844122.8,88865339.3,1161150,588171,18.306846467,1401.0628453,2765.9373257,0,1780811014.6,92793533.6,1241745,629724,19.191111121,1434.1197385,2827.9230498,0,20.5905,0.0483024018,0.0375018619
J9299,"Injection, nivolumab",Opdivo,Nivolumab,1470525369.1,57093050,221210,29076,25.756644094,6647.6441803,50575.229368,0,1715907187.9,69929329,239434,32846,24.537732772,7166.5143126,52240.978747,0,1782346827.6,71949143,212722,29910,24.772314906,8378.7611417,59590.331915,0,1586591103.3,62072115,175292,25352,25.560448574,9051.1324152,62582.482776,0,1573611852.5,60628423,173365,25426,25.955018697,9076.8716439,61889.870705,0,28.6965,0.0154367449,0.0019199339
J9144,"Daratumumab, hyaluronidase",Darzalex Faspro,Daratumumab-Hyaluronidase-Fihj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046702029.9,23552901,121256,12490,44.44047168,8632.166902,83803.204953,0,44.45875,,
J2778,Ranibizumab injection,Lucentis,Ranibizumab,1037747583.7,2787520.4,524318,105197,372.28340417,1979.2331823,9864.8020733,0,1215701656.3,3300831.3,618921,123389,368.30166278,1964.2275126,9852.5934754,0,1266791097.4,3602289.6,673557,130748,351.66275842,1880.7481733,9688.7990438,0,1113026179.7,3336914,611396,120647,333.54955499,1820.4668983,9225.4774651,0,1044929993.3,3331899,604786,114432,313.61394608,1727.7681582,9131.4491868,0,315.129,-0.059768057,-0.041967102
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,700099533.24,15128695,201046,24409,46.276267268,3482.285314,28682.024386,0,799286086.56,16664951,219711,26726,47.962102412,3637.8974496,29906.68587,0,920274114.78,18334361,241954,29031,50.193956298,3803.5085792,31699.704274,0,1023001524,19061371,251054,29764,53.66883232,4074.8266269,34370.431528,0,988943741.63,20110414.6,265060,31429,49.175701312,3731.0184171,31465.962698,0,51.3225,-0.08371956,0.0153085897
J9312,"Inj., rituximab, 10 mg",Rituxan,Rituximab,,,,,,,,,,,,,,,,,1738104061.4,20078216.2,243181,70203,86.566657319,7147.367851,24758.259068,0,1295821132.6,15169179.8,180696,56467,85.424601046,7171.2773532,22948.290729,0,765560205.64,9456541.3,110130,36383,80.955624404,6951.4229151,21041.700949,0,88.92225,-0.052314867,-0.032951647
J9022,"Inj, atezolizumab,10 mg",Tecentriq,Atezolizumab,,,,,,,,,240758211.62,3234972,25775,4896,74.423584383,9340.7647573,49174.471328,0,463581621.68,6509453,53252,9952,71.216678526,8705.4311891,46581.75459,0,624194083.89,8710906,71233,12416,71.656620321,8762.709473,50273.363715,0,656074898.54,9137003,73736,12580,71.804168012,8897.6198674,52152.21769,0,78.9675,0.0020590936,-0.011872414
J1300,Eculizumab injection,Soliris,Eculizumab,311737717.75,1413310,11662,776,220.57278145,26731.068234,401723.86308,0,395796137.25,1980607,16063,1161,199.83577623,24640.237642,340909.67894,0,534927999.87,2683148,21014,1585,199.3658195,25455.791371,337494.00623,0,610425467.6,3001668,22954,1651,203.36208655,26593.424571,369730.74961,0,642451165.87,3123579,24343,1645,205.67789893,26391.618365,390547.8212,0,229.8445,0.0113876309,-0.017327219
J2350,"Injection, ocrelizumab, 1 mg",Ocrevus,Ocrelizumab,,,,,,,,,488832129.59,8851591,18758,9704,55.225340799,26059.928009,50374.292002,0,623281824.81,11209184,22777,11802,55.604567184,27364.526707,52811.542519,0,618708735.8,11219545,21151,11895,55.145617385,29251.98505,52014.185439,0,608203406.64,11909212,21970,12327,51.069995785,27683.359428,49339.126036,0,57.85925,-0.073906537,-0.025737906
J3380,"Injection, vedolizumab",Entyvio,Vedolizumab,182585693.88,10281022,34179,6759,17.759488685,5342.0431809,27013.714141,0,243007130.94,14114303,46859,8882,17.217083333,5185.9222548,27359.505848,0,333606943.18,18697028,62169,11479,17.842779247,5366.130116,29062.369821,0,434481708.94,23568155,78242,13751,18.435117596,5553.0496273,31596.371823,0,526528196.47,27759023.1,92268,15742,18.967821547,5706.5092607,33447.350811,0,20.827,0.0288961515,0.0165921441
