OBJECTID,NAMELSAD,Households_Total,Households_Total_Less_than__10_,Households_Total__10_000_to__14,Households_Total__15_000_to__24,Households_Total__25_000_to__34,Households_Total__35_000_to__49,Households_Total__50_000_to__74,Households_Total__75_000_to__99,Households_Total__100_000_to__1,Households_Total__150_000_to__1,Households_Total__200_000_or_mo,Households_Median_income__dolla,Households_Mean_income__dollars,Families_Total,Families_Total_Less_than__10_00,Families_Total__10_000_to__14_9,Families_Total__15_000_to__24_9,Families_Total__25_000_to__34_9,Families_Total__35_000_to__49_9,Families_Total__50_000_to__74_9,Families_Total__75_000_to__99_9,Families_Total__100_000_to__149,Families_Total__150_000_to__199,Families_Total__200_000_or_more,Families_Median_income__dollars,Families_Mean_income__dollars_,Marriedcouple_families_Total,Marriedcouple_families_Total_Le,Marriedcouple_families_Total__1,Marriedcouple_families_Total__2,Marriedcouple_families_Total__3,Marriedcouple_families_Total__4,Marriedcouple_families_Total__5,Marriedcouple_families_Total__7,Marriedcouple_families_Total__6,Marriedcouple_families_Total__8,Marriedcouple_families_Total__9,Marriedcouple_families_Median_i,Nonfamily_households_Total,Nonfamily_households_Total_Less,Nonfamily_households_Total__10_,Nonfamily_households_Total__15_,Nonfamily_households_Total__25_,Nonfamily_households_Total__35_,Nonfamily_households_Total__50_,Nonfamily_households_Total__75_,Nonfamily_households_Total__100,Nonfamily_households_Total__150,Nonfamily_households_Total__200,Nonfamily_households_Median_inc,Nonfamily_households_Mean_incom,City,Shape__Length_1,Shape__Area_1,Shape__Area,Shape__Length
26,Census Tract 1152,875,9.7,3.2,8.8,8.8,14.9,26.3,13.1,9.8,5.4,0,53550,59974,662,7.9,0.5,11.3,8.8,11,30.8,9.7,13,7.1,0,57857,64359,346,1.7,0.9,8.1,4,10.7,35,3.5,22.5,13.6,0,61250,213,15.5,11.7,3.3,22.1,17.8,15.5,14.1,0,0,0,34526,39839,Phoenix,,,78198937.1694946,41155.2678667775
27,Census Tract 1162.02,1303,2,3.1,2.5,3.9,21.3,26.9,22,11.3,3.5,3.4,66350,75343,998,2.6,0,1.8,4.3,24.3,23.4,25.7,11.2,3.3,3.3,69853,76132,687,0,0,2.6,1.2,17.5,28.8,29.4,12.7,4.8,3.1,74957,305,0,13.4,4.9,2.6,19.7,43.3,9.8,2,4.3,0,55676,56750,Phoenix,,,15649986.8012695,16780.6655695962
28,Census Tract 2180,2539,2.4,1.4,6.7,4.8,8.5,14.9,18,24.6,9.3,9.3,83944,104557,1325,0,0,4.3,2.3,11.4,8.6,15.8,35.2,9.9,12.5,103700,127422,811,0,0,0,3.7,10.9,8.8,15.7,26.3,16,18.7,104304,1214,5.1,2.9,9.4,7.6,5.4,21.8,24.4,16.3,1.3,5.8,69813,74454,Scottsdale,,,28271814.6586914,21258.3393836072
29,Census Tract 2183,2801,11,3.4,9,6,15,20.9,16.9,12,2.1,3.6,54954,64121,570,8.4,0,5.4,13,9.3,19.3,12.5,7.7,6.7,17.7,69677,91648,235,8.5,0,1.3,0,13.6,29.8,0,18.7,16.2,11.9,,2231,13,4.3,9.4,4.3,16.5,20.6,18.7,13,0.3,0,52575,56275,Scottsdale,,,24115584.4991455,21028.8475123818
30,Census Tract 8102,1555,2.4,0,3.2,8.3,13.1,11.8,10.8,16.6,11.5,22.4,103672,120721,824,0,0,1.8,9.1,6.8,11.4,14.8,20.3,20.1,15.7,110455,131642,653,0,0,2.3,8.4,8.6,9,10.9,15.6,25.4,19.8,124650,731,5.1,0,4.8,7.4,20.1,12.9,6.4,11.6,1.8,30,,107715,Chandler,,,13955537.4269409,15879.804045677
31,Census Tract 1162.04,1302,4.5,2.1,1.5,5.2,15.4,26.4,26,15.7,1.2,2,62105,70473,875,5,0,14.2,5.3,10.6,19.4,27.9,12.9,1.7,3,60859,69102,458,3.7,0,0,0,15.1,28.6,30.6,15.1,1.3,5.7,87659,427,3.5,6.3,4.7,5.2,25.1,15,25.3,15,0,0,54514,62581,Phoenix,,,27613828.4667358,21024.2932790776
32,Census Tract 1162.05,1715,5.2,1,11.1,9,18.3,27.4,14.6,11.4,1.9,0,53561,59218,942,1.9,0.8,10.5,10,14,30.8,11,18.3,2.7,0,58125,67162,468,2.4,0,13.2,3.8,9.6,22.9,18.2,24.6,5.3,0,69063,773,9.3,1.2,13.2,7.9,22.1,23.3,18.9,3.1,1,0,45804,48980,Phoenix,,,12434664.1566162,15665.7717739233
33,Census Tract 3184,2292,8.3,3.1,4.6,2.9,14.8,26.4,6,28.5,4.9,0.6,63418,75065,901,4.3,5.7,3.6,0,11.4,24.8,12.3,33.3,3.1,1.6,75112,82484,505,7.7,0,3.4,0,6.5,25.5,4.8,43.8,5.5,2.8,115625,1391,10.9,5.1,5.2,4.7,17,23.7,1.9,25.4,6,0,53719,67808,Tempe,,,87937379.6088867,47888.9575699405
34,Census Tract 3187,1599,21.3,3.9,6,10.3,6.6,17,10.2,12.6,4.9,7.1,55388,86226,327,19,0,0,1.2,3.1,6.7,3.7,15.9,22.3,28.1,150057,218561,246,2.8,0,0,0,1.6,7.3,4.9,21.1,29.7,32.5,151136,1272,23,3.8,7.5,12.7,7.5,19.7,11.9,11.7,0.5,1.7,41574,51494,Tempe,,,26363290.491333,21051.8811438211
35,Census Tract 1167.08,2492,1.1,0,5.7,13.8,12.2,15,19.8,20.7,5.3,6.4,77553,88957,1273,0,0,3.1,9,12.3,18.5,23.5,18.9,9.4,5.3,79388,93978,980,0,0,0,10,5.3,16.8,28.8,22.3,9.9,6.8,88258,1219,2.2,0,8.3,18.8,12.1,16.1,14.9,18.9,3,5.7,59717,80223,Phoenix,,,36246623.217041,22674.723784341
36,Census Tract 1167.09,1297,12,0,15,1.1,12.4,15.5,20.2,15.2,5.6,3.2,62656,71844,523,11.5,0,17,1,7.3,11.1,17.4,24.3,5,5.5,75669,80641,319,15,0,6.3,1.6,11.9,2.5,10.7,34.8,8.2,9.1,103977,774,13.8,0,13.6,1.2,15.9,17.8,22.1,8.1,5.9,1.6,58382,64644,Phoenix,,,11699354.2033691,15267.540803626
37,Census Tract 1167.17,1528,5.4,3.9,13.1,12.6,13.4,22.3,16.2,9.9,2.2,1,51008,59024,693,1.4,8.7,27.7,1.4,5.8,25.1,14.3,10.7,4.9,0,60364,58163,310,0,7.7,35.8,0,0,14.2,21.3,10,11,0,60735,835,8.6,0,1,21.9,19.6,26.3,11.4,9.3,0,1.8,47336,58430,Phoenix,,,11556852.4810181,15095.773035252
38,Census Tract 3193,1042,24.2,5.1,7.2,14,9.4,19.4,15.2,2.2,3.4,0,34375,42127,450,5.6,4.2,4.9,26,7.8,31.3,12.4,5.1,2.7,0,50700,51050,309,4.5,6.1,7.1,16.5,11.3,32,14.6,3.9,3.9,0,57523,592,38.3,5.7,9,10,10.6,5.2,17.2,0,3.9,0,,33860,Tempe,,,11764585.7858276,17170.5496509198
39,Census Tract 3194.01,2538,10.8,2.3,3.5,12.5,10.5,17.2,11.4,21.5,8.2,2.1,64375,75551,1500,9.8,1.5,0.5,14.5,9.7,12.8,12.3,26.2,10.5,2.2,77159,84405,885,2,2.5,0.9,22.8,0,9,14.7,30.2,17.9,0,97813,1038,12.1,3.6,7.9,11,15.6,19.7,10.1,18.1,0,1.9,47409,59258,Tempe,,,28771553.7687988,21983.6827266161
40,Census Tract 3194.02,1653,6.5,1.1,3.4,3.9,5.4,27.3,20.8,15.8,10.2,5.5,77626,89647,1171,1.6,0.9,3.3,3.1,1.2,29.7,24.8,17.8,12.7,4.9,79545,98192,980,1.9,1.1,2.1,2.6,0.7,25.9,25.1,19.5,15.2,5.8,82115,482,18.5,1.5,3.5,8.3,17.2,27.2,8.1,7.1,3.1,5.6,50446,62616,Tempe,,,28212223.7845459,20979.7179480112
41,Census Tract 2181,963,8.3,3.4,0.6,17.7,5.6,13,8.7,17.9,16,8.8,80250,97551,447,0,6.3,0,5.1,8.1,10.1,10.5,29.1,18.8,12.1,122986,124030,331,0,0,0,4.5,4.2,3.6,14.2,33.8,23.3,16.3,134531,516,15.5,1,1.2,28.5,3.5,17.4,6.4,13.4,7.2,6,52708,71735,Scottsdale,,,10473438.625,13159.9793794995
42,Census Tract 3199.07,806,0.1,0.7,0.7,1,3.2,12.9,6.9,30,9.7,34.6,144054,177622,632,0.2,0,0,1.3,4.1,13.1,5.5,35.8,7.6,32.4,143480,179639,572,0.2,0,0,0,4,8.9,6.1,38.6,7.5,34.6,144088,174,0,3.4,3.4,0,0,12.1,12.1,12.1,17.2,39.7,152143,165260,Tempe,,,27802122.7484741,21111.7145017241
43,Census Tract 9413,2417,12.7,7.9,17.2,13.8,13.3,19.2,9.2,4,1.1,1.7,33663,44777,1485,6.9,3.8,17.4,16.8,16.6,19.1,10.1,5.5,1.8,2,40586,51337,497,0,0,17.3,0,22.1,29.4,19.5,6.2,5.4,0,59135,932,26.2,12.1,14.9,8.9,11.5,19.3,5.9,0,0,1.2,22656,32050,Unincorporated Maricopa County,,,2369341435.16705,259565.935776209
44,Census Tract 2182,3142,2.7,2.4,3.1,10.3,8.7,12.8,10.3,28.8,7.1,13.8,99593,110390,1065,0,1.5,3,2.6,17.4,15.7,10.9,21.6,11.1,16.2,96302,121249,766,0,2.1,2.6,0,9.1,12.1,15.1,20.9,15.4,22.6,128447,2077,4.1,2.8,3.1,14.2,4.2,11.4,10,32.5,5.1,12.6,100341,104532,Scottsdale,,,27827176.0415649,21093.9268661699
45,Census Tract 3185.01,1625,3.3,1.4,12.9,13.5,13.1,26.2,17,3,5.3,4.3,59861,68943,540,0,2.4,11.5,11.3,13.7,11.3,41.9,1.3,4.3,2.4,72000,76167,322,0,1.6,0,13,6.2,6.8,59,2.2,7.1,4,84750,1085,5,1.6,12.9,14.6,12.8,34.7,4.7,2.8,5.8,5.3,53592,64659,Tempe,,,14180941.0993042,18761.0131847842
46,Census Tract 3200.02,1614,17.3,5.2,19.3,0.9,9.9,19.7,9.1,10.7,0,7.9,45114,67226,1222,15.2,2.1,14.2,2.1,10.5,20.6,11.4,13.4,0,10.5,54897,80698,699,2.7,3.7,7,1.1,13.4,30.6,7.2,17.2,0,17,65078,392,24,14.8,35.2,1.8,6.4,17.9,0,0,0,0,16146,23310,Guadalupe,,,22270621.4349976,22202.4651987452
47,Census Tract 4212.01,2468,4.8,1.6,5.8,8.5,15.7,20.3,19.7,18,0.6,5,63271,96915,1034,5.2,0,3.5,6.1,20.1,20.2,12.4,25.2,1.5,5.7,64500,123762,517,2.9,0,4.4,0,10.4,25.1,5,37.5,3.1,11.4,102019,1434,7.3,2.8,7.5,10.2,17.2,20.3,17.6,12.8,0,4.5,53906,73759,Mesa,,,50521442.0529785,34745.2854672747
48,Census Tract 4221.04,2322,10.5,6.2,9.9,16.9,19.1,12.1,17.4,5.4,1.8,0.8,37376,50753,1153,2.4,2.7,10.8,12.4,21.4,12.9,25.4,7.9,2.4,1.6,57740,64323,677,0,0,6.8,16.4,26.4,7.7,27.3,8.6,4.1,2.7,63021,1169,19.8,10.9,9,21.3,16.9,12.2,6.8,3.3,0,0,33179,34115,Mesa,,,16390597.9245605,17044.7808486489
49,Census Tract 3196,2454,8.7,5.9,8,7.3,14.3,17,10.9,14.6,7.9,5.3,60598,79082,1211,4.8,9.7,7.8,1.7,4.2,17.3,9.2,23.2,13,9,87279,102188,779,0,7.4,0,0,6.5,18.9,8.5,25.8,18.9,14,121793,1243,15.5,2.2,12.7,9.7,19.8,21.4,9.3,6.3,1.5,1.6,45931,52880,Tempe,,,27748950.3862915,21080.1727138693
50,Census Tract 4222.11,1110,4.7,5.1,1.4,4.5,11.2,10.3,20.4,30.9,3.3,8.2,79675,102091,784,4,2.8,1,0,10.1,12.8,24.7,30,4.7,9.9,91554,109277,669,0,3.3,0,0,11.8,14.9,23.6,32.1,5.5,8.7,91875,326,6.4,10.7,2.5,15.3,13.8,8.6,11.3,27.3,0,4,58500,81317,Other,,,27387690.8640137,20913.8533924474
51,Census Tract 4222.12,1624,0.6,0,3.5,2.8,7.5,28.6,11,26.3,10.3,9.5,92422,115881,1211,0,0,2.1,4,2.9,25.6,12.6,32.2,8.8,11.7,103219,125374,859,0,0,1.7,1.6,2.3,17.3,15,33.5,12.5,15.9,114531,413,2.2,0,10.2,5.1,20.8,28.8,8,10.9,10.9,3.1,67949,82226,Mesa,,,24342297.3128052,21131.5820941724
52,Census Tract 4222.13,935,3.3,2.5,3.3,6.7,9,12.8,14.3,30.6,10.4,7.1,90865,108793,607,0,0,3.1,7.1,6.4,14.2,19.3,31.8,14.3,3.8,99750,110270,442,0,0,0,7.7,7.9,12.4,20.8,34.6,11.3,5.2,103889,328,9.5,7,5.5,6.1,13.7,10.7,3,29.6,1.8,13.1,64722,103351,Mesa,,,14070377.2385864,16050.496529544
53,Census Tract 4222.18,1222,4.9,0,9.4,4,13.9,25.4,15.6,21.4,4.2,1.2,63778,72524,781,6.5,0,8.5,2.7,14.6,27,12.7,20.6,6.5,0.9,64009,74096,613,8.3,0,10.8,1.3,9.8,29.7,11.1,19.6,8.3,1.1,64231,441,2,0,12,6.3,11.8,22.4,20.9,24.5,0,0,59290,68299,Chandler,,,14581431.12677,16188.9824911572
54,Census Tract 3191.03,1994,16.3,5.6,7.1,9.1,14.2,33.4,3.8,5.7,3.3,1.6,48357,50991,322,0,0,16.8,0,45.7,19.6,0,12.7,5.3,0,47391,59275,201,0,0,26.9,0,39.3,31.3,0,2.5,0,0,39973,1672,19.5,6.7,5.2,10.8,10.9,33.2,4.5,4.3,2.9,1.9,42708,48437,Tempe,,,10301660.670105,15966.3755603729
55,Census Tract 3191.04,3829,16.3,6.4,8.4,6.3,8.8,19.4,18.6,11.5,1.9,2.4,53602,58877,836,2.5,6.7,7.1,5.4,16.5,16.4,26.6,14,0,4.9,71409,71722,401,2,0,14.7,7.7,3.7,8.7,32.7,20.2,0,10.2,83839,2993,20.1,6.3,8.8,6.5,9.2,20.2,13.9,10.8,2.4,1.7,49024,54301,Tempe,,,13859587.9542847,15774.0416545551
56,Census Tract 3192.01,2468,9.8,5.6,11.5,11.9,20.3,13.1,13.6,8.4,5.1,0.7,42784,55262,1168,8.4,2.7,15.3,18.9,20.4,13,9.3,10,2,0,37115,49112,499,0,0,10.4,8.2,32.1,21.8,7.2,15.6,4.6,0,44908,1300,17.7,10.5,12.8,8.5,7.8,10,16.4,8.1,6.8,1.3,37794,53822,Tempe,,,14258434.0300293,16009.5979049029
57,Census Tract 3192.02,2051,20.2,4.6,12.9,12,17,15.6,12.3,4.6,0.5,0.2,35194,41186,536,2.2,4.5,31.5,11,6.9,6.2,24.8,11.9,0,0.9,38611,54280,260,4.6,0,29.6,9.2,7.3,2.7,36.9,7.7,0,1.9,,1515,26.6,4.7,9.4,12.4,20.4,15.8,8.7,1.3,0.7,0,32425,34979,Tempe,,,14259437.4465942,16089.584551552
58,Census Tract 3197.05,1410,6,1.3,3.8,7.2,20.1,17.3,19.2,17.7,4.1,3.3,63019,75604,883,5.8,1.2,2.8,6.6,23.2,20.3,8.8,21.7,6.5,3.1,58393,77269,455,0,0,0,10.3,27,11.4,10.8,26.2,8.4,5.9,75917,527,6.5,1.5,8.5,8.2,11.6,27.5,22.8,11.4,2.1,0,60729,64534,Tempe,,,41369830.5723267,26004.0098039657
59,Census Tract 3197.06,1896,7,3.5,11.9,4.3,17.1,30.6,11.1,8.2,3.3,3,56037,63413,846,5.8,3,7.3,4.5,19.4,25.9,20.1,8.6,2,3.4,60385,70141,456,0,0,2.4,6.4,26.1,25.2,18,14,1.5,6.4,62308,1050,7.9,3.9,15.6,4.1,16.3,34.5,2.9,7.9,4.4,2.6,52054,57592,Tempe,,,14459750.9851074,16635.3238928591
60,Census Tract 3201,1782,8.5,1,7.9,5.8,10.3,19.7,11.3,16.6,12.5,6.5,71892,87307,457,0,2.2,6.1,2.8,10.7,12.7,23.2,16.2,14,12,91563,110042,270,0,0,4.8,0,0,10.4,25.6,17.4,21.5,20.4,146875,1325,11.5,0.5,8.5,6.9,13.2,20.9,9.3,12.8,11.9,4.5,56726,77218,Tempe,,,52850589.1242065,33373.8954536932
61,Census Tract 4213.03,1842,2.2,2.6,4.1,15.7,21.1,19.7,13.4,14.6,4.5,2.1,54722,70917,1275,3.2,1.9,1.9,18,22.2,14.7,17.5,15.6,2,3.1,53381,71457,728,0,0,1.4,12.1,15.7,15.1,23.5,26,3.4,2.9,86875,567,0,7.4,11.6,19.2,12.7,25.7,3,12,8.3,0,48281,63181,Mesa,,,19516901.6724854,21070.3220580596
62,Census Tract 3188,3641,7.9,3.2,11.8,14.1,16.2,19.5,11.5,9.9,3.4,2.6,44203,61763,1049,1.9,5.9,9.6,23.5,11.8,19.4,9.3,11.9,3,3.6,42341,62996,422,0,8.3,3.3,22.7,3.1,13,19.7,13.5,7.3,9,69615,2592,10.3,2.2,12.6,10.3,18.8,19.8,11.9,9,2.9,2.1,44406,60150,Tempe,,,28061243.8692017,21294.9264342438
63,Census Tract 3191.01,1427,32.7,8.5,10.7,17,19.5,5.8,2.4,1.5,0,2,23590,31971,194,16.5,0,6.2,22.2,33.5,15.5,0,6.2,0,0,38194,38452,49,0,0,24.5,28.6,0,22.4,0,24.5,0,0,,1233,36,9.8,11.4,16.1,16.5,4.3,2.8,0.7,0,2.4,20375,30521,Tempe,,,3558420.34759521,8618.28766779392
64,Census Tract 3189,2612,2.6,4.7,14.7,8.1,10.9,21.5,17.8,10.1,5.2,4.3,62463,72176,1014,2.9,2.6,11.4,7.6,12.3,25.7,13.2,11.5,3.6,9.1,63952,81435,610,0,1.8,12.6,3,8.4,26.2,14.4,12.5,6.1,15.1,65735,1598,4.3,6.1,14.9,10.5,12,18.3,19.6,7.7,5.4,1.3,53425,63444,Tempe,,,27863090.6742554,21120.8784451795
65,Census Tract 3194.03,1981,4.1,0.9,7.8,4.7,18.9,16.4,20.2,10.9,9.5,6.6,68961,86213,1124,0.8,1.6,0,8.5,20.4,10.4,21.4,15.5,14.5,7,89474,101632,744,0,1.5,0,1.5,17.9,13.8,25.1,13.3,16.3,10.6,93479,857,8.4,0,18,6,23.9,18.1,13,3.6,6.7,2.5,43527,57376,Tempe,,,28695696.3658447,21428.1552945873
66,Census Tract 3194.04,1514,3.6,2,1.8,10.2,6,17,13.3,21.1,14.8,10.2,86759,116530,718,7.8,0,0,1,5.2,13.8,14.8,30.4,19.6,7.5,112829,124222,601,1.5,0,0,1.2,4.8,13.1,16,32.4,23.5,7.5,115398,796,4.9,3.8,3.5,13.3,6.8,19.8,12.1,12.7,10.4,12.7,72017,107535,Tempe,,,19818610.7418823,20729.7530422729
67,Census Tract 3195,2616,2.4,1.1,4.8,3.1,13.5,19.6,10.4,30.1,8.6,6.5,84766,102980,1268,0,1,5.4,1.6,6,20.1,10.5,41.6,8.4,5.4,105462,119228,1022,0,0,6.7,2,6.2,17.2,10.8,43.2,8.9,5.2,106036,1348,4.7,1.1,4.3,4.5,20.5,22.8,7.6,19.6,8.6,6.2,63198,85216,Tempe,,,27725038.2188721,21070.4254080804
68,Census Tract 1112.04,1658,0.5,4.5,0,8,12.1,31.4,27.9,13.3,0.7,1.7,67443,77434,703,0,0,0,8,22.9,24,33.7,11.4,0,0,68843,71183,270,0,0,0,3,9.6,23.3,34.4,29.6,0,0,80938,955,0.8,7.7,0,10.8,14.2,33.9,13.5,14.8,1.2,3,57399,76272,Phoenix,,,71270799.9765015,36207.4091202163
69,Census Tract 4213.04,1763,4.4,0,9.2,23,17.8,19.2,11.7,14.6,0,0,44847,54908,811,6.2,0,10.6,20.2,12.9,27.5,18.1,4.4,0,0,50156,51403,271,0,0,22.9,9.6,0,12.2,42.1,13.3,0,0,85035,952,3.6,0,9.1,25.4,26.6,9.5,2.5,23.3,0,0,41778,55073,Mesa,,,25027101.8722534,23984.1237799118
70,Census Tract 3190.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,10236764.3191528,13193.8513569214
71,Census Tract 4222.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesa,,,4310206.74432373,8947.99311228334
72,Census Tract 3197.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,7492965.09368896,12189.8537979703
73,Census Tract 3197.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tempe,,,19411843.401123,18398.7377353055
