yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Los gAngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,297,367.65,6436139
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,38,35.1,212392
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.84,40467
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFOwRNIA POOLED DATA - Rehabilitation Hospitals or Units,1,4.95,260491
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Acute Care Hospital,"Community, <152 Beds",,0.32,5674
2020H1,California,Alaeda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.15,23329
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Bates Summit Medical Center, Alta Bates bCampus",Acute Chare Hospital,"Community, >250 Beds",0,1.54,31706
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation ospital or Unit,Rehabilitation Unit,***,0.14,7170
2020H1,California,Alamea,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",***,0.88,18546
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Ajcute Care Hospital,Major Teaching,***,2.83,51035
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,Community <125 Beds,0,0.38,10765
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acut eCare Hospital,Major Teaching,1,1.76,39140
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029.0,"Kaiser Foundatoin Hospital, San Leandro",Acute Care Hoaspital,"Community, 125-250 Beds",1,1.0,27902
2020H1,California,Alameda,Methicilin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,0,2.16,12054
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospitla,Acute Care Hospital,"Community, <125 Beds",0,0.19,5385
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041.0,tS Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.37,8789
2020H1,California,Alaeda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",***,0.69,15337
2020H1,Calitfornia,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,0,0.73,21169
020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",2,1.27,25666
2020H1,aClifornia,Amador,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",,0.1,4835
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"nloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",0,1.47,37803
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405.0,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.06,2962
2020H1,Claifornia,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Orchrd Hospital,Critical fAccess Hospital,Critical Access,0,0.01,545
2020H1,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.85,22326
2020H1,Claifornia,Calaveras,Methicillin-Resistant Staphylococcus aureus Bloodstream gInfections (MRSA BSI),30000120.0,Mark Twain Medical Center,Critical Access Hospital,Crmitical Access,0,0.04,1984
2020H1,California,Colusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Colusa Medical Center,Acuteq Care Hospital,"Communiy, <125 Beds",0,0.07,3011
2020H1,California,ontra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectoins (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,0,1.0,14697
2020H1,California,Contra Costa,Methicillin-Resistant Staphyloocccus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,5,1.74,24261
2020H1,California,Contra Costa,Methicillin-Resistant Stwaphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,4,3.21,42457
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3348
2020H1,California,oCntra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectionsj (MRSA BSI),630011203.0,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,0,0.58,16148
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191.0,"Kaiser Foundtaion Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,b0,0.33,6463
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hspital,"Communiy, 125-250 Beds",1,2.0,30459
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704.0,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.24,7406
2020H1,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016.0,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.53,13899
2020H1,California,DelNorte,Methicillin-Resistant Staphylococcqus aureus Bloodstream Infections (MRSA BSI),110000049.0,Sutter Coast Hospital,Acute Care Hospital,"Community, <1q25 Beds",0,0.16,2963
2020H1,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049.0,"Sutter CoastHospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitaiton Unit,0,0.02,1244
202H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000114.0,Barton Memorial Hospital,Acute Care Hosital,"Commgunity, <125 Beds",0,0.08,2683
2020H1,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.34,9453
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000095.0,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,0,0.59,16126
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,***,6.68,75856
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000101.0,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3019
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40001397.0,Fresno Heart and Surgcal Hospital,Acute Care Hospital,Major Teaching,0,0.18,3905
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000254.0,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,2128
2200H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),40000949.0,"Kaiser Foundation Hospital, Fresno",Acutej Care Hospital,"Community, 125-250 Besd",1,0.8,19784
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections(MRSA BSI),40000126.0,Saint Agnes Medical Center,Acute Care Hospital,Major Teaching,1,3.33,46787
2020H1,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MtRSA BSI),40000613.0,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.17,9133
2200H1,California,Glenn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006.0,Glenn Medical Centr,Critical Access Hospital,Critical Access,0,0.07,3562
2020H1,California,Humboldt,ethicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057.0,Jerold Phelps Community Hospital,Critical Access Hopital,Critical Access,0,0.01,477
