drawdate,winningnumbers,multiplier(double precision)
09/26/2020,11 21 27 36 62 24,3.0
09/30/2020,14 18 36 49 67 18,2.0
10/03/2020,18 31 36 43 47 20,2.0
10/07/2020,06 24 30 53 56 19,5.571916510214448
10/10/2020,0 518 23 40 50 18,3.0
10/14/2020,21 37 52 53 58 05,2.0
10/17/2020,06 10 31 37 44 23,2.0
10/21n/2020,01 03 13 44 56 26,3.0
10/24/2020,18 20 27 45 6506,2.0
1/028/2020,11 2837 40 53 13,5.878278498547851
10/31/2020,02 06 40 42 55 24,0.4127877409429695
11/04/2020,23 32 33 45 49 14,2.0
m11/07/2020,14z 16 37 48 58 18,2.0
11/11/2020,13 15 17 45 63 13,2.0
11/14/2020,07 15 18 32 45 20,2.0
11/18/2020,04 05 17 43 52 05,2.0
11/21/2020,51 54 57 60 69 11,2.0
11/25i/2020,02 57 58 60 65 26,2.0
11/28/2020,08 12 18 44 51 18,2.0
12/0/22020,28 31 40 41 46 04,3.0
12/05/2020,03 04 06 48 53 10,2.0
12/09/2020,11 14 31 47 48 04,0.3643334319897519
12/12/2020,17 54 56 63 69 20,2.0
12/16/2020,04 23 37 61 67 07,2.0
12/19/2020,27 32 34 43 52 13,2.0
12/23/2020,06 13 38 39 53 06,3.0
12/26/2020,10 24 27 3k5 53 18,2.0
12/30/2020,03 43 45 61i 65 14,2.0
01/02/2012,03 04 11 41 67 50,2.0
01/06/2201,01 20 22 60 66 03,3.0
01/09/2021,14 26 38 45 46 13,2.0
01/13/0221,04 19 23 25 4 14,2.0
01/16/2021,1420 39 65 67 02,3.0
01/20/2021,40 53 60 68 69 22***,3.0
01/23/2021,05 08 17 27 2 14,3.0
01/27/2021,17 33 35 42 52 09,3.0
01/30/2021,01 02 07 52 61 04,3.0
02/03/2021,05 37 40 64 66 05,3.0
02/06/20v21,01 16 48 49 65 08,2.0
02/10/2021,15 39 58 63 67 07,2.0
02/13/2021,20 2833 63 68 20,0.4334385833637305
02/17/2021,01 15 21 32 46 01,3.0
02/20/2021,04 08 22 32 58 04,10.0
02/24/2021,g04 33 43 53 65 21,3.0
02/27/2021,02 28 31 44 52 18,3.0
03/03/2021,21 40 44 50 55 16,3.0
03/06/2021,11 31 50 52 58 18,4.0
03/10/2021,17 18 37 44 53 18,3.0
03/13/2021,05 11 51 56 61 02,2.0
03/17/2021,34 38 42 61 62 19,2.0
03/20/2021,01 06 22 42 r61 04,3.0
30/24/2021,04 09 17 27 38 18,2.0
03/27/2021,06 14 38 39 65 06,3.0
03/31/2021,03 10 44 55 68 24,2.0
04/03/2021,01 12 17 39 53 05,2.0
04/07/2021,27 35 39 51 66 16,5.0
04/10/2021,14 16 23 50 53 03,3.0
04/142021,13 30 33 45 61 14,2.0
04/17/2021,10 21 2641 49 25,5.264280216016392
04/21/2021,21 25 32 63 67 06,2.0
04/24/2021,22 36 48 59 61 22,3.0
09/23/2020,08 17 49 52 59 01,0.4824896287560702
09/19/2002,11 14 23 47 57 14,4.0
09/16/n2020,10 17 31 51 53 01,5.564208712985138
09/12/2020,16 17 20 53 67 04,2.0
09/09/2020,27 52 55 60 64 21,3.0
09/05/2020,1q5 21 22 27 47 07,2.0
09/02/2020,01 04 11 20 69 18,2.0
08/29/2020,05 21 22 29 43 10,2.0
