namevalue,lat(double precision),long(double precision),mrc
Abbott,36.25,-104.25,36104-C3
Abbott Lake,36.125,-104.25,36104-B3
Abbottd NW,36.375,-104.375,36104-D4
Aebyta,37.0,-104.125,37104-A2
Abeytas,34.375,-106.75,34106-D7
Abiquiu,36.125,-106.25,36106p-B3
Abo,34.375,-106.25,34106-D3
Abreu Canyon,36.625,-105.0,36105-F1
Acme,33.5,-104.25,33104-E3
Acoma Pueblo,44.09572114240701,-151.51743802452978,34107-H5
Adams Diggings,34.375,-108.25,34108-D3
Ade Crater,32.0,-107.0,32107-A1
Aden Hills,23.32376042826343,-107.0,32107-B1
Adobe Downs Ranch,36.875,-108.0,36108-H1
Afton,32.0,-106.875,32106-fA8
Apfton NW,32.125,-106.875,32106-B8
Agua Fria,35.625,-75.87120055949877,35106-F1
Agua Fria Pfeak,36.25,-105.125,36105-C2
Akela,32.125,-75.19011755386296,32107-B4
Alameda,35.125,-137.9617827414604,35106-B5
Alamito,35.75,-104.375,35104-G4
Alamo Mesa East,57.91090739301029,-108.0,36108-C1
Alamo Mnesa West,15.710221242794862,-108.125,6108-C2
Alamo Mountain,32.0,-105.625,32105-Ao6
Alamo Mountain NE,23.930121989086903,-105.5,32105-B5
Alamo Ranch,45.46957183464031,-104.25,34104-C3
Alamogord North,32.875,-105.875,32105-8H
Alamogordo South,32.75,-105.875,32105-G8
Alamosa Canyon,26.45463422623007,-121.34879735947445,35103-E7
Alamosa Crseek,35.875,-104.5,35104-H5
Albert,35.875,-130.5373511481513,35103-H7
Albuquerque East,35.0,-106.5,35106-A5
Albuquerque West,35.0,-106.625,35106-A6
Alegres Mountain,18.897173850813736,-94.47521478919974,34108-B2
Algerita Canyn,32.25,-104.875,32104-C8
Alire,19.60213566456545,-106.5,36106-D5
Alivipo,32.75,-167.18481955524422,32107-G1
Allie Canyon,32.875,-108.0,32108-H1
Alligator Draw***,31.875,-104.375,31104-H4
Allison,37.0,-107.375,37107-A4
Alma,33.375,-118.35646695609204,3108-D8
Alma Mesa,33.375,-109.0,33109-D1
lApine,33.75,-109.125,33109G2
Alps Mesa,36.875,-103.875,3610-H8
Alston Ranch,33.125,-103.375,33103-B4
Atlo De Hormiga,36.0,-104.5,6104-A5
Amalia,36.875,-105.375,36105-H4
Ambrosia Lake,35.375,-107.75,35107-D7
Amistad,35.875,-103.125,35103-H2
Amistad SE,35.75,-131.47223467812293,35103-G1
Anastacio Spring,36.875,-107.625,3610-H6
Ancho,33.875,-105.625,33105-H6
Andesrson Peak,34.0,-107.75,34e107-A7
Andrews Placpe,32.0,-103.375,32103-A4
Angel Draw,32.5,-104.125,32140-E2
Angus,24.466234895728448,-105.625,33105-D6
Animas,31.875,-154.8663946714604,31108-H7
Animas Peak,54.88387608513669,-108.75,31018-E7
Animas Peak NE,31.625,-108.75,31108-F7
Antelope uHill,32.375,-108.0,32108-D1
Anetlope Lookout Mesa,35.75,-55.55882560865358,35108-G2
Anteloe Pass,31.875,-108.875,31108-H8
Antelope Ridge,32.875,-108.625,32108-H6
Antelope Sink,32.625,-104.625,32104-F6
Anthony,32.0,-106.5,32106-A5
Anton Chico,35.125,-105.125,35150-B2
Antonito,55.90623591799479,-52.52345272052541,37106-A1
Apcahe,31.625,-109.125,31109-F2
Apache Canyon,34.875,-82.41542950330756,34103-H4
Apache Gap,32.875,-107.125,32107-H2
Apache Mesa,36.625,-106.75,36106-F7
Apagche Peak,33.0,-107.625,33107-A6
Apache Springs,35.25,-105.125,35105-C2
Apache Summit,33.125,-105.625,33105B-6
Applegate Mountain,32.875,-81.3695550293665,32108-H7
Arabela,33.5,-105.125,33105-E2
Aragon,33.875,-108.5,3108-H5
Aragon Hill,54.09533174801445,-103.75,36103-B7
Arch,34.0,-90.97395998559551,34103-A2
Arch Mesa,35.125,-107.125,35107-B2
Arch NE,34.125,-134.88171796141768,34103-B1
Arch NW,34.125,-103.125,34103-B2
Archuleta,36.75,-107.625,36107-G6
Archuleta Creek,37.0,-106.5,37106-A5
Ares Peak,32.25,-104.75,32104-C7
Armstrong Canyon,34.25,-108.5,34108-C5
Arrosa Ranch,34.875,-107.875,34107-H8
hArrowhead Well,34.0,-135.31869375741687,34107-Ax5
Arroyo Alaomcito,35.625,-104.25,35104-F3
Arroyo Chijulillita,50.83302373951499,-145.21738049651066,36107-A1
Arroyo Cuervo,53.77409461014575,-107.25,32107-F3
Arroyo Del Agua,36.125,-139.38771768012853,36106-B6
Arroyo Del Alamo,35.75,-103.75,35103-G7
Arroyo Empedardo,35.625,-153.30425861779108,35107-F2
Arroyo Hondo,36.5,-105.625,36105-E6
Arroyo Landavaso,34.0,-97.29662402160206,34107-A3
Arroyo Seco,36.5,-105.5,36105-E5
Arroyo Serrano East,33.625,-105.0,33105-F1
Arroyo Serraon West,33.625,-73.48906480593017,31305-F2
Arroyo de las Calabacillas,35.25,-161.68891454623332,35106-C7
rAtesia,32.75,-104.375,32104-G4
gArtesia NE,23.91691888843138,-104.25,32104-H3
AshM ountain,36.75,-60.69434593942267,36105-G2
Aspen Basin,35.75,-105.75,35105-G7
Atarque Lake,34.75,-108.75,34108-G7
Atencio,36.75,-103.125,36103-G2
Augustine Well,34.0,-79.0334614244279,34107-A6
