X,Y,OBJECTID,TRAILSYSID,INTEREST,MAPLABEL
,,1,3,Bridge,Bridge
,,2,43,Point of Interest,Rt. 6 Tunnel
1131687.538,807039.563999996,3,3,Point of Interest,Quarry
1131953.71799999,808211.463,4,3,Point of Interest,River Tunnel
1134335.965,812689.968999997,5,3,Point of Interest,Dead End 5/07
1132404.594,810707.312999994,6,3,Point of Interest,Trail Detour on Road
1136254.985,815182.013999999,7,3,Point of Interest,Road Detour Start
1135088.01000001,816052.025999993,8,3,Point of Interest,Scovell Cemetary 1733
1139789.286,821082.870000005,9,3,Bridge,Bridge
1129732.844,804304.274000004,10,3,Point of Interest,Geologic Outcrop
1130069.947,804934.278999999,11,3,Point of Interest,Geologic Outcrop
1130732.729,805721.030000001,12,3,Point of Interest,Geologic Outcrop
1129402.90099999,803927.733999997,13,3,Point of Interest,Geologic Outcrop
1137686.48800001,816619.210999995,14,3,Bridge,Bridge
1123686.832,800324.034999996,15,3,Bridge,Bridge
1122518.171,799103.833000004,16,3,Bridge,Bridge
1119820.38600001,797370.306999996,17,3,Scenic View,Scenic View
1116753.93799999,796204.068000004,18,3,Point of Interest,Geologic Outcrop
1112953.707,794630.379999995,19,3,Scenic View,Scenic View
1113330.91500001,779365.082000002,20,201,Scenic View,Scenic View
1115657.75,772698.074000001,21,201,Point of Interest,Sign Board
1109136.154,788588.233999997,22,3,Scenic View,Scenic View Raymond Brook Marsh
1106669.818,787003.162,23,3,Point of Interest,Sign
1104878.219,784943.122999996,24,3,Point of Interest,Sign
1103110.66599999,779798.839000002,25,3,Bridge,Judd Brook
1102014.568,778983.458000004,26,3,Bridge,Jeremy River
1100446.78200001,778007.785999998,27,3,Point of Interest,Geologic Outcrop
1098026.317,776538.136999995,28,3,Point of Interest,Sign
1097754.359,776389.452999994,29,3,Bridge,Bridge
1094280.074,773382.287,30,3,Scenic View,Scenic View
1093866.83400001,773356.513999999,31,3,Scenic View,Scenic View
1089590.942,773007.044,32,3,Bridge,Blackledge River Bridge
1089590.942,773007.044,33,3,Stream Crossing,Blackledge River
1088480.999,771468.059,34,3,Point of Interest,Geologic Outcrop
1087426.906,770278.917999998,35,3,Point of Interest,Geologic Outcrop
1086235.76000001,769266.069000006,36,3,Point of Interest,Geologic Outcrop
1084880.56200001,767485.813999996,37,3,Point of Interest,Geologic Outcrop
1083947.027,766778.393999994,38,3,Point of Interest,Sign
1083454.722,766756.584999993,39,3,Point of Interest,Geologic Outcrop
1082288.767,766518.365999997,40,3,Scenic View,Scenic View
1081832.39399999,766391.864999995,41,3,Point of Interest,Picnic Tables
1081331.646,766240.204999998,42,3,Point of Interest,Geologic Outcrop
1078399.64,768467.877000004,43,3,Point of Interest,Geologic Outcrop
1077163.65899999,769042.584000006,44,3,Scenic View,Scenic View
1076920.432,769103.915000007,45,3,Scenic View,Scenic View
1147582.858,819884.122999996,46,216,Bridge,Willimantic Frog Bridge
