"County
Name ","District
Name",Co/Dist Code,Site Code,School Site,Total Enrollment,Telephone,Principal,Principal's Email,Mailing Address,Mailing City,Mailing State,Mailing Zip,Grades  (Low-High),Certified Staff,
ADAIR       ,PEAVINE                       ,01-C019,105,PEAVINE PUBLIC SCHOOL         ,126,(918) 696-7818,Jack Ritchie,jritchie@peavinepanthers.net,Post Office Box 389,Stilwell,OK,74960,PK-08,10,
ADAIR       ,MARYETTA                      ,01-C022,105,MARYETTA PUBLIC SCHOOL        ,681,(918) 696-2285,Rhonda Brown,rbrown@maryetta.k12.ok.us,"Rural Route 6, Box 2840",Stilwell,OK,74960,PK-08,66,
ADAIR       ,ROCKY MOUNTAIN                ,01-C024,105,ROCKY MOUNTAIN PUBLIC SCHOOL  ,188,(918) 696-7509,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,"Rural Route 1, Box 665",Stilwell,OK,74960,PK-08,16,
ADAIR       ,ZION                          ,01-C028,105,ZION PUBLIC SCHOOL            ,352,(918) 696-7866,Joey O'neal,j_oneal@zionjets.com,Post Office Box 347,Stilwell,OK,74960,PK-08,33,
ADAIR       ,DAHLONEGAH                    ,01-C029,105,DAHLONEGAH PUBLIC SCHOOL      ,134,(918) 696-7807,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,"Rural Route 1, Box 1795",Stilwell,OK,74960,PK-08,17,
ADAIR       ,GREASY                        ,01-C032,105,GREASY PUBLIC SCHOOL          ,90,(918) 696-7768,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,92009 South 4676 Road,Bunch,OK,74931,PK-08,11,
ADAIR       ,WATTS                         ,01-I004,105,WATTS ES                      ,199,(918) 422-5131,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,"Rural Route 2, Box 1",Watts,OK,74964,PK-08,23,
ADAIR       ,WATTS                         ,01-I004,705,WATTS HS                      ,113,(918) 422-5132,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,"Rural Route 2, Box 1",Watts,OK,74964,09-12,14,
ADAIR       ,WESTVILLE                     ,01-I011,105,WESTVILLE ES                  ,651,(918) 723-4355,Ryan Swank (Pk-2),rswank@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,PK-06,54,
ADAIR       ,WESTVILLE                     ,01-I011,610,WESTVILLE JHS                 ,176,(918) 723-3432,Shelly Cooper,scooper@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,07-08,33,
ADAIR       ,WESTVILLE                     ,01-I011,705,WESTVILLE HS                  ,332,(918) 723-5644,Renae Price,rprice@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,09-12,49,
ADAIR       ,STILWELL                      ,01-I025,105,STILWELL ES                   ,411,(918) 696-7656,Mark Lea,mlea@stilwellk12.org,10 South Sixth Street,Stilwell,OK,74960,PK-04,46,
ADAIR       ,STILWELL                      ,01-I025,505,STILWELL MS                   ,257,(918) 696-2685,Dale Girdner,dgirdner@stilwellk12.org,12 North Seventh Street,Stilwell,OK,74960,05-08,31,
ADAIR       ,STILWELL                      ,01-I025,705,STILWELL HS                   ,660,(918) 696-7276,Ramona Ketcher,rketcher@stilwellk12.org,1801 West Locust Street,Stilwell,OK,74960,09-12,60,
