OBJECTID,LARID,LARNAME,CLASSIFICATION,GISACRES,CREATOR,CREATEDATE,LASTEDITOR,LASTEDITDATE,REGION,AGENCY,GlobalID,ShapeSTArea,ShapeSTLength
1,LAR0001,Cheyenne River LAR,1,5697394.05657353,,,BRENT.SHAFRANEK,2020/12/07 15:45:38+00,Great Plains,Cheyenne River,{CC782EC6-D42D-4BDA-BAA3-6501512986D4},1.31391010143027,8.26279544370357
2,LAR0002,Crow Creek LAR,1,575104.58502247,,,BRENT.SHAFRANEK,2020/12/07 15:45:56+00,Great Plains,Crow Creek,{CB8094E7-950A-4A2B-8823-D8C12B86F32A},0.13480651320442,2.59777965797908
3,LAR0003,Flandreau LAR,1,4564.29005658,,,BRENT.SHAFRANEK,2020/12/07 15:54:52+00,Great Plains,Flandreau,{E8172934-CAD9-4F0D-BE1B-7B3CA18D8918},0.00107088000167847,0.355752068577777
4,LAR0004,Fort Berthold LAR,1,2241221.23089149,,,BRENT.SHAFRANEK,2020/12/07 15:46:35+00,Great Plains,Fort Berthold,{DCD4527F-DD4A-40C4-8D74-472FFDFE96E2},0.492177009898143,3.30653312866683
5,LAR0005,Lake Traverse (Sisseton) LAR,1,232339.62478885,,,BRENT.SHAFRANEK,2020/12/07 15:55:10+00,Great Plains,Sisseton,{3A5C0E14-F9B6-466E-B063-B741745351A9},0.0530713683442729,23.0927278261351
6,LAR0006,Lower Brule LAR,1,474565.96301733,,,BRENT.SHAFRANEK,2020/12/07 15:55:29+00,Great Plains,Lower Brule,{9FA6C870-CA10-46ED-BE1D-C23283CA03AE},0.111315385807784,2.48329904836186
7,LAR0007,Omaha LAR,1,357137.78887057,,,BRENT.SHAFRANEK,2020/12/07 15:55:51+00,Great Plains,Winnebago,{F6ADBF8A-1ACE-483C-9603-D1C05B61B368},0.0865458830214346,1.57472151656156
8,LAR0008,Pine Ridge LAR,1,5267722.35471062,,,BRENT.SHAFRANEK,2020/12/07 15:56:19+00,Great Plains,Pine Ridge,{CB66A1C0-07F6-44D4-A30B-4B4693C7FD0B},1.25086437206447,5.82222290615873
9,LAR0009,Rosebud LAR,1,2532321.14936916,,,BRENT.SHAFRANEK,2020/12/07 15:56:52+00,Great Plains,Rosebud,{E05FE703-0764-4F76-BA81-90F8265D3D56},0.601763805025558,52.1310387466144
10,LAR0010,Santee LAR,1,217643.74407984,,,BRENT.SHAFRANEK,2020/12/07 15:48:11+00,Great Plains,Winnebago,{C2467519-ACB5-45C5-A915-8F51B5252295},0.0522130332386924,0.951443290107643
11,LAR0011,Standing Rock LAR,1,4835388.84985727,,,BRENT.SHAFRANEK,2020/12/07 15:49:12+00,Great Plains,Standing Rock,{08C85CB3-D343-440F-9A38-94B4C617C06E},1.10020248173582,6.94969040793613
12,LAR0012,Turtle Mountain LAR,1,106178.50849596,,,BRENT.SHAFRANEK,2020/12/07 15:51:19+00,Great Plains,Turtle Mountain,{EBB4AE94-FE21-43D1-A533-7731CB3548A4},0.0228175475910582,0.699786046945046
13,LAR0013,Winnebago LAR,1,206147.12070424,,,BRENT.SHAFRANEK,2020/12/07 15:52:33+00,Great Plains,Winnebago,{A7DD1952-401A-4FAB-A626-13C83A42F36C},0.0498519258927856,1.25607727225112
14,LAR0014,Yankton LAR,1,828764.91573903,,,BRENT.SHAFRANEK,2020/12/07 15:57:23+00,Great Plains,Yankton,{BA093699-BED6-4D29-A0E4-B766636A4EE1},0.19759158234737,2.27382511637626
15,LAR0015,Bad River LAR,1,263851.8896132,,,BRENT.SHAFRANEK,2020/12/07 16:07:26+00,Midwest,Great Lakes,{11550D5B-4BA6-4A7F-8775-E8AA6722B4CE},0.0592799831302228,1.23976150642892
16,LAR0016,Bay Mills LAR,1,7086.07837076,,,BRENT.SHAFRANEK,2020/12/07 15:58:25+00,Midwest,Michigan,{20E49B57-901E-400F-85CA-91150006254A},0.00159497999955777,0.501966103560802
