MODEL89,OBJECTID,LINE89,FRAME89,YEAR,SCALE89,CAN_NBR89,FLGTDATE89,PRINTSAVAIL,SHAPEAREA,SHAPELEN
07222,1,7,222,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,39547221.3641148,24884.8878099878
01060,2,1,60,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,16276897.198743,17132.6052560296
01085,3,1,85,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,13035727.2951047,15298.8409769645
01102,4,1,102,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,28723740.2573977,21354.8115358834
05017,5,5,17,1989,1 in.=660 ft.,9-H-5,1989/04/07 00:00:00+00,YES,18188155.144725,17867.9447257643
01059,6,1,59,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,23524359.4273148,19689.0016879868
01164,7,1,164,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,13194699.1730477,15353.8756459844
01216,8,1,216,1989,1 in.=660 ft.,9-H-1,1989/03/22 00:00:00+00,YES,22834860.0987531,19545.5683997553
05074,9,5,74,1989,1 in.=660 ft.,9-H-5,1989/04/07 00:00:00+00,YES,12963957.9409063,15226.4973457524
02058,10,2,58,1989,1 in.=660 ft.,9-H-2,1989/03/24 00:00:00+00,YES,23565124.6649266,19784.7998241326
02118,11,2,118,1989,1 in.=660 ft.,9-H-2,1989/03/24 00:00:00+00,YES,18201696.7563141,18533.8895710787
02172,12,2,172,1989,1 in.=660 ft.,9-H-2,1989/03/24 00:00:00+00,YES,21822436.5447945,19096.6465648027
02230,13,2,230,1989,1 in.=660 ft.,9-H-2,1989/03/24 00:00:00+00,YES,9767427.33543281,12851.4123772596
02284,14,2,284,1989,1 in.=660 ft.,9-H-2,1989/03/24 00:00:00+00,YES,24417989.5062219,19922.899173884
03057,15,3,57,1989,1 in.=660 ft.,9-H-3,1989/03/24 00:00:00+00,YES,10925908.3017477,13433.254266748
03112,16,3,112,1989,1 in.=660 ft.,9-H-3,1989/03/24 00:00:00+00,YES,35438001.942207,23448.2445786424
03173,17,3,173,1989,1 in.=660 ft.,9-H-3,1989/03/24 00:00:00+00,YES,12131971.6365789,14464.1328260482
03231,18,3,231,1989,1 in.=660 ft.,9-H-3,1989/03/24 00:00:00+00,YES,24612156.4213188,20286.0735848851
03294,19,3,294,1989,1 in.=660 ft.,9-H-3,1989/03/24 00:00:00+00,YES,10617510.394543,13616.3403945686
04059,20,4,59,1989,1 in.=660 ft.,9-H-4,1989/03/24 00:00:00+00,YES,26476710.5804078,23460.9304963542
04121,21,4,121,1989,1 in.=660 ft.,9-H-4,1989/03/24 00:00:00+00,YES,9704195.17228125,12902.2855038565
04183,22,4,183,1989,1 in.=660 ft.,9-H-4,1989/03/24 00:00:00+00,YES,30942421.7168664,23257.4183101006
04307,23,4,307,1989,1 in.=660 ft.,9-H-4,1989/03/24 00:00:00+00,YES,15989679.4200609,16991.9525366639
04245,24,4,245,1989,1 in.=660 ft.,9-H-4,1989/03/24 00:00:00+00,YES,8751269.31241953,12162.2153981712
06001,25,6,1,1989,1 in.=660 ft.,9-G-1,1989/04/11 00:00:00+00,YES,10427814.189007,15903.6979678649
06087,26,6,87,1989,1 in.=660 ft.,9-G-1,1989/04/11 00:00:00+00,YES,8864179.70781641,12642.8345913738
06132,27,6,132,1989,1 in.=660 ft.,9-G-1,1989/04/11 00:00:00+00,YES,7860412.63832969,11434.6410756452
07035,28,7,35,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,2949603.62375156,7252.17681610455
07143,29,7,143,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,34460526.7462969,23324.0116499359
05103,30,5,103,1989,1 in.=660 ft.,9-H-5,1989/04/07 00:00:00+00,YES,7733072.89408906,11527.5389951333
07140,31,7,140,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,36776859.0350414,24244.7116396553
07197,32,7,197,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,37675612.4451438,24365.969512553
07207,33,7,207,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,30493651.1963016,21810.8431627673
07215,34,7,215,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,36210361.7479508,23862.9000318506
07227,35,7,227,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,38259069.2885883,24466.5805316593
07223,36,7,223,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,12738067.6146391,16431.7770755208
07224,37,7,224,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,13957282.7664156,16860.5420536477
07225,38,7,225,1989,1 in.=660 ft.,9-G-2,1989/04/12 00:00:00+00,YES,15395503.8912922,17289.3378912234
