OBJECTID,LndscpNum,LndscpArea,Type,Questionable,MaintOrg,Area,Shape__Area,Shape__Length
1,107,A,Median,,,23360.8053557564,2.37087988352869e-07,0.00268853824880502
2,109,A,Median,,,25533.9822106718,2.5914187062881e-07,0.00272478489273276
3,108,A,Median,,,21283.3140717959,2.16006355913123e-07,0.00236835505488212
4,110,A,Median,,,16582.1783666225,1.68288124768878e-07,0.00194118463976629
5,300,C,Median,,,7914.74952829764,8.03072452981723e-08,0.0012442085960298
6,111,A,Median,,,5169.00631977222,5.24587449035607e-08,0.00137139232823779
7,112,A,Median,,,7767.85162252115,7.88352281233529e-08,0.00216275835036533
8,117,A,Median,,,6435.05580696764,6.53085407975595e-08,0.00215351219171181
9,113,A,Median,,,6211.39223347561,6.30402610113379e-08,0.00179207313372521
10,116,A,Median,,,4725.06402518763,4.79549271403812e-08,0.00178847408615834
11,114,A,Median,,,7380.41699045881,7.49059836380184e-08,0.00217684309020915
12,115,A,Median,,,4825.44829825599,4.89746980747441e-08,0.00208906417504473
13,118,A,Median,,,6350.63191865467,6.44547526462702e-08,0.00229437719659966
14,119,A,Median,,,5516.545474646,5.59884938411415e-08,0.00189845694001725
15,120,A,Median,,,6566.29590997006,6.66411779093323e-08,0.00258543549166028
16,121,A,Median,,,3981.4207058056,4.04065758630168e-08,0.00154365798550698
17,106,A,Grand Circus,,,96758.489761163,9.82041456154548e-07,0.00434661090284708
18,100,A,Median,,MDOT,7980.13473015374,8.09939137980109e-08,0.00131015802344813
19,101,A,Median,,,1027.019747516,1.04237187770195e-08,0.000789956762367175
20,102,A,Median,,,2345.09459902604,2.38014763453975e-08,0.00194286404878908
21,103,A,Median,,,1194.67951557637,1.21253833640367e-08,0.00105976862905501
22,104,A,Median,,,663.931620119853,6.73867361911107e-09,0.000732663784733056
23,105,A,Median,,,357.256426432989,3.62615537596866e-09,0.000363871477971206
24,200,B,Grand Circus,,,86868.3363555603,8.81673031472019e-07,0.00378904645717549
25,201,B,Median,,,11946.214241011,1.22394567370065e-07,0.00204262127788162
26,202,B,Median,,,8210.73405074992,8.44283931655809e-08,0.00143483871971524
27,206,B,Median,,,1318.29854162025,1.3379803931457e-08,0.000892639904803444
28,208,B,Median,,,591.730015783515,6.00562088948209e-09,0.000442589714408839
29,207,B,Median,,,578.030520337695,5.86646820011083e-09,0.000455858104820459
30,209,B,Median,,,801.154523648201,8.13111000752542e-09,0.000613617055306744
31,210,B,Median,,,755.438377939905,7.66726770962123e-09,0.000607022764937713
32,212,B,Median,,,489.728177872807,4.97016117151361e-09,0.000412030097714862
33,211,B,Median,,,529.751232365305,5.37670530320611e-09,0.000409661485952644
34,213,B,Median,,,642.599090803765,6.52198650641367e-09,0.000509943671524494
35,214,B,Median,,,702.772040730456,7.13248482497875e-09,0.000545652918866537
36,216,B,Median,,,352.754405444817,3.58045326720458e-09,0.000405177113343335
37,215,B,Median,,,2269.74806085897,2.30361365538556e-08,0.00237379004681297
38,217,B,Median,,,835.556305382106,8.48035597300623e-09,0.000636171535595759
39,219,B,Median,,MDOT,907.06566161889,9.20590537134558e-09,0.00065787339215009
41,205,B,Median,,,12670.8854295098,1.28596639115131e-07,0.00265623995744945
42,204,B,Median,,,5599.57173051413,5.68311406823341e-08,0.0017904130322486
43,203,B,Median,,,6284.845337903,6.3786728787818e-08,0.00219552752223248
44,220,B,Median,,MDOT,7715.03168684801,7.82927145337453e-08,0.00229231798235181
45,221,B,Median,,MDOT,349.117412651093,3.54339135810733e-09,0.000326368454583223
46,224,B,Median,,MDOT,536.55488333099,5.44559952686541e-09,0.000346907840327597
47,225,B,Median,,MDOT,356.475129055611,3.61796992365271e-09,0.000294633144584176
48,222,B,Median,,MDOT,7555.95191503404,7.66474386182381e-08,0.00301922787907973
49,223,B,Median,,MDOT,338.530230927772,3.43584360962268e-09,0.000292652699037913
50,226,B,Median,,MDOT,2394.73129606573,2.43062459048815e-08,0.000686200615437285
51,230,B,Median,,MDOT,236.543142849262,2.40106601268053e-09,0.000259571072332205
52,227,B,Median,,MDOT,321.993628499442,3.26826921082102e-09,0.000279621840710091
53,228,B,Median,,MDOT,271.358704396003,2.75440470431931e-09,0.000262968367624109
54,231,B,Median,,MDOT,360.78942282626,3.66162566933781e-09,0.00029788416946378
55,229,B,Median,,MDOT,8546.64690583292,8.67307790031191e-08,0.002624779093565
56,232,,Median,yes,,,3.35642198479036e-08,0.00179378816556529
57,233,B,Median,yes,,,2.26668817049358e-09,0.000248301306322493
58,236,B,Median,yes,,,2.68619260168634e-09,0.000256280119950864
59,234,B,Median,yes,,,2.12071427085903e-09,0.000256375068708144
60,235,B,Median,yes,,,2.9609282137244e-08,0.00165333901248478
61,237,B,Median,yes,,,1.04136461231974e-07,0.00369064954672758
62,238,B,Median,yes,,,6.73417162033729e-08,0.0019237398792059
63,400,D,Median,,,4248.83437142762,4.31252829002915e-08,0.00275089171927875
64,415,D,Median,,,1128.47528257185,1.14534941531019e-08,0.000858664020436829
65,416,D,Median,,,1147.27139286045,1.16442606667988e-08,0.000864104612438989
66,417,D,Median,,,7284.6819953875,7.39346432965249e-08,0.00280143241357533
67,418,D,Median,,,9243.3770063091,9.39046458370285e-08,0.003513592308654
68,402,D,Median,,,5688.1308281683,5.77197170059662e-08,0.00235405764963945
69,401,D,Median,,,7037.1841139052,7.13894223736133e-08,0.00201828873485738
72,403,D,Median,,,15005.3382942275,1.52146412801812e-07,0.00185818650131954
73,404,D,Median,,,8820.26138394107,8.95115590537898e-08,0.00166328244534957
74,405,D,Median,,,5022.43674238096,5.09248820890207e-08,0.00108643006393307
75,409,D,Median,,MDOT,1332.76720188542,1.34195943246596e-08,0.000486361657015476
76,410,D,Median,,MDOT,1301.53790808407,1.32088189275237e-08,0.000503683866851574
77,408,D,Median,,MDOT,3842.29314946665,3.89541128242854e-08,0.00113979776779943
78,414,D,Median,,,2050.76971252365,2.08121946343454e-08,0.000960653425875646
79,413,D,Median,,,1575.49549526607,1.5989371604519e-08,0.000809019488975273
80,412,D,Median,,,5879.46902349925,5.95985056861537e-08,0.0016512796574945
81,411,D,Median,,,2723.9837296701,2.76456830761163e-08,0.00124143480375224
82,420,D,Median,,,895.848543266335,9.09153641259763e-09,0.000696063703270551
83,421,D,Median,,,1963.7821283085,1.99299847736256e-08,0.00113567651814676
84,419,D,Median,,,1203.70600912514,1.22167875815649e-08,0.000689782797710657
85,301,C,Median,,,520.30741269214,5.28052623849362e-09,0.000363412081973342
86,302,C,Median,,,3472.14452797506,3.52372353518149e-08,0.00116538709557251
87,303,C,Median,,,17477.454392194,1.7735601431923e-07,0.00348109176303584
88,304,C,Median,,,7518.97350653407,7.62993295211345e-08,0.00414637848839093
89,305,C,Median,,,4336.51625952806,4.40049916505814e-08,0.00138134157608763
90,306,C,Median,,,1978.01362576804,2.00716385734268e-08,0.0011594592193825
91,307,C,Median,,,827.424193125402,8.39622771309223e-09,0.000759584586766546
92,308,C,Median,,,1061.81888204244,1.07747837319039e-08,0.000962655588611214
93,309,C,Median,,,1239.81165336616,1.25810402096249e-08,0.000916787865721945
97,503,E,Median,,MDOT,7573.44808965305,7.68563950259704e-08,0.00145557132425282
98,504,E,Median,,MDOT,24127.2238890513,2.44850753006176e-07,0.00641667607698647
99,505,E,Median,,MDOT,20803.0357260656,2.11114183912287e-07,0.00394712740959025
100,506,E,Median,,MDOT,15896.5365831251,1.61615389515646e-07,0.00349456401176131
102,508,E,Median,,MDOT,13049.9407753084,1.32438572109095e-07,0.00280448175120707
103,509,E,Median,,MDOT,19680.1462407727,1.99729583982844e-07,0.00270777918729568
104,511,E,Median,,MDOT,1958.42013587537,1.98756424651947e-08,0.000928657356238322
105,510,E,Median,,MDOT,4562.59752343946,4.63037395093124e-08,0.00477152678380584
106,512,E,Median,,MDOT,30959.2273822055,3.14189719574642e-07,0.00450655241160619
107,513,E,Median,,MDOT,22020.9805185593,2.23474444283056e-07,0.00427818301389452
108,,,Capitol Park,,,21671.2018173901,2.19938101508887e-07,0.00196401036681751
110,,,Campus Martius,,,70020.9616361493,7.10620042809751e-07,0.00321998329872742
111,,,Cadillac Square,,,13104.4252550143,1.33544972413802e-07,0.00189003439915367
112,,,Cadillac Square,,,33432.7973300616,3.39298367180163e-07,0.00338411812561864
115,,,DTE Beacon Park,,,,5.7812690101855e-07,0.00336403729474573
116,,,Median,,,1325.47172059478,1.34511992655462e-08,0.000677954898150629
117,,,,,,,3.37513483827934e-09,0.000465914978675814
118,,,,,,,7.62747731641866e-08,0.00141413001639025
119,,,,,,,2.58935415331507e-08,0.00200843686310504
120,239,B,Median,,MDOT,19332.6352683179,1.96224391402211e-07,0.00319768756139185
