rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
8538,285265,16005,276213266040071,276213565916515,255
10133,285282,-22595,277757366061412,277757665937992,255
1128,17498,-7296,276207876150460,276208176066094,255
3498,17499,-6752,276263676145342,276263976045281,255
1128,17502,14440,276295776119572,276296076019265,241
5359,17525,-29487,276781176200295,276781476099965,255
4139,17527,2173,360683640745899,276869376038039,255
4255,17537,23620,412851976532507,220672296648483,145
1128,17538,4125,277326576181174,277326876081092,255
1128,17538,9555,277327776181116,277328076081348,365
3334,17547,-11806,193909467721114,277645176057968,255
3607,17572,9361,178957001582645,278164176072933,240
1133,52483,-11985,277994976114103,277995276030591,255
1133,52487,25995,278167176128026,273251877648020,255
1138,5089,-22190,379699583221279,276261276088709,255
1138,5106,-12948,276464676136579,243467220130012,255
1138,5106,20392,419908339938175,276464676036553,255
1138,5109,-32538,276521976173194,276522276088941,255
1138,195572,28486,276435276153475,270909861968280,210
1140,5453,-26462,276215376177686,276215676077801,255
1140,195919,-18426,276178176180688,276178476080765,255
2013,59301,-25301,278778276150947,278778576050727,300
2497,285314,-20545,210067112103083,278372665938769,255
1064,866330,-5248,277601966078331,277602265954924,206
1111,68629,2522,276476376199659,276476676099656,255
1111,68686,30560,277685976120586,277686276020474,255
1111,68694,-12104,278023476151227,409582302825547,255
10182,68698,29436,278163276165387,251720496358335,255
1111,68701,-10358,278276976136966,278277276037230,270
1111,68710,-30180,278380476185471,154282184000989,255
1111,68710,1506,246954473541295,278380476085945,159
1112,53999,-14328,276814476120852,418331288455713,255
1112,53999,1912,276815676152291,171371390750476,255
4706,54001,-6824,276865776116274,276866076052285,255
1112,54066,11940,278111976198506,278112276098466,255
1112,54072,-29865,278195976170088,278196276070159,255
1112,54080,8460,278283276169046,398081983620934,255
10310,15436,-30371,276302676103878,276302976019579,255
3769,15436,15040,276302376104493,276302676004032,255
3836,15891,-20629,276711876162503,276712176062506,237
10382,4527339,1564,194915474305189,278597334379868,255
9038,4527339,1564,278597334479821,278597338079836,254
1564,4527339,1564,257957432747834,194382435966661,255
1566,1157748,1566,276487699163336,276487699963314,255
2595,286181,31766,355755563070529,278371465914894,255
6635,319598,17384,219470040048404,413263419712708,255
6650,320045,-2373,278252966031802,376005691623950,376
6650,320048,-22642,278337866058869,278338165934874,255
6650,320049,11975,278377166071321,278377465948038,255
6170,303072,-17835,277824866121146,386597875378995,255
6170,303091,11935,362590783501351,278429965937301,255
9283,303095,-6589,278616566089702,278616865966531,255
9129,354846,18224,277380266069588,346250131563090,255
6175,354851,-30912,277466366120538,377977213617932,255
6175,354874,-31554,277956266042227,277956565918822,255
4405,354916,-27476,278799866091321,278800165968003,255
6179,303208,16604,278530166043434,278530465920142,293
6180,860264,17315,284978214153700,277934665921306,255
6183,303331,-16767,276200966091504,262579945161250,255
6440,314601,5575,276384566113833,276384865990761,255
6440,314602,8308,418875283191862,276437665986396,255
6440,314602,26241,276436466109741,255001605433124,255
6440,314634,-5087,277421966103006,277422265979271,255
9133,314640,7336,277593866125014,277594166001740,307
6440,314667,-27539,383724815592613,382426467839244,234
6440,314674,1582,278597066062113,278597365938510,255
6449,315752,17917,276820466128235,276820766004958,255
6449,315758,3536,277003766116210,277004065992352,343
6453,315831,-27668,276730766070945,276731065947113,255
9603,315863,510,277127366037257,277127665913455,356
