doi,title,title_cn,abstract,abstract_cn
10.1038/nphoton.2010.281,X-ray vision,X射线视野 ,,
10.1038/nphoton.2010.269,Avoiding the blinding attack in QKD,避免QKD中的盲目攻击 ,,
10.1038/nphoton.2010.278,Avoiding the blinding attack in QKD,避免QKD中的盲目攻击 ,,
10.1038/nphoton.2010.276,Building X-ray lasers,建筑X射线激光器 ,,
10.1038/nphoton.2010.274,Our choice from the recent literature,我们从最近的文献中选择 ,,
10.1038/nphoton.2010.270,Compressing slow solitons,压缩慢孤子 ,,
10.1038/nphoton.2010.275,Rewritable oxide photodetectors,可重写氧化物光电探测器 ,,
10.1038/nphoton.2010.277,Lithography at EUV wavelengths,EUV波长的光刻 ,,
10.1038/nphoton.2010.282,Polymer yields 3D video,聚合物产生3D视频 ,,
10.1038/nphoton.2010.279,Photovoltaic outlook,光伏展望 ,,
10.1038/nphoton.2010.272,Diffraction rules,衍射规则 ,,
10.1038/nphoton.2010.239,X-ray free-electron lasers,X射线自由电子激光器 ,"<p>With intensities 10<sup>8</sup>&#8211;10<sup>10</sup> times greater than other laboratory sources, X-ray free-electron lasers are currently opening up new frontiers across many areas of science. In this Review we describe how these unconventional lasers work, discuss the range of new sources being developed worldwide, and consider how such X-ray sources may develop over the coming years.</p>",<p>强度为其他实验室光源的10 <sup> 8 </ sup>＆＃8211; 10 <sup> 10 </ sup>倍，X射线自由电子激光器目前在许多领域开拓了新的领域 科学。 在这篇评论中，我们描述了这些非常规激光器的工作原理，讨论了全世界正在开发的新光源的范围，并考虑了未来几年这种X射线源的发展方式。</ p> 
10.1038/nphoton.2010.256,The attosecond nonlinear optics of bright coherent X-ray generation,明亮的相干X射线生成的阿秒非线性光学 ,"<p>The frequency doubling of laser light was one of the first new phenomena observed following the invention of the laser over 50 years ago. Since then, the quest to extend nonlinear optical upconversion to ever-shorter wavelengths has been a grand challenge in laser science. Two decades of research into high-order harmonic generation has recently uncovered several feasible routes for generating bright coherent X-ray beams using small-scale femtosecond lasers. The physics of this technique combines the microscopic attosecond science of atoms driven by intense laser fields with the macroscopic extreme nonlinear optics of phase matching, thus essentially realizing a coherent, tabletop version of the Roentgen X-ray tube.</p>",激光的倍频是50年前发明激光后发现的最早的新现象之一。 从那时起，寻求将非线性光学上转换扩展到越来越短的波长一直是激光科学领域的巨大挑战。 近二十年来对高次谐波产生的研究发现了使用小规模飞秒激光器产生明亮相干X射线束的几种可行途径。 该技术的物理原理将强激光场驱动的原子的微观阿秒科学与相位匹配的宏观极端非线性光学相结合，从而从根本上实现了伦琴X射线管的相干台式版本。</ p> 
