_id,record_id,census_date,gender,race,age_at_booking,age_at_census
1,8,2015-01-01,M,W,53,53
2,16,2015-01-01,M,W,46,46
3,24,2015-01-01,F,B,48,48
4,32,2015-01-01,F,W,27,27
5,40,2015-01-01,F,W,25,25
6,48,2015-01-01,M,B,23,23
7,56,2015-01-01,M,W,46,46
8,64,2015-01-01,M,W,33,33
9,72,2015-01-01,M,B,24,24
10,80,2015-01-01,M,B,56,56
11,88,2015-01-01,M,B,27,27
12,96,2015-01-01,M,B,35,35
13,104,2015-01-01,M,B,35,35
14,112,2015-01-01,M,B,51,51
15,120,2015-01-01,F,W,50,50
16,128,2015-01-01,M,B,26,26
17,136,2015-01-01,M,W,37,37
18,144,2015-01-01,F,B,21,21
19,152,2015-01-01,M,B,22,22
20,160,2015-01-01,M,W,36,36
21,168,2015-01-01,F,W,41,41
22,176,2015-01-01,M,B,52,52
23,184,2015-01-01,M,B,20,20
24,192,2015-01-01,M,W,25,25
25,200,2015-01-01,M,W,29,29
26,208,2015-01-01,M,B,19,19
27,216,2015-01-01,M,B,43,43
28,224,2015-01-01,M,W,29,29
29,232,2015-01-01,M,B,19,19
30,240,2015-01-01,M,B,48,48
31,248,2015-01-01,M,B,34,34
32,256,2015-01-01,M,B,43,43
33,264,2015-01-01,M,W,20,20
34,272,2015-01-01,F,W,27,27
35,280,2015-01-01,M,W,52,52
36,288,2015-01-01,M,W,26,26
37,296,2015-01-01,M,W,39,40
38,304,2015-01-01,M,B,34,34
39,312,2015-01-01,F,W,30,30
40,320,2015-01-01,M,B,34,34
41,328,2015-01-01,M,W,33,33
42,336,2015-01-01,M,W,30,30
43,344,2015-01-01,M,B,22,22
44,352,2015-01-01,M,B,34,34
45,360,2015-01-01,M,B,28,28
46,368,2015-01-01,M,B,38,38
47,376,2015-01-01,M,B,72,72
48,384,2015-01-01,M,W,30,30
49,392,2015-01-01,M,W,24,24
50,400,2015-01-01,M,B,51,51
51,408,2015-01-01,M,B,23,23
52,416,2015-01-01,F,W,22,22
53,424,2015-01-01,M,W,31,31
54,432,2015-01-01,M,B,50,50
55,440,2015-01-01,M,W,23,23
56,448,2015-01-01,M,W,48,48
57,456,2015-01-01,M,W,51,51
58,464,2015-01-01,M,B,58,58
59,472,2015-01-01,M,B,31,32
60,480,2015-01-01,M,B,40,40
61,488,2015-01-01,F,W,33,33
62,496,2015-01-01,M,W,47,47
63,504,2015-01-01,M,B,20,20
64,512,2015-01-01,M,B,17,17
65,520,2015-01-01,M,B,30,30
66,528,2015-01-01,M,B,28,28
67,536,2015-01-01,M,W,45,45
68,544,2015-01-01,M,B,55,55
69,552,2015-01-01,M,B,28,28
70,560,2015-01-01,M,W,49,49
71,568,2015-01-01,M,W,26,26
72,576,2015-01-01,M,W,36,36
73,584,2015-01-01,M,A,22,22
74,592,2015-01-01,M,W,37,37
75,600,2015-01-01,M,B,27,27
76,608,2015-01-01,M,W,30,30
77,616,2015-01-01,F,W,23,24
78,624,2015-01-01,M,B,31,31
79,632,2015-01-01,M,W,38,38
80,640,2015-01-01,M,W,21,21
81,648,2015-01-01,M,W,24,24
82,656,2015-01-01,M,B,37,37
83,664,2015-01-01,M,U,41,41
84,672,2015-01-01,M,B,48,48
85,680,2015-01-01,F,B,23,23
86,688,2015-01-01,M,W,38,38
87,696,2015-01-01,M,W,37,38
88,704,2015-01-01,M,W,25,25
89,712,2015-01-01,M,W,34,34
90,720,2015-01-01,M,B,32,33
91,728,2015-01-01,F,W,31,31
92,736,2015-01-01,M,B,21,22
93,744,2015-01-01,M,B,24,24
94,752,2015-01-01,M,B,43,44
95,760,2015-01-01,M,B,24,25
96,768,2015-01-01,M,B,24,24
97,776,2015-01-01,M,B,33,33
98,784,2015-01-01,M,B,25,25
99,792,2015-01-01,M,B,22,22
100,800,2015-01-01,M,B,25,25
101,808,2015-01-01,M,B,24,24
102,816,2015-01-01,M,B,22,22
103,824,2015-01-01,M,B,49,50
104,832,2015-01-01,M,B,25,26
105,840,2015-01-01,M,B,24,24
106,848,2015-01-01,M,W,32,32
107,856,2015-01-01,M,W,26,26
108,864,2015-01-01,M,B,44,44
109,872,2015-01-01,M,W,19,19
110,880,2015-01-01,M,W,36,37
111,888,2015-01-01,M,B,24,24
112,896,2015-01-01,M,B,22,22
113,904,2015-01-01,M,W,31,32
114,912,2015-01-01,M,B,27,27
115,920,2015-01-01,M,B,52,52
116,928,2015-01-01,M,B,33,33
117,936,2015-01-01,M,B,41,41
118,944,2015-01-01,M,W,21,22
119,952,2015-01-01,M,B,33,33
120,960,2015-01-01,M,B,23,23
121,968,2015-01-01,M,W,32,32
122,976,2015-01-01,M,B,42,42
123,984,2015-01-01,M,W,29,29
124,992,2015-01-01,M,B,22,23
125,1000,2015-01-01,M,B,16,17
126,1008,2015-01-01,M,W,22,22
127,1016,2015-01-01,M,W,40,41
128,1024,2015-01-01,M,W,35,35
129,1032,2015-01-01,M,W,32,32
130,1040,2015-01-01,M,B,34,35
131,1048,2015-01-01,M,B,49,49
132,1056,2015-01-01,M,W,22,23
133,1064,2015-01-01,M,W,28,28
134,1072,2015-01-01,M,W,33,33
135,1080,2015-01-01,M,B,20,20
136,1088,2015-01-01,F,W,24,24
137,1096,2015-01-01,M,B,44,45
138,1104,2015-01-01,M,B,31,31
139,1112,2015-01-01,M,B,50,50
140,1120,2015-01-01,M,B,21,22
141,1128,2015-01-01,M,W,35,36
142,1136,2015-01-01,M,B,19,19
143,1144,2015-01-01,M,U,25,25
144,1152,2015-01-01,M,W,25,26
145,1160,2015-01-01,F,W,31,31
146,1168,2015-01-01,M,B,30,30
147,1176,2015-01-01,M,B,24,24
148,1184,2015-01-01,M,B,27,27
149,1192,2015-01-01,M,W,30,30
150,1200,2015-01-01,M,B,24,24
151,1208,2015-01-01,F,W,29,29
152,1216,2015-01-01,M,B,28,28
153,1224,2015-01-01,M,W,26,26
154,1232,2015-01-01,M,B,22,23
155,1240,2015-01-01,M,W,43,43
156,1248,2015-01-01,M,B,22,22
157,1256,2015-01-01,M,W,51,51
158,1264,2015-01-01,M,W,49,49
159,1272,2015-01-01,M,B,19,20
160,1280,2015-01-01,M,W,48,48
161,1288,2015-01-01,M,B,21,21
162,1296,2015-01-01,F,B,40,40
163,1304,2015-01-01,M,B,56,57
164,1312,2015-01-01,M,B,40,40
165,1320,2015-01-01,M,B,48,48
166,1328,2015-01-01,F,B,39,40
167,1336,2015-01-01,M,B,55,56
168,1344,2015-01-01,M,W,31,31
169,1352,2015-01-01,M,B,35,35
170,1360,2015-01-01,M,W,24,25
171,1368,2015-01-01,M,B,36,37
172,1376,2015-01-01,M,W,36,36
173,1384,2015-01-01,M,B,33,33
174,1392,2015-01-01,M,W,29,29
175,1400,2015-01-01,M,B,27,27
176,1408,2015-01-01,M,B,41,42
177,1416,2015-01-01,M,W,52,52
178,1424,2015-01-01,M,W,28,28
179,1432,2015-01-01,M,W,33,33
180,1440,2015-01-01,M,W,50,50
181,1448,2015-01-01,M,W,24,24
182,1456,2015-01-01,M,B,22,22
183,1464,2015-01-01,M,W,21,22
184,1472,2015-01-01,F,W,46,47
185,1480,2015-01-01,M,B,57,57
186,1488,2015-01-01,M,B,28,29
187,1496,2015-01-01,M,W,43,44
188,1504,2015-01-01,M,B,55,55
189,1512,2015-01-01,M,B,26,26
190,1520,2015-01-01,M,B,20,21
191,1528,2015-01-01,M,B,41,42
192,1536,2015-01-01,M,W,36,37
193,1544,2015-01-01,M,B,22,22
194,1552,2015-01-01,M,B,23,24
195,1560,2015-01-01,M,B,26,27
196,1568,2015-01-01,M,B,34,34
197,1576,2015-01-01,M,B,25,25
198,1584,2015-01-01,M,B,24,25
199,1592,2015-01-01,M,B,23,24
200,1600,2015-01-01,M,B,20,20
201,1608,2015-01-01,M,B,27,28
202,1616,2015-01-01,M,W,55,56
203,1624,2015-01-01,M,B,19,19
204,1632,2015-01-01,M,B,33,33
205,1640,2015-01-01,M,B,58,59
206,1648,2015-01-01,M,W,32,33
207,1656,2015-01-01,M,B,24,25
208,1664,2015-01-01,M,B,20,20
209,1672,2015-01-01,M,B,31,31
210,1680,2015-01-01,F,B,49,50
211,1688,2015-01-01,M,B,24,24
212,1696,2015-01-01,M,W,22,23
213,1704,2015-01-01,M,W,35,36
214,1712,2015-01-01,M,B,55,55
215,1720,2015-01-01,M,W,24,24
216,1728,2015-01-01,M,B,25,26
217,1736,2015-01-01,M,B,30,31
218,1744,2015-01-01,M,B,42,42
219,1752,2015-01-01,M,U,27,27
220,1760,2015-01-01,M,B,20,21
221,1768,2015-01-01,M,W,42,43
222,1776,2015-01-01,F,W,41,41
223,1784,2015-01-01,M,B,60,61
224,1792,2015-01-01,M,W,50,50
225,1800,2015-01-01,M,B,49,50
226,1808,2015-01-01,M,B,25,26
227,1816,2015-01-01,M,W,21,21
228,1824,2015-01-01,M,B,22,23
229,1832,2015-01-01,M,W,32,33
230,1840,2015-01-01,M,W,25,26
