X,Y,OBJECTID,FET_TYPE,FET_SUBTYPE,FET_NAME,ADM_UNIT_CD,ADMIN_ST,LAT,LONG,created_date,last_edited_date,DESCRIPTION,WEB_LINK,UNIT_NAME,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,SEASON_RSTRCT,SEASON_OPEN,SEASON_CLOSE,NOTES,GlobalID,COORD_SRC_TYPE,ORIG_STATE_FET_TYPE
365100.3158,4419791.2618,1,3,Campsite - Primitive - Non Reservable - No Fee,Benches 3 Campsite,CON02000,CO,39.91748334,-106.57843333,,2017/10/20 15:16:39+00,CAMPING - GROUP - BENCH #3,,Upper Colorado River SRMA,YES,,,,,,,{A06EE95F-837B-45C1-9D1E-EBDD7C4A79C2},OTH,
367621.9505,4424441.7977,3,3,Campsite - Primitive - Non Reservable - No Fee,Cabin River Camping Site,CON02000,CO,39.95976667,-106.54988333,,2017/10/20 15:16:39+00,CABIN camp site,,Upper Colorado River SRMA,YES,,,,,,,{8F5F9A7D-1536-450F-924C-5B2B5E260A30},OTH,
367628.4991,4424326.9531,4,3,Campsite - Primitive - Non Reservable - No Fee,Upper Cottonwood Campsite,CON02000,CO,39.95873334,-106.54978333,,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{20EF109D-AC4C-42AF-AA9E-C16A10F21461},OTH,
380616.7076,4438478.0743,6,4,Point of Interest,Muddy Creek Fishing Access,CON02000,CO,40.0873,-106.40761667,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{16E533F3-532C-4583-9ACD-A49F373D1C7D},OTH,
398666.9898,4524977.4756,7,13,SRMA,North Sand Hills SRMA,CON02000,CO,40.8696002,-106.20250927,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{941EA414-E40D-4685-93AB-EC20E97FE06F},OTH,
371112.7267,4427250.1679,8,10,Campground,Pumphouse Rec. Site Campground,CON02000,CO,39.9856,-106.50958334,,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{B605E12D-3211-4D77-95F8-55959693548D},OTH,
153818.8425,4166965.124,168,4,Interpretive Site,LOWRY PUEBLO,COS01000,CO,37.58467422,-108.92015856,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{DDEA130F-A390-4E71-9E85-DA15BE131568},UNK,
161772.8825,4139610.1809,169,7,Access Point,SAND CANYON,COS01000,CO,37.34161028,-108.81772479,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{2A6D2D4E-A530-4C85-B1B9-0EC74C7861D2},UNK,
165804.0935,4145931.195,170,4,Interpretive Site,SAND CANYON PUEBLO,COS01000,CO,37.39992201,-108.77516534,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{DD3968CD-9500-4CA5-9CBC-9B2F5959BACF},UNK,
149125.3225,4152782.216,172,4,Interpretive Site,PAINTED HAND PUEBLO,COS01000,CO,37.4553662,-108.96642446,,2017/10/20 15:16:39+00,,,,YES,,,,,,,{1FFBB44B-C96B-41C2-9727-FBAA75B16464},UNK,
394938.5991,4435778.2563,191,4,Point of Interest,Powers Fishing Access,CON02000,CO,40.06571665,-106.23197335,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,POWERS FISHING ACCESS,,Upper Colorado River SRMA,YES,,,,,,,{A4A2B07C-1597-4740-8EBD-E63919B9EC6D},OTH,
391277.7109,4434402.943,192,4,Point of Interest,Reeder Creek Fishing Access,CON02000,CO,40.05286414,-106.27466099,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{8D11BDAF-6824-4BA1-990E-91D8C59AFD17},OTH,
387199.4068,4433379.2782,193,4,Point of Interest,Barger Gulch Fishing Access,CON02000,CO,40.04310782,-106.32228505,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{6DA9D965-D061-4C9F-9217-69454DC687B0},OTH,
383022.2051,4433688.6749,194,4,Point of Interest,Highway 9 Fishing Access,CON02000,CO,40.04532551,-106.3712944,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{FD0B5D6C-C85A-4B59-89DB-A5A745284B8B},OTH,
371074.3078,4427265.5928,196,10,Campground,Pumphouse Rec Site Campground,CON02000,CO,39.98573307,-106.51003623,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{E930BC40-4397-4AE2-A745-401E964F284F},OTH,
367077.6153,4423376.6075,197,10,Campground,Radium Rec Site,CON02000,CO,39.95008762,-106.55603672,2015/07/13 21:47:11+00,2017/11/03 15:50:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{2D381F83-9B97-4C29-BC30-408330F90B25},OTH,
378983.2117,4441140.6386,198,4,Point of Interest,Wolford Dam Fishing Access,CON02000,CO,40.1118747,-106.42002261,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,,YES,,,,,,,{FE6DDFA7-E091-4CED-B678-ACCB0DBD8D4B},OTH,
379458.9534,4447275.7506,199,4,Scenic Overlook,Wolford Red Desert Overlook,CON02000,CO,40.16720092,-106.41558832,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,WOLFORD RED DESERT OVERLOOK,,,YES,,,,,,,{6C3797FC-5FBE-434E-AB10-B01BB9FC95EC},OTH,
373053.6733,4428846.7685,200,4,Interpretive Site,Inspiration Point Viewing Area,CON02000,CO,40.00027403,-106.48716933,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,Upper Colorado River SRMA,YES,,,,,,,{BDD55043-068F-406E-B000-96DC9288213A},OTH,
428251.1793,4429205.7028,201,14,Parking Area,Fraser River Access Trailhead,CON02000,CO,40.01000143,-105.84066415,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,,YES,,,,,,,{1E0ACA88-443E-457B-AF4E-2F912DDDCFBB},OTH,
412045.9241,4440274.6837,202,8,Parking Area,Jacques Parking Area,CON02000,CO,40.10818084,-106.03201431,2015/07/13 21:47:11+00,2017/11/03 16:09:11+00,PARKING - 120' X 176' - AGGREGATE,,,YES,,,,,,,{E9CE8BFF-D452-4E5F-889B-6F6D4DD695EE},OTH,
382679.787,4437974.0761,203,8,Parking Area,Sidewinder Parking Area,CON02000,CO,40.08387697,-106.3760839,2015/07/13 21:47:11+00,2017/10/20 15:16:39+00,,,,YES,,,,,,,{FD38528D-92E2-4A13-9F9A-6E5330AF03C8},OTH,
