rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
7293,24812,9167,149324374898174,276266676055141,255
291,24814,-2917,252680819716239,147781941070492,255
4086,24817,1042,393315994294518,276387576062486,255
291,24824,-19432,276465876186768,276466176086601,255
291,24825,8884,276524076117184,276524376016804,255
7597,24832,12747,292324251940755,276712776054431,255
10054,24836,-9578,282946970047027,276786576054094,229
291,24837,25149,276807576180806,416639848833344,217
291,24840,-9437,320076429721771,276871476076359,231
291,24841,30740,276902376173424,276902676073996,255
291,24842,9882,276905076189763,276905376089894,255
291,24845,4244,276991776165653,398448526657450,255
8996,24846,89942,277046076112879,277046376011948,255
9705,24848,-16427,277077576115421,277077876031133,284
9768,24849,25704,277087776120136,277088076019619,255
4131,24850,21651,277105776156255,277106076056089,255
291,24851,29929,277128876140941,277129176056224,255
291,24854,-1322,277300776152599,277301076052613,255
291,24855,22360,277322976141651,277323276041700,267
5000,24860,-26389,346266520592158,277422576021761,255
8107,24860,-14186,224043747834316,277422276020987,255
4623,24863,6613,277475976171669,182459118575614,255
10340,24868,-7659,348802073423289,277564776055062,292
291,24871,-28559,277761876155317,277762176055058,255
291,24871,-18655,207010262075359,277762476055040,357
9436,24871,-8109,329653432884971,362551990126806,255
291,24871,8715,160738131381287,277762776054868,313
4362,24872,-27389,278111376173785,346827848423504,255
291,24872,-15860,278112276174364,278112576074002,255
291,24872,-15818,278111076173845,278111376073772,255
291,24872,-7627,272130873778721,278112276074352,255
291,24872,-7590,278110776173817,179844702033737,304
291,24872,22502,278111676173899,278111976073767,255
291,24875,9486,199166634844361,278165976038274,128
4989,24875,26911,278165976138286,152146570122002,255
291,24879,-8944,278254776155986,278255076056032,255
291,24884,7052,278375976156003,278376276055805,255
291,24891,-7748,278509476115473,278509776015417,255
9079,24892,17992,278528976175120,278529276008998,331
4108,24893,-5799,278600076104027,278600376003917,255
4452,24894,-17793,278629176152752,278629476053031,255
291,24894,-14867,278629476153033,278629776053482,255
4526,24896,27777,278684376164152,278684676064046,255
291,24897,-22763,278685276199324,174076024777219,255
291,24897,-7289,278685876199732,278686176099886,148
291,24897,-90216,278685576199348,278685876099755,293
291,24899,-11115,379026847570198,278717676068437,255
291,24902,3575,278774076122370,278774376037724,255
291,24903,-24283,278796876146496,278797176046233,255
1064,866291,-15483,277251266060337,277251565936918,255
1064,866293,-12837,277257566099942,354485846941881,255
1064,866299,-28162,336360556869219,237717054399135,255
1064,866299,-5412,266296324996156,175556686139135,255
1064,866299,3873,277340966037546,369454509122686,255
9713,866299,-90062,277341566037809,277341865914144,231
4001,866329,2628,277596866107593,277597165983831,255
1064,866330,-5248,277601966078331,277602265954924,255
1064,866331,31201,277653266074553,277653565951295,255
1064,866338,-26896,277733666117502,277733965993486,244
1064,866338,28809,277733966117257,277734265993498,255
1064,866339,-25478,277740266085585,277740565962259,255
9617,866339,6691,277740566085630,277740865962257,255
1064,866339,31012,284036946526013,141545868303059,255
1064,866345,-32270,277763966084035,277764265960465,207
10016,866347,8974,384366305631307,277780165934108,255
10240,866347,27712,277780166057538,291983758553769,249
1111,68617,11297,276175176157090,208816061569036,255
1111,68617,22316,276174876157102,276175176057082,255
7632,68618,-17609,276209676163340,276209976063191,255
5315,68618,-9147,276209976163181,168710607618310,255
1111,68619,-1709,276261576159581,276261876059776,255
1111,68619,17859,276261276159935,276261576059582,359
1111,68621,-9254,276298476174493,242881075124846,255
9453,68621,6434,388050512146049,276298476074510,245
1111,68622,-2867,396269290637111,276299976073848,255
1111,68623,24976,276347976160352,276348276060593,255
4544,68624,-26558,357085230604780,276383676098591,255
1111,68624,-4950,276383676198617,276383976098339,350
1111,68624,-93920,276383976198339,276384276098170,255
1111,68627,-3890,276434376139976,276434676055642,255
1111,68628,-17741,276473676139252,276473976054971,255
8523,68629,-31844,276479376176746,276479676076721,255
1111,68629,-28156,276478176176829,276478476077093,255
1111,68629,-26323,276479976176715,276480276077031,246
7814,68629,-23125,276475776182646,276476076082610,255
1111,68629,-86149,276476676199656,175010614927435,255
9534,68629,-18701,276481176176773,235508025368138,255
1111,68629,-17393,356870457640099,148251409838080,255
1111,68629,-88419,276478476177104,159934577965717,255
1111,68629,-10416,276480576176693,276480876076684,255
7823,68629,-6816,189233720354317,276477576046770,255
1111,68629,677,276478776176973,276479076076829,255
1111,68629,-84797,276477576146770,276477876076856,255
1111,68629,2522,144097491229541,276476676099656,267
4742,68629,3069,276482076176736,377792080473322,379
1111,68629,3393,276476076182671,276476376099695,255
1111,68629,10626,276481776177320,252753509171286,255
1111,68629,18585,298401928549824,251075791962545,286
1111,68629,19099,276481476177251,276481776077268,296
1111,68629,19484,276479076176811,276479376076815,255
1111,68629,19837,276476976200307,141217888679102,255
1111,68629,30805,276480276176942,276480576076778,255
1111,68629,30891,276479676176725,276479976076769,255
1111,68665,91223,276832776181379,276833076080299,255
4155,68665,-23960,276832476180342,276832776080955,255
7638,68666,-29319,350096031909919,276866976015975,255
1111,68666,17687,276866976116034,276867276015928,255
1111,68667,-21626,276901476196655,276901776097086,255
1111,68667,7615,276901176196667,276901476096658,255
1111,68667,28050,158855983109704,259325953577946,207
1111,68668,-1895,276907476115545,276907776015666,255
1111,68668,25503,276907176115243,276907476015546,255
1111,68669,-31843,276952176172096,276952476005958,255
3238,68669,1590,276951876155641,276952176072124,255
1111,68670,-7605,419233633961045,276990276009688,255
1111,68670,5994,247320935379404,276990576009728,255
1111,68671,-9059,233022180799752,277038876050561,255
1111,68672,-2903,277070676196903,263349737970578,184
1111,68672,2182,277070376196764,277070676096562,255
1111,68672,12215,277070076196540,277070376096765,255
1111,68673,4150,277082376197031,247790493272939,164
1111,68673,8035,277082076196575,277082376096991,166
1111,68673,8483,277082676197050,357482050415467,255
1111,68673,9409,277081776196672,277082076096289,255
1111,68675,1807,277125276117857,277125576017960,168
4412,68675,9419,277125576117953,277125876033753,255
1111,68676,12855,305727423104218,277160976063405,255
1111,68685,-2916,277644276185014,277644576081641,255
4856,68685,14106,277644576181626,277644876081833,169
4054,68686,30560,277685976120586,277686276020474,255
1111,68688,-32382,277730676179399,277730976079508,255
1111,68688,23858,277730976179475,277731276079514,255
10235,68689,23767,236858648792039,277763676043542,255
1111,68691,-16618,277932876172438,277933176003946,255
1111,68691,-10767,277932576153783,277932876072437,255
1111,68692,1289,291902071353169,277941876036537,255
1111,68692,2432,277941276136657,277941576036799,255
7694,68692,18294,225457502675162,277941276036583,255
4744,68694,-12104,278023476151227,278023776051283,255
1111,68694,-116,278023776151315,278024076051307,255
1111,68695,8370,278076276159457,278076576059701,255
1111,68695,14333,344626479924050,278076876059657,255
1111,68696,3742,278110476187345,360221710400299,235
1111,68698,9345,278162976165754,278163276065384,255
1111,68698,29436,278163276165387,225725008138532,315
1111,68700,-1535,278246976179896,278247276080009,255
8696,68700,-1045,278247276180035,397012370563816,255
9861,68701,-10358,278276976136966,278277276037230,255
3810,68701,-87177,144030386193916,278277576052611,255
4161,68702,-14815,278279676182520,278279976082693,255
1111,68702,24717,278280276182736,278280576082399,255
1111,68702,27366,182325922298589,278280276082720,255
1111,68703,-16038,245363271780614,278286876044061,255
5062,68703,-15505,278286876144032,278287176043750,287
1111,68703,-1606,278287176143728,278287476043795,337
1111,68704,-16672,278291076181676,278291376081928,255
1111,68704,18507,195206596011138,278291076081713,379
1111,68704,18993,278291376182317,278291676082142,255
1111,68705,-30474,278334276132978,278334576033522,255
1111,68706,-9134,278368476172927,278368776088450,255
9411,68706,18084,278368176173066,278368476072965,255
1111,68710,-30180,314194283856739,278380776085870,255
1111,68710,-24573,278379876185523,278380176085466,255
1111,68710,-5467,370346443831175,278379576085663,130
1111,68710,-5312,278378676185390,278378976085783,255
8986,68710,1506,278380176185379,278380476085945,368
1111,68710,20501,196069129714242,278379876085499,255
1111,68710,23563,137600350146272,278379276085560,255
1111,68710,27544,141754261199476,278378676085394,255
1111,68721,-21321,278545176161881,329786256971326,255
1111,68721,-8029,278544876146568,278545176061871,255
9260,68721,-7297,278545476162147,365824972882100,255
1111,68721,-2425,278545776177436,278546076077395,255
1111,68721,2387,278546076177405,278546376093905,255
1111,68721,88921,278546376193887,317006899509325,255
1111,68721,14313,278544276146790,163479592100940,255
1111,68721,32205,399747449597947,278544876046565,255
1111,68723,-229,278595876149429,242622373139244,255
1111,68723,26004,278595576133234,244102010150510,255
1111,68724,15995,278629776156120,207140418287945,255
1111,68724,20263,169445004932895,278630376056570,255
1111,68725,1111,278681376134184,278681676034122,255
1111,68725,30314,278681076176320,278681376034186,255
4895,68728,-31363,278716476194954,278716776094976,255
5134,68728,-16879,278716176194939,246045908879011,255
1111,68729,13434,278767476112451,278767776029192,255
3640,68729,30869,278767776129181,278768076029525,255
1112,53964,-32748,276173976121220,276174276021229,277
1112,53964,-29086,276174276121240,319742302424456,255
1112,53964,-23055,276174576121177,276174876021024,255
1112,53964,-5706,276174876120999,276175176021093,255
1112,53964,10479,276175176121161,276175476021473,255
1112,53968,-32542,276260676155659,276260976055621,255
1112,53968,-28962,276261876155443,276262176055696,255
1112,53968,-17393,276261576155659,276261876055439,324
1112,53968,10566,276261276155497,276261576055652,172
1112,53968,32065,276260976155614,187628515678572,255
1112,53969,865,276295776190322,276296076091229,255
3594,53971,-30967,276302976178090,186344808405945,255
1112,53971,-28888,276302376161338,276302676061438,255
1112,53971,-16942,276302076161493,276302376061340,255
1112,53971,-4293,276302676161433,276302976078091,255
1112,53972,-28299,276347076173813,276347376073443,255
7371,53972,10670,276347376173451,276347676073500,255
1112,53972,21972,276347976173521,276348276073879,255
1112,53972,25999,294026405363902,276347976073486,255
1112,53973,-8253,245174826120909,276373176032673,255
1112,53973,535,353455436782781,276372876032913,255
1112,53973,12346,276373476132654,399201860515171,255
8424,53973,24866,276373176132654,276373476032644,255
1112,53977,5352,276435276147219,276435576047019,255
7953,53977,10543,276433476147276,276433776047242,255
1112,53977,11961,276432876147317,347375050617850,255
1112,53977,23334,276434076146961,276434376047210,255
4138,53977,25676,276433176147077,214919018507705,255
1112,53977,29346,276435576147025,276435876046922,275
1112,53977,31078,276433776147222,276434076046977,255
3126,53978,-17076,276446976189253,276447276089724,280
1112,53978,24621,276446676189701,276446976089301,255
8535,53985,-20273,276564276118879,276564576018776,255
5154,53985,93535,276564576118784,276564876018727,255
1112,53985,-10323,289588893167261,276565176019104,142
5284,53997,-7008,276779376111605,276779676027964,255
1112,53997,332,276779976127470,276780276043563,255
1112,53997,5736,276780276143571,276780576043839,255
1112,53997,17593,276779676127747,276779976027472,255
1112,53997,30244,276779076111607,276779376011580,255
1112,53998,-20934,276809376164625,276809676064338,137
7662,53999,-26404,276814776136985,276815076037084,255
1112,53999,-84549,276814476120852,152544611953052,255
1112,53999,-11480,401726265542697,276814476020857,255
9868,53999,-4407,276815076137086,276815376037436,255
1112,53999,1912,276815676152291,276815976052155,255
1112,53999,22128,138666233025717,276815676052296,255
10226,54001,-19968,276866376152254,276866676052109,239
1112,54001,-6824,235646098669777,276866076052285,255
1112,54001,-5698,276866076152291,276866376052246,135
1112,54001,3992,408500473720764,352229301476718,255
1112,54002,1411,276952176195152,276952476011094,255
1112,54002,7099,276952476111087,276952776058713,336
1112,54002,24381,276951876194505,341617953332619,162
1112,54005,1679,277039476159189,277039776059097,255
1112,54005,5705,298201981885261,277038876059064,255
1112,54005,7281,277039776159089,164616624274506,255
1112,54005,12469,277039176159059,277039476059189,255
1112,54005,26850,277038876159076,277039176059059,255
4908,54006,-26467,277073076155443,277073376055418,255
1112,54006,84957,352627447902866,277073076055472,255
1112,54008,-31287,158051346379037,277080276049035,196
3644,54008,29109,277080276149041,277080576049273,255
8994,54008,30830,277080576149257,277080876049057,255
1112,54008,31184,277080876148941,277081176049172,255
1112,54015,-20251,277138176110148,277138476009792,362
1112,54015,25822,277138476109790,305250301862235,255
1112,54034,383,277384176105023,277384476004952,255
1112,54034,21901,207943839939918,140816508799819,255
1112,54034,31855,277383876105924,244491732976345,255
1112,54034,32749,277384776105722,277385076005350,255
1112,54036,5924,327876617356948,277425876041689,255
1112,54036,17538,277426176141414,157641624238051,255
1112,54036,20676,277425876141718,277426176041410,310
1112,54036,23947,277426476141239,277426776041429,255
1112,54037,-14080,195948611311083,277471776069623,255
1112,54037,-12738,277470576169435,277470876069539,255
4262,54037,-7402,277470876169546,277471176069481,208
8087,54037,2851,277471176169482,277471476069534,255
1112,54037,4988,277470276169762,277470576069436,255
1112,54039,-1211,347712195725684,277513176084415,255
1112,54039,4690,277512276184705,277512576084586,352
1112,54039,15349,277512576184591,277512876084564,255
4494,54039,30366,277513176184387,414596745236665,194
1112,54040,-12640,215799020627317,277557876020806,255
8754,54040,-4692,277556976104978,195278167779207,182
4063,54040,20132,412535300502690,277556976005282,255
1112,54040,29481,277557276120230,277557576020607,255
1112,54041,9666,277590876161025,367748107993686,255
1112,54042,-27206,277643076117760,277643376017786,255
1112,54042,-24946,277642776118048,277643076017705,255
1112,54042,-14180,382455683227203,139399915814253,255
2905,54042,23354,277643676118050,277643976017864,255
1112,54042,24363,277643976117898,277644276017954,166
1112,54044,-30336,277729176117162,277729476016924,255
1112,54044,-26666,277729776134222,277730076083525,255
1112,54044,-18454,277730076183070,277730376082864,181
8629,54044,-11381,277730376182840,277730676083412,255
1112,54044,18494,277729476116903,277729776034224,255
1112,54045,20,277764576112654,277764876012888,255
1112,54045,9055,277763676164798,277763976080823,255
1112,54045,13689,277764276181191,277764576012639,255
1112,54045,25649,277763976180807,277764276080786,255
4350,54058,-29443,277989276140546,277989576040506,255
1112,54058,85252,310241998499039,277988676040638,255
10008,54058,-12792,277989576140480,277989876040847,365
1112,54058,4220,277988976140562,157855437281462,255
1112,54058,7857,277988676140645,277988976040558,145
1112,54060,-92796,278005776122693,158177110647192,255
1112,54061,-28487,285212304800306,278023776067178,255
1112,54061,-12417,278023176167432,278023476067299,255
1112,54063,-770,278030676146479,278030976046406,205
1112,54063,8150,278030976146409,278031276046408,351
1112,54063,16295,278031276146377,278031576046335,255
1112,54063,-88297,278031576146331,151073524570063,202
1112,54064,-3076,278075676104354,256643307193320,255
1112,54064,14722,278075376187383,278075676004367,255
1112,54064,20515,278075976104142,278076276019306,255
1112,54065,-21787,278108076120168,278108376020238,333
9414,54066,-29967,278111376198216,278111676098387,255
1112,54066,-27280,278111076198458,278111376098234,255
3109,54066,-3003,278111676198883,278111976098269,255
9177,54066,11940,155969143310730,278112276098466,239
1112,54066,-83937,278110776198512,278111076098461,255
10198,54071,90697,278161776113041,278162076012951,255
1112,54071,-11672,278161476112985,154086078627732,255
