,execution_number,n_labels,precision,recall,fscore
0,1,66,0.4539124602046333,0.5,0.47584288825335186
1,1,132,0.4539124602046333,0.5,0.47584288825335186
2,1,198,0.6980113019078583,0.7341541971403458,0.7138526799291576
3,1,264,0.7745572362045802,0.6638301912510935,0.701123637673001
4,1,330,0.7321009826561837,0.8387762748903376,0.7707444273997092
5,1,396,0.7393144329598014,0.7275069080966986,0.7332045031226014
6,1,462,0.8389123514392578,0.6442817541807634,0.6935471833114134
7,1,528,0.7288146644764695,0.777466789651298,0.7497843259115701
8,1,594,0.8000571687992392,0.6419190241109567,0.6854949016421356
9,1,660,0.7239403146800485,0.8363782197496943,0.7633129233597575
10,1,726,0.8135034336044705,0.8485309205891629,0.8297730733344055
11,1,792,0.7393144329598014,0.7275069080966986,0.7332045031226014
12,1,858,0.828570957167876,0.8256981098371448,0.8271262336000206
13,1,924,0.7745572362045802,0.6638301912510935,0.701123637673001
14,1,990,0.7440375371768709,0.7972195021058275,0.7669222080616094
15,1,1056,0.6829635848153909,0.6998409351008861,0.6908492900534743
16,1,1122,0.6341695503867271,0.7458808063998511,0.660513471660739
17,1,1188,0.6980113019078583,0.7341541971403458,0.7138526799291576
18,1,1254,0.8389123514392578,0.6442817541807634,0.6935471833114134
19,1,1320,0.7239403146800485,0.8363782197496943,0.7633129233597575
20,2,66,0.786364588873057,0.8886659458865778,0.826663183986299
21,2,132,0.6915481144850628,0.8439746419334289,0.7328067510010576
22,2,198,0.8293527790652129,0.5505586030117975,0.5691848268357631
23,2,264,0.6725614431889487,0.6944945207095743,0.6825358202652825
24,2,330,0.6732921671090383,0.5219464922109736,0.5206350383718988
25,2,396,0.7846732366319671,0.8384595422364063,0.8083740658125722
26,2,462,0.6670745193295384,0.7880723815082306,0.700979982378051
27,2,528,0.7321009826561837,0.8387762748903376,0.7707444273997092
28,2,594,0.7239403146800485,0.8363782197496943,0.7633129233597575
29,2,660,0.7432470329806455,0.8115947790021418,0.7714017356886962
30,2,726,0.6915481144850628,0.8439746419334289,0.7328067510010576
31,2,792,0.6766238198655093,0.7144230443309364,0.6927432780922261
32,2,858,0.7523537642207263,0.7995180877472328,0.7731051292870468
33,2,924,0.7575187353662673,0.729463807245002,0.7423978894559686
34,2,990,0.7524169604689166,0.7617335138317519,0.7569586902942924
35,2,1056,0.6636670208072084,0.5855878839857418,0.6072877430173079
36,2,1122,0.8259902507574595,0.7843360895290976,0.8033147905782441
37,2,1188,0.7745572362045802,0.6638301912510935,0.701123637673001
38,2,1254,0.7745572362045802,0.6638301912510935,0.701123637673001
39,2,1320,0.7393144329598014,0.7275069080966986,0.7332045031226014
40,3,66,0.8389123514392578,0.6442817541807634,0.6935471833114134
41,3,132,0.8337319571999294,0.8261548360022275,0.8298863655451776
42,3,198,0.731138815012465,0.7664975303388935,0.7470306937688084
43,3,264,0.8000571687992392,0.6419190241109567,0.6854949016421356
44,3,330,0.8389123514392578,0.6442817541807634,0.6935471833114134
45,3,396,0.7321009826561837,0.8387762748903376,0.7707444273997092
46,3,462,0.7395852742034548,0.8420970645161685,0.7776603987125201
47,3,528,0.8193790799926397,0.8501935765012645,0.8338385957158301
48,3,594,0.6304824679591557,0.6776321499943357,0.6479648822220627
49,3,660,0.7190957601950722,0.7901750666061249,0.7473532325033633
50,3,726,0.4539124602046333,0.5,0.47584288825335186
51,3,792,0.7321009826561837,0.8387762748903376,0.7707444273997092
52,3,858,0.8389123514392578,0.6442817541807634,0.6935471833114134
53,3,924,0.4539124602046333,0.5,0.47584288825335186
54,3,990,0.7950898756624374,0.64188369904012,0.6846733327228058
55,3,1056,0.7950898756624374,0.64188369904012,0.6846733327228058
56,3,1122,0.7745572362045802,0.6638301912510935,0.701123637673001
57,3,1188,0.7930891422162857,0.8213113213917185,0.8063221491482147
58,3,1254,0.7239403146800485,0.8363782197496943,0.7633129233597575
