county,statevalue,fips(long),datevalue,lat(double precision),lon(double precision),cases(long),deaths(long),statecases(long),statedeaths(long),newcases(long),newdeaths(long),newstatecases(long),newstatedeaths(long)
Los Angeles,California,3175,08/27/2021 12:00:00 AM,17.333245248401187,-118.2282411,1407317,25284,4360789,65873,1930,-66,14660,59
Los Angeles,California,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,30759729,65873,0,0,0,0
Los Angeles,California,6037,08/30/2021 12:00:00 AM,28.355711614778308,-118.2282411,1414854,25401,4405324,66301,2475,35,10613,119
Los Angeles,California,6037,08/31/2021 12:00:00 AM,34.30828379,-118.2282411,1414854,25401,4405324,66301,0,0,0,0
Los Angeles,California,6037,09/01/2021 12:00:00 AM,34.30828379,-118.2282411,8581433,25454,27068973,66470,2111,20,6798,87
Los Angeles,California,6037,09/02/2021 12:00:00 AM,34.30828379,-118.2282411,1419030,25454,4418368,66470,0,119,0,0
Los Angeles,California,6037,09/03/2021 12:00:00 AM,34.30828379,-118.2282411,1421616,25477,4435277,-123243,1056,12,11581,-182
Los Angeles,California,6783,09/04/2021 12:00:00 AM,34.30828379,-118.2282411,1423620,84819,4445862,66651,2004,37,10585,111
Los Angeles,California,6037,09/05/2021 12:00:00 AM,34.30828379,-118.2282411,7033511,25533,-15051363,66791,0,19,5485,-193
Los Angeles,California,6084,09/06/2021 12:00:00 AM,21.361594412390097,-104.12917539988014,8627669,-37557,4451347,252874,0,0,0,0
Los Angeles,California,6037,09/07/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25611,4462876,66975,0,0,0,0
Los Angeles,California,6037,09/08/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25630,4472759,67100,0,0,4165,42
Los Angeles,California,6037,09/09/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25630,29802955,67100,0,0,0,0
Los Angeles,California,6037,09/10/2021 12:00:00 AM,34.30828379,-118.2282411,1433465,25688,-13339459,67223,0,-71,130,2
Los Angeles,California,7386,09/11/2021 12:00:00 AM,34.30828379,-118.2282411,1435163,25713,4497470,67298,0,0,0,0
Los Angeles,California,6037,09/12/2021 12:00:00 AM,37.71123093418165,-118.2282411,1437073,87840,4608351,67645,0,19,10768,163
Los Angeles,California,8976,09/13/2021 12:00:00 AM,34.30828379,-118.2282411,1439011,25775,4610847,67672,0,0,0,4
Los Angeles,California,6037,09/14/2021 12:00:00 AM,26.563772186159767,-78.87654634152412,1440721,72310,4620663,67781,0,0,0,-197
Los Angeles,California,6037,09/15/2021 12:00:00 AM,34.30828379,-60.63114469658294,1442808,25828,4629254,67880,0,0,0,0
Los Angeles,California,6037,09/16/2021 12:00:00 AM,34.30828379,-118.2282411,-4194575,25849,4636268,-115600,0,0,0,0
Los Angeles,California,6037,09/17/2021 12:00:00 AM,34.30828379,-118.2282411,1445121,83940,4644566,68019,0,0,0,0
Los Angeles,California,6037,09/18/2021 12:00:00 AM,34.30828379,-118.2282411,1446348,75120,4651497,68087,0,0,0,0
Los Angeles,California,8733,09/19/2021 12:00:00 AM,35.71931367437529,-118.2282411,1448065,25911,4659062,68239,0,0,0,0
Los Angeles,California,6037,09/20/2021 12:00:00 AM,34.30828379,-89.69880049856172,1449923,25942,4668924,68392,0,0,-185,12
Los Angeles,California,6037,09/21/2021 12:00:00 AM,34.30828379,-118.2282411,1451438,25972,4676539,68551,0,0,0,0
Los Angeles,California,6059,09/22/2021 12:00:00 AM,34.30828379,-118.2282411,1452998,25999,4678891,68585,0,0,0,0
Los Angeles,California,6037,09/23/2021 12:00:00 AM,34.30828379,-118.2282411,1454172,26013,4680552,279909,0,0,0,0
Los Angeles,California,6037,09/24/2021 12:00:00 AM,34.30828379,-118.2282411,8111624,26035,4698504,68767,0,0,0,0
Los Angeles,California,5614,09/25/2021 12:00:00 AM,34.30828379,-118.2282411,1456275,26047,4704036,68826,0,0,0,0
Los Angeles,California,6037,09/26/2021 12:00:00 AM,34.30828379,-118.2282411,1457672,99224,4711012,68980,0,0,0,0
Los Angeles,California,6037,09/27/2021 12:00:00 AM,34.30828379,-118.2282411,1459182,26106,4720273,69121,0,0,-587,-9
Los Angeles,California,6037,09/28/2021 12:00:00 AM,34.30828379,-118.2282411,1460645,-39934,4729153,69225,0,0,0,0
Los Angeles,California,4214,09/29/2021 12:00:00 AM,34.30828379,-118.2282411,7452963,-34469,4731043,69246,0,108,0,4
Los Angeles,California,6037,09/30/2021 12:00:00 AM,34.30828379,-80.69720009071605,1463039,26153,4732419,69256,0,0,0,0
Los Angeles,California,6037,10/01/2021 12:00:00 AM,34.30828379,-118.2282411,7700409,26179,27488621,236165,0,0,0,0
Los Angeles,California,6037,10/02/2021 12:00:00 AM,40.90291195296264,-118.2282411,1464793,76836,4751419,69492,0,0,213,-8
Los Angeles,California,6037,10/03/2021 12:00:00 AM,34.30828379,-118.2282411,1466248,26226,4757349,69663,0,0,0,0
Los Angeles,California,6037,10/04/2021 12:00:00 AM,34.30828379,-118.2282411,1467450,26254,4764554,69822,0,0,0,2
Los Angeles,California,6037,10/05/2021 12:00:00 AM,34.30828379,-118.2282411,1468634,26284,4771626,216577,0,0,0,0
Los Angeles,California,6037,10/06/2021 12:00:00 AM,34.30828379,-118.2282411,-4480441,26308,4773284,69990,0,0,0,0
Los Angeles,California,6037,10/07/2021 12:00:00 AM,35.75111688228148,-118.2282411,1470829,26312,4774445,69994,0,0,0,0
Los Angeles,California,6037,10/08/2021 12:00:00 AM,34.30828379,-118.2282411,1471645,26338,4787635,70150,0,0,0,0
Los Angeles,California,6037,10/09/2021 12:00:00 AM,24.79536892225814,-174.67761398885986,1472419,26346,4792729,70204,0,0,0,0
Los Angeles,California,6037,10/10/2021 12:00:00 AM,18.606909572085147,-129.50321215913016,1473410,71302,27995124,70300,0,0,0,-187
Los Angeles,California,6037,08/29/2021 12:00:00 AM,34.30828379,-118.2282411,1409684,25326,4383152,66036,0,0,0,0
Los Angeles,California,3791,10/11/2021 12:00:00 AM,34.30828379,-118.2282411,1474518,26379,4803869,70462,1108,0,1108,6
Los Angeles,California,6037,12/28/2021 12:00:00 AM,34.30828379,-118.2282411,1696582,27637,-15628209,76520,0,0,0,0
Los Angeles,California,6037,12/29/2021 12:00:00 AM,34.30828379,-118.2282411,1741292,27640,5558360,76523,44710,3,44710,3
Los Angeles,California,6037,01/08/2022 12:00:00 AM,31.96669762472021,-80.31976337282683,2046208,27812,6449787,77226,0,0,0,0
Los Angeles,California,6037,01/09/2022 12:00:00 AM,34.30828379,-62.164049886127785,2086581,27850,6559027,77360,0,0,0,0
Los Angeles,California,3300,01/10/2022 12:00:00 AM,34.30828379,-118.2282411,2131523,27895,6720235,77507,0,0,0,0
Los Angeles,California,7064,01/11/2022 12:00:00 AM,34.30828379,-164.37078381840175,7119341,27942,-13918754,77657,0,0,0,0
Los Angeles,California,6037,01/12/2022 12:00:00 AM,34.30828379,-118.2282411,2213664,28008,6879428,77723,0,0,7779,0
Los Angeles,California,4146,01/13/2022 12:00:00 AM,20.298495335210657,-118.2282411,7094042,28059,6924718,77774,0,0,0,0
Los Angeles,California,7240,01/14/2022 12:00:00 AM,34.30828379,-118.2282411,2289045,-36506,28701733,77938,0,0,1873,0
Los Angeles,California,6037,01/15/2022 12:00:00 AM,34.30828379,-99.0256612525923,2311568,28122,7216335,78013,0,0,0,0
Los Angeles,California,6037,01/16/2022 12:00:00 AM,34.30828379,-61.614327996568136,2343821,28181,7326549,78101,0,0,0,0
Los Angeles,California,6037,01/17/2022 12:00:00 AM,34.30828379,-118.2282411,2385721,28282,7488875,78307,0,0,0,0
Los Angeles,California,4274,01/18/2022 12:00:00 AM,34.30828379,-118.2282411,2428744,28346,7624185,78482,0,0,0,310
Los Angeles,California,6037,01/19/2022 12:00:00 AM,23.054607679052147,-128.11951516686122,2467797,28417,7664368,78553,0,0,0,0
Los Angeles,California,6037,01/20/2022 12:00:00 AM,34.30828379,-118.2282411,2494097,96117,7691930,78616,0,0,0,0
Los Angeles,California,6037,01/21/2022 12:00:00 AM,34.30828379,-118.2282411,2519778,28507,7907630,78798,0,0,0,0
Los Angeles,California,5041,01/22/2022 12:00:00 AM,34.30828379,-110.94660442056988,2540075,28540,7991072,264722,0,0,0,0
Los Angeles,California,6037,01/23/2022 12:00:00 AM,34.30828379,-118.2282411,2586739,28715,8174883,79400,25971,85,117296,261
Los Angeles,California,6037,01/24/2022 12:00:00 AM,34.30828379,-118.2282411,2586739,28715,8174414,79408,0,0,-469,8
Los Angeles,California,6037,01/25/2022 12:00:00 AM,34.30828379,-118.2282411,2631994,28886,8275373,79764,21609,70,22014,75
Los Angeles,California,6037,01/27/2022 12:00:00 AM,34.30828379,-118.2282411,2659414,28963,8469208,80044,10663,40,48021,243
Los Angeles,California,6037,01/30/2022 12:00:00 AM,17.256806220454635,-118.2282411,2695076,29195,22943918,224134,11432,96,49080,181
Los Angeles,California,6037,01/31/2022 12:00:00 AM,34.30828379,-118.2282411,2710362,29280,8610580,80917,15286,85,22671,239
Los Angeles,California,3691,02/02/2022 12:00:00 AM,35.89402207110144,-118.2282411,2720216,29364,8620460,81001,0,0,0,0
Los Angeles,California,6037,02/03/2022 12:00:00 AM,34.30828379,-118.2282411,2727159,29428,8627403,-124495,0,0,0,0
Los Angeles,California,8039,02/04/2022 12:00:00 AM,34.30828379,-118.2282411,2731409,29457,8675356,81350,0,0,0,0
Los Angeles,California,6037,02/05/2022 12:00:00 AM,34.30828379,-118.2282411,2735688,29506,8723377,81541,0,0,0,0
Los Angeles,California,6037,02/06/2022 12:00:00 AM,34.680682748559484,-118.2282411,2740700,29609,8764163,81884,0,0,0,0
Los Angeles,California,6037,02/07/2022 12:00:00 AM,34.30828379,-118.2282411,2746866,29690,8775650,82142,0,0,0,20
Los Angeles,California,6037,02/08/2022 12:00:00 AM,34.30828379,-87.1033435455673,2752398,82851,8799757,82418,0,0,0,0
Los Angeles,California,8124,02/09/2022 12:00:00 AM,34.30828379,-118.2282411,2757058,29846,8804417,82502,0,0,0,0
Los Angeles,California,6037,02/10/2022 12:00:00 AM,20.20581575271747,-149.90982234823747,2761870,29902,8809229,287985,0,0,0,0
Los Angeles,California,6037,02/11/2022 12:00:00 AM,29.546041173598788,-118.2282411,2764073,29928,8837366,82932,6264,0,0,0
Los Angeles,California,4234,02/12/2022 12:00:00 AM,34.30828379,-96.0187379910478,2766161,29980,8849745,83077,0,0,0,0
Los Angeles,California,6037,02/13/2022 12:00:00 AM,44.97483305061776,-118.2282411,2769372,30081,-13923851,-121591,0,0,0,0
