Agency Number,Agency Name,Class Field,Class Description,Statutory Reference,Calendar Year,Month,Total Amount
700,OK. CAPITOL COMPLEX & CENTENNIAL COMM.,230,Ok Cap Complex & Cent Comm Fnd,"TITLE 73, SECTION 98.5",2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2013,1,$4074808.34
1000,OKLAHOMA STATE UNIVERSITY,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2013,1,$2248234.61
1000,OKLAHOMA STATE UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$1584879.08
1000,OKLAHOMA STATE UNIVERSITY,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2013,1,$204085.41
1000,OKLAHOMA STATE UNIVERSITY,470,Const. Energy Research Bldg,"TITLE 70, SEC. 3412",2013,1,$194.03
1000,OKLAHOMA STATE UNIVERSITY,479,Capital Bond Project, ,2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,485,Rev Bond Funds '85 Cap Imprvmt,"TITLE 70, SECTION 4006",2013,1,$60750.01
1000,OKLAHOMA STATE UNIVERSITY,486,1998 Athletic Fac Reven Bd Fd,"TITLE 70, SEC. 4004",2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,487,1998 ODFA Athletic Fac Pjt Fd,"TITLE 70, SEC. 4004",2013,1,$0.09
1000,OKLAHOMA STATE UNIVERSITY,488,1998 Utility Sys Revenue Bd Fd,"TITLE 70, SEC. 4004",2013,1,$0.00
1000,OKLAHOMA STATE UNIVERSITY,490,American Recov. & Reinv. Act, ,2013,1,$1333064.32
1000,OKLAHOMA STATE UNIVERSITY,495,Federal Construction Fund, ,2013,1,$619392.83
1000,OKLAHOMA STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2013,1,$10912206.41
1000,OKLAHOMA STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2013,1,$5479915.60
1100,OSU-EXPERIMENT STATION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2013,1,$9110154.83
1100,OSU-EXPERIMENT STATION,293,Higher Ed Capital Excellence F, ,2013,1,$0.00
1100,OSU-EXPERIMENT STATION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$1068696.81
1100,OSU-EXPERIMENT STATION,450,Master Lease Purchase Fund, ,2013,1,$0.00
1100,OSU-EXPERIMENT STATION,490,American Recov. & Reinv. Act, ,2013,1,$546536.57
1100,OSU-EXPERIMENT STATION,495,Federal Construction Fund, ,2013,1,$93.60
1200,OSU-EXTENSION DIVISION,225,OSU Extension Service License,"TITLE 47, CH 74, SEC 1136",2013,1,$8210.00
1200,OSU-EXTENSION DIVISION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2013,1,$14572686.78
1200,OSU-EXTENSION DIVISION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$1379372.50
1200,OSU-EXTENSION DIVISION,490,American Recov. & Reinv. Act, ,2013,1,$0.00
1200,OSU-EXTENSION DIVISION,495,Botanical Garden Research Ctr, ,2013,1,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2013,1,$485171.66
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2013,1,$4409414.26
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2013,1,$15318.14
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",479,Capital Bond Projects, ,2013,1,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",487,Student Success Center,TITLE 70 SECTION 4001,2013,1,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",490,American Recov. & Reinv. Act, ,2013,1,$355583.56
