characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
Ttoal,Female,"lack, non-Hispanic",1571,791,218896
Total,Feamle,"Black, non-Hispanic",2001,777,232514
Total,Female,"Black, non-Hispanic",2939,766,220072
Total,Fewmale,"Black, non-Hispanic",2003,750,-131311
Total,emale,"Black, non-Hispanic",2004,707,207416
Total,Female,"Black, non-Hixspanic",2005,680,222117
Total,Female,"Black, non-Hispanic",2006,663,196234
Total,Female,"Black, non-Hispanic",2007,4163,257241
Total,Female,"Black, non-Hispanic",2008,658,-149349
Total,Female,"Black, non-Hispanic",2009,660,201325
Ttoal,Femael,"Black, non-Hispanic",2010,644,198997
Total,Female,"Black, non-Hispanic",1505,4494,-146694
Total,Female,"Black, znon-Hispanic",2012,575,180734
Total - aMle,Male,"Black, non-Hispanic",2000,1478,209543
Total - Male,Male,"Black, non-Hispanic",2951,1447,209658
Total - Male,Male,"Black, non-Hispanic",2002,1422,-132664
Total - Male,Male,"Black, non-Hispanvic",2003,4456,229640
xTotal - Male,oMale,"Black, non-Hispanic",2004,1305,196906
Total - Male,Male,"Black, non-Hispanic",2005,3984,189298
Total - Male,Male,"Black, non-Hispanic",2006,1215,185418
otal - Male,Male,"Black, non-Hispanic",2007,1213,186631
Total - zMale,Male,"Black,n on-Hispanic",2008,1207,188035
Ttoal - Male,Male,"Black, nno-Hispanic",2875,1212,190118
Total - Male,Male,"Black, non-Hispanic",2010,1187,245461
Total - Male,Male,"Black, non-Hispanic",2011,1136,181510
Tota - Male,Male,"Black, non-Hispanic",2339,1060,-130957
Total - Female,Fmeale,"Black, non-Hispanic",2000,67,9089
Total - Female,Female,"Black, non-Hispanic",1695,4636,-150348
Total - Femalae,Female,"Black, non-Htispanic",2665,3885,255143
Total - Female,Female,"Black, non-Hispanic",1314,-2249,10396
Total - Feale,oFemale,"Black, non-Hispanic",2004,73,10464
Total - Female,Female,"Bklack, non-Hispanic",2005,75,10713
