OBJECTID,ID,LOCAL_ID,ASMNT_DT,ADMIN_ST,ADM_UNIT_CD,RPRN_AREA_STRM_NM,REACH_ID,NHD_RCH_CD,ASMNT_APRCH,REACH_LGTH_KM,REACH_LGTH_MI,REACH_BREAK_RATIONALE,PTNTL_DESC,ALTR_PTNTL,ENTRENCHMENT_RATIO,SBTRT_MATRL,STREAM_TYPE,WIDTH_DEPTH_RATIO,SINUOSITY,GRADIENT,LIVESTOCK_SEASON,COMMENTS,FLOW,FLOODPLAIN_INUNDATED,RATIONALE,STABLE_BEAVER_DAM,RATIONALE_2,SINUOSITY_WIDTH_DEPTH_GRADE_BAL,RATIONALE_3,RPRN_AREA_EXPND,RATIONALE_4,WTRSHD_NOT_CONTRIBUTE_IMPAIR,RATIONALE_5,STABLE_RPRN_VEG,RATIONALE_6,RCRT_STABLE_RPRN_VEG,RATIONALE_7,SPCS_INDCT_RPRN,RATIONALE_8,ROOTS_WTHSTND_HI_FLOW,RATIONALE_9,VEG_HIGH_VIGOR,RATIONALE_10,VEG_PRTCT_BANKS,RATIONALE_11,WOODY_MAT_SOURCE,RATIONALE_12,CHAR_ADEQUATE_DSPTE_ENERGY,RATIONALE_13,POINT_BARS_REVEG,RATIONALE_14,BANK_LTRLY_STABLE,RATIONALE_15,STRM_NOT_INCISING,RATIONALE_16,STRM_BLNCD,RATIONALE_17,RATE_TREND,RATE_RATIONALE,TREND_MTHD,TREND_RATIONALE,THERMOMETER,PRIORITY,VEG_NOTES,FCTR_PRSNT,AGMNT_FLOWS,CHANNELIZATION,FLOW_REG,MINING,OIL_FIELD_DSCHRGE,ROAD,UPSTRM_CHNL_CND,OTHER,FCTR_EXPLN,REPORT,CMLTVE_NOTES,SG_GRS_FRBS,DSTNC_SG_BRSH,CREATE_DATE,MODIFY_DATE,created_date,last_edited_date,GlobalID,SG_GRS_PRSNT,PRFD_FRB_AVLBL,Shape__Length
1,{EC59E9A4-9CB6-45A0-9CA6-000A4658C38C},376,,CO,CON01000,Long Gulch -  R2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000111,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{BC6C1421-F442-4925-90DE-C4B70F17A7AE},,,1461.26162766359
2,{E957DC70-90E1-4404-A45A-000FAFD2AF88},B041614R001S2,2011/09/26 00:00:00+00,CO,COS05000,Muddy Creek,,14020002000292,SELECTIVE_INSPECT,,,,,,,,B6,,,,,,PERENNIAL,NO,,YES,,YES/NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,PFC,,,,PFC-LOW,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,,YES,,,,,,2016/12/07 12:00:05+00,,{7B469083-D69C-4B4A-AA57-5B4F37D49AC5},,,1079.97859453952
3,{65364719-1B10-4A79-B5FB-0015D6DEA27E},,2010/05/05 00:00:00+00,CO,COG01000,Burro Creek,reach 1 & 2,,COMPLETE_RECON,0,0,Reach #1 & #2,,,,,,,,,,,,YES,,NA,,YES,YES,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,PFC,,,,,,"Species include ditch reedgrass, inland saltgrass, B. Rush, tamarisk. Water is very salty",,NO,NO,NO,NO,NO,NO,NO,NO,,YES, Very stable considering that runoff from storm events could be very damaging..,,,,,2015/03/27 12:00:05+00,2021/09/15 16:04:47+00,{981A5E40-2285-4814-9F17-3AEBD8002578},,,400.242127962093
4,{8366BA1C-95F0-42B0-9392-002FD133E100},,2006/06/06 00:00:00+00,CO,COG01000,Prairie Canyon Creek ,reach 2,,COMPLETE_RECON,0,0,reach #2,,,,,,,,,,perennial,PERENNIAL,YES,,NA,,YES,YES,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,YES,,YES,,YES,,YES,,YES,,PFC,,,,,,"willow, rush sapp., cottonwood, alder, kentucky blue, timothy",,NO,NO,NO,NO,NO,NO,NO,NO,,YES,tamarisk.,,,,,2015/03/27 12:00:05+00,2021/09/15 16:04:47+00,{C3F0147B-AF29-49F5-B34D-50C4FB3C6FDD},,,2076.76529736264
5,{142A305F-AD39-4858-881E-003F3F4EA24E},145,1997/01/01 00:00:00+00,CO,CON01000,Trout Creek -  R3,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FARD,,,DN,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000105,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{AFD43B82-2028-4BCB-B06A-21B75C8B11D6},,,214.44981065681
6,{F8374EE7-1980-4B0E-BE63-0051C4ED7D81},336,,CO,CON01000,Scandinavian Gulch -  R1,,,,0,0,,,,,,,,,,,ephemeral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000308,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{DA64FA0E-943A-42B1-8C15-17EB7CE5FEF0},,,979.03901687495
7,{4E7AE325-496E-4694-99EC-0055BD9DF968},265,2007/07/30 00:00:00+00,CO,CON05000,SEGAR_GULCH_REACH 4,,,COMPLETE_RECON,0,0,,,,,,,,,,,,,YES,,NA,,YES,,NO,,NO,"3 – Entrenched, channery but fitted for flow it receives – conditions here are a product of conditions above.
4 – Banks appear to be aggrading

Ephemeral/intermittent channel – lacks flow persistence to support herbaceous riparian species though 
rushes",NO,,NO,,NO,,NO,,NA,,YES,,NA,"Comments:  6 – Woody species (box elder, narrow leaf cottonwood, willow) present on terraces
7 – Not other than woody species – facultative species only, e.g., roses, POPR, red top, brook grass
8 Marginal – Willows, boxelder, no herbaceous obligates thou",YES,,NO,,YES,,YES,,YES,Comments:  No point bar development – flows too flashy to allow veg establishment.,NF,,,,,MED,,YES,NO,NO,YES,NO,NO,NO,YES,YES,"Ephemeral stream;Flow regulations;Upstream channel conditions",YES,"Little livestock grazing/use evident in this reach.  Reach appears to be suffering from conditions above, has potential for improvement.",,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{A94C949C-1C8C-44C8-8357-57896634BAE9},,,1239.69069535921
8,{80022EFE-17DA-465D-81F9-005CF18D8131},2,2006/07/24 00:00:00+00,CO,CON01000,Flycreek -  R2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,1405000302,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:34+00,{9491FD42-DAAE-4CA6-8304-5C4AB1E622E5},,,1375.73357222885
9,{2238987E-C48E-4AFA-A6B2-006C51221CAB},517,2018/09/04 00:00:00+00,CO,CON05000,BLACK_SULPHUR_CREEK_REACH 1,1,,COMPLETE_RECON,0,0.6,"Private at top, change in geomorphology below.",,,,,,11/14,1.3,4,EVERY SPRING FOR 20 DAYS (minimal use last 10-12 years), SOME APPARENT LIVESTOCK USE THROUGH THE SUMMER. ,PERENNIAL,YES,accessible,NA,Not expected at this location.,YES,Some short sections are over-widened - where accessible to livestock.,YES,Appears near potential.,YES,Uplands and upstream watershed well vegetated - no contribution.,YES,"Woody only (box elder), no herbaceous. Shading from box elders may be reason no herbaceous obligate expression.",YES," Mostly boxelders - only a few narrow leaf cottonwood, strap-leaf & coyote willows..",YES,modest variety of riparian obligates - mostly woody.,YES, System is stabilized more by woody debris and rock.,YES,Mostly large mature boxelders. Minimal herbaceous.,NO, Same as 9.,YES,LWD common throughout - is a stabilizing factor.,YES,System is stabilized more by woody debris and rock.,YES,too steep for many - few point bars but those had some vegetation - mostly facultative.,YES,No lateral movement noted though generally somewhat over-widened.,YES,No evidence of incising.,YES,Substrate clear of excess sediment.,PFC,Question as to whether or not obligates should be present in this type of mature box elder dominated system.  In a system such as this (boxelder canopy) that herbaceous obligates would not be expected.,MONITORED,,PFC-UP,HIGH,"Boxelder, young willows (coyote and strap-leaf), narrow leaf cottonwood, epilobium, brookgrass, currant, rose, mint, stinging nettle, red-top, quackgrass, streambank wheatgrass, elk sedge, KY bluegrass, mullien.  Rushes &amp; sedges (spp?) at extreme lower end of reach. <div><br /></div><div>Noxious/invasive weeds:  Canada thistle, HT, BT<br /></div>",NO,NO,NO,NO,NO,NO,NO,NO,NO,,YES,"Overall, confined system. Cutthroat trout (2&quot; to 8&quot;) seen throughout reach.",,,,,2015/01/12 12:00:05+00,2022/11/30 18:21:03+00,{37173E1F-F847-4D84-B25A-3ED51A265AD9},,,763.926453737746
10,{6AD04A33-32CF-4CBF-90F8-0078BD113878},415,2004/05/18 00:00:00+00,CO,COF02000,8Mile_Trib_2,307,,COMPLETE_RECON,0,3.3,,,,,,B2,,,,,,,YES,,NA,,YES,,YES,,YES,"Narrow canyon, B2-B3 channel (est.) Interrupted system",YES,,YES,,YES,,YES/NO,,YES,,YES/NO,,YES,"B2-B3 channel (est.) Provide most of channel stability. Mixed conifer-shrub-grass/forb dominant veg. A few pockets of willows, narrow leaf cottonwood",YES,,NA,,YES,,YES,,YES,Boulder-dominated channel. Dense Vegetation in Bottom. A few areas of depostion from high flow events but appears stable.,PFC,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,YES,Small amount of livestock use lower 1/4 mile.,,,,,2015/01/12 12:00:05+00,2021/09/15 16:04:40+00,{8417A8EC-63D3-4B0E-B7A1-C6EF135517E9},,,5431.90593871362
