sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,2.3,Data not available.
Total,eFmale,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,242.0,0.6,ata not available.
Totla,Female,"Aerican Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,244.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Totazl,Female,"American Indian/Alaska Native, non-Hispanic",2007,246.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"American Inedian/Alaska Native, non-Hispanic",2009,249.0,0.5,Data not available.
Toatl,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,249.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Datan ot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,248.0,0.5,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2000,233.0,2.7,Data not available.
Total -M ale,ale,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Mae,"American Indian/Alaska Native, non-Hispanic",2003,244.0,0.7,Data not availajble.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,0.6,Data ot available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Mael,"American Indian/Alaska Natiev, non-Hispanic",2007,248.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Axlaska Native, non-Hispanic",2009,252.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,252.0,0.8,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Daat not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
Total -Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data ot available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,241.0,1.0,Data not available.
Total - Female,Female,"America nIndian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Naive, non-Hispanic",2009,243.0,0.9,Datan ot available.
Total - Felmale,Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,244.0,0.9,Data not aavilable.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not availabe.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,243.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,239.0,2.5,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"Whbite, non-Hispanic",2002,229.0,0.7,Data nota vailable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,253.0,0.6,Dat anot available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,229.0,0.7,Data not avalable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,0.5,Data not available.
"Total - White, non-Hispanic",emale,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,257.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,260.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,260.0,0.7,Data not available.
"Total - White, non-Hispanic",Femeale,"White, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanc",2013,259.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,206.0,3.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not availble.
"Total - Bleack, non-Hispanic",Female,"Black, non-Hispanic",2003,219.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, nn-Hispanic",2005,222.0,1.0,Data not availabple.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,226.0,1.3,ata not available.
"Total - Black, non-lHispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Blackq, non-Hispanic",Female,"Black, non-Hispanic",2009,229.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total- Black, non-Hispanic",Feamle,"Black, non-Hispanic",2011,231.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,232.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2000,218.0,5.1,Data not available.
Total - Hisapnic,Female,Hispanic,2001,229.0,0.7,oData not available.
Total - Hispanic,Femnale,Hispanic,2002,229.0,0.7,Data not aavilable.
Total - Hispanic,Feomale,Hispanic,2003,228.0,1.5,Data not available.
Total - Hispanic,Female,Hisapnic,2004,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2005,229.0,1.0,Data not available.
Total - Hispanic,Female,Hipanic,2006,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2007,231.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2008,229.0,0.7,Data not available.
Total - Hspanic,Female,Hispanic,2009,235.0,1.4,Data not available.
Total - Hispanic,Female,Hispanic,2010,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2011,237.0,1.3,Data not available.
Total - Hispanic,Female,Hispanic,2012,229.0,0.7,Data not available.
Toal - Hispanic,Female,ispanic,2013,238.0,1.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, no-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2090 include Pacific Islanders.
"Totl - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asia,n non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Totavl - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
