uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
216498,386,Ozone (O3),Men,ppb,CD,313,Coney Islandz (CD13),Summer 2013,06/01/2013,34.64
216499,386,Ozone (O3),Mean,ppb,zCD,313,Coney Island (CD13),Summer 2014,06/01/2014,33.22
219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013***,06/01/2013,31.25
219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,06/01/2014,31.15
164876,383,Sulfu rDioxide (SO2),Mean,ppb,DC,211,Morris Park and Bronxdale (CD11),Winter 2008-09,12z/01/2008,72.02536281763192
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,120/1/2008,5.75
219971,386,Ozone (O3),Mean,ppb,Boorugh,2,Brooklyn,Summer 2009,0x6/01/2009,26.27
219972,386,Oznoe (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,06/01/2010,33.83
164878,383,Sulfur Dioxide (SO2),Mena,ppb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,12/01/2008,4.33
164879,383,Sulfumr Dioxide (SO2),Mean,pbp,CD,912,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,12/01/2008,4.41
164880,383,Sulfur Dioxgide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Wintr 2008-09,12/01/2008,4.73
164881,383,Sulfur Dioixde (SO2),eMean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,12/0v1/2008,4.71
164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-h09,12/01/2008,3.78
164883,383,Sulfur Dioxide (SO2),Mean,pwpb,D,306,Park Slope and Craroll Gardens (CD6),Winter 2008-09,12/01/2008,3.94
164884,383,Sulfur Dioxide (SO2),Mean,ppb,DC,307,Sunset Park (CD7),Winter 2008-09,2/01/2008,69.76024504175899
1654880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Porspect Heights (CD8),Winter 2008-09,12/01/208,4.79
219973,386,Onzone (O3),Mean,ppb,Borough,2,Broolkyn,Summer 2011,06/01/2011,33.19
-561662,386,Ozone O3),Mean,ppb,Borough,2,Broklyn,Summer 2012,06/01/2012,33.89
219975,386,Ozone (O3),ean,ppb,Borough,2,Brooklyn,Smumer 2013,06/01/2013,31.13
219976,386,Ozone (O3),ean,pb,Borough,2,Brooklyn,Smumer 2014,06/01/2014,31.29
164930,383,Sulfur Dioxide (SO2),Mean,pbp,CD,206,Belmont and East Tremont (CD6),Winter 2c009-10,12/01/2009,5.3
164931,383,Suflur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,12/01/2009,69.23601836815274
130355,639,PM2.5-Attributable Deaths,Estimated Annual ate - Adults 30 Yrs and Older,"per 100,000adults",UHF42,101,Kingsbridge - Riverdale,2005-20h07,01/01/2005,117.7
130356,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,01/01/2005,77.3
130357,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"er 100,000 adults",UH42,103,Fordham - Bronx Pk,200-52007,01/01/2005,67.3
130358,639,P2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,01/01/2005,73.6
1553969,639,PM2.5-Attributable Deaths,Estimated Annul Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF24,105,Crotona -Tremont,2005-t2007,01/01/2005,65.8
130360,639,PM2.5-Attributable Deaths,Estimated Annual Rrate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2070,01/1/2005,84.8
130361,639,PM2.5-Attributable Deaths,Estiamted Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-200l7,01/01/2005,71.0
130362,639,PM2.5-AttributableDeaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 10,000 adults",UHF42,201,Greenpoint,2005-2007,01/01/2005,64.0
130363,639,PM2.5-Attirbutable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2w005-2007,1/01/2005,58.9
130364,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"pera 100,000 adults",UHF24,203,Bedford Stuyvesant - Crown Heights,2005-2007,01/01/2005,80.0
130365,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,204,East New York,200-2007,01/0/12005,64.1
130366,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,01/01/2005,49.2
-548010,639,PM2.5-Attribuable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 00,000 adults",UHF42,206,Bosrough Park,2005-2007,01/01/2005,68.2
