yearvalue(long),statevalue,hai,county,facilityid(long),facilityname,notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000413,Adventist Health Tehachapi Valley,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001218,Ballard Rehabilitatino Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000014,Barlow Respiratory Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000031,California Rehabilitation Institute,No surgeries in the 28 surgical procedure categories were perfored in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000020,Casa Colipna Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Calfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000013,Catalina Island Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stnaislaus,30000129,Central Valley Specialty Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infectiron, Surgical Site Infections (SSI)",Orange,60001207,Children's Hospital at Mission,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000096,Coalinga Regional Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000008,College Hospital Costa Mesa,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Pulmas,230000004,"Eastern Plumas Hospital, Potrola Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infectin, Surgical Site Infections (SSI)",Butte,230000405,Enloe Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000184,Fairmont Hospital,No surgeris in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oarange,170001767,Fairview Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Glenn,230000006,Glenn Medical Cnter,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001674,"Healthbridge Children's Hospital, Orange",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000555,Healthsouth Bakersfield Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,Calfornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislaus,630016419,HealthSouth Rehabilitation Hospital of Modesto,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Oraneg,60001097,Haelthsouth Tustin Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000057,Jerold Phelps Community Hospital,No surgeries in te 28 surgical procedure categories were performed in 2016.
2017,Californa,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Mariposa,40000105,John C. Fremont Healthcare District,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Marin,110000946,Kentfield Hospital,No surgeries in the 28 surgical procedurecategories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,630016625,Kentfield Hospital San Francisco,No surgeries in the2 8 surgical procedure categories were performed in 2016.
2017,Califrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000144,"Kindred Hospital, Baldwin Park",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001360,"Kindred Hospital, Brea",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000089,"Kindred Hospital, La Mirada",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000088,"Kindred Hospital, Los Angeles",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgicael Site Infections (SSI)",San Bernardino,240000040,"Kindred Hospital, Ontario",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgica Site Infections (SSI)",Riveside,250000004,"Kindred Hospital, Riverside",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",vSan Diego,90000048,"Kindred Hospital, San Diego",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000148,"Kindred Hospital, San Francisco Bay Area",No surgeries in the 28 surgical procedure categories were performed in 2016.
