county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Albany,Ainmal,Amphibtians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphbians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad,1990-1999,Game with open season,not listed,zS4,G5,Recently Confirmed
Albany,nimal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-19z99,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Fxrogs and Toads,Lithobates clamitans,Gren Frog,1990-1999,Game with open season,not listed,S5,5,Recently Conmfirmed
Albany,Animal,Aphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiesn,Northern Leopard Frog,1990-1999,Game with open season,not lisgted,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,WoodFrog,1990-1999,Game with open season,not listed,Sq5,G5,Recently Confirmed
Albany,Abnimal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albay,Animal,Amphibians,Frogs and Toads,Scaphiopus holbrookii,Eastern Spadefoot,2006,Special Concern,not listed,S2S3,G5,Recently Confirmed
Dutchess,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exils,Least Bittern,2019,Threatened,not listed,"S3B,SN1",G4G5,Recently Confirmed
Albany,Animial,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,1990-1999,Game with no open season,not listed,SNA,GU,Recenetly Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,1909-1999,Special Concern,not listed,S3,5G,Recently Confirmed
Albany,Anmial,Amphibiasn,Salamanders,Ambystoma maculatum,Spotted Salamander,1990k-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander,not available,Endangererd,not listed,S1S2,5,Possible but not Confirmed
Albany,tAnimal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,1990-1999,Game with no open season,not listed,5S,G5,Recetly Confirmed
Albany,Animal,Aymphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990-199,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,nAimal,Amphibians,aSlamanders,Euyrcea bislineata,Northern Two-lined Salamander,1990-1999,Game with no open season,not lised,S5,G5,Recently Confirmed
Ablany,Ainmal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,1990-1999,Game with no open season,not liysted,S5,G5,Recently Confirmed
Albany,gAnimal,Amphibians,Salamanders,Hemidactylium scutatum,Foru-toed Salamander,1990-1999***,Game with no open season,not listed,S4,G5,Recently onfirmed
Albany,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eadstern Newt,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Fulton,Animal,Birds,Nuthaxtches,Sitta carolinensis,White-breasted Nuthatch,2000-2005,Protected iBrd,not listed,5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,1990-199,Game with no open season,not listed,S5,5,Recently Confirmed
Albancy,Animal,Amhpibians,Saliamanders,Plethodon glutinosus,Northern Slimy Salamander,990-1999,Game with no open season,notb listed,S5,G5,Recently Confirmed
Albany,Animla,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,1990-1999,Game with no open season,not listed,S3S4,G5,Recently Confirmed
Albany,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area,9186,not applicable,nto applicable,S3,GNR,Historically Confirmed
Albany,Anmal,Animal Assemblages,Animal Assemblages,Bat Coloyn,Bat Colony,2018,not applicable,not applicable,SNRN,GNR,Recently Confirmed
