X,Y,OBJECTID,Name,Location_Name,Information,ADM_UNIT_CD,created_user,created_date,last_edited_user,last_edited_date,GlobalID
265181.7614,4390768.8871,1,Cedar Mountain,Rifle Gap Entrance Station,Please stop here and show your BLM wood cutting permit to the attendant to gain access.,COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{603DBA99-6091-43C9-B57F-192C696E675E}
263423.5042,4390777.4188,2,Cedar Mountain,Sage Campground,Drive through campground north to BLM boundary.,COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{CC32D5FF-B467-47F0-85C5-68173371591C}
331007.6622,4395837.7832,3,Gypsum Hills,East facing Gypsum Hills,Firewood Cutting Area Sign (Entering Firewood Cutting Area),COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{49E3CE44-AB73-42B0-9B58-017A73992AEC}
330675.8741,4395869.0041,4,Gypsum Hills,East facing Gypsum Hills 2,Firewood Cutting Area Sign (Entering Firewood Cutting Area),COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{51C13CAC-1E2E-4FF1-90C7-D55DD3C73EC8}
330651.9449,4395862.7864,5,Gypsum Hills,West facing Gypsum Hills,Firewood Cutting Area Sign (Entering Firewood Cutting Area),COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{9DBAD315-A768-4D14-9D09-C5D618DBBBB0}
330166.0135,4395984.4547,6,Gypsum Hills,West Facing Gypsum Hills 2,Firewood Cutting Area Sign (Entering Firewood Cutting Area),COG02000,,,NDOVGAN,2020/10/21 20:44:23+00,{CAB3B6DF-A7B1-4527-B9FF-CFFF78DE3D82}
429893.9011,4260249.4786,7,Sand Gulch (Howard),Christmas Tree Species,"White Fir, Douglas-fir, Piñon Pine, Rocky Mountain Juniper, Ponderosa Pine",COF02000,MPURNELL,2020/10/22 19:08:38+00,MPURNELL,2020/10/29 16:05:39+00,{BECB5406-5685-4424-A155-FFC090E18561}
436141.0283,4276557.897,8,"Three Peaks Fuelwood, Dead and Down Aspen",Fuelwood Map Information,State Sign at Access Gate,COF02000,MPURNELL,2020/09/24 18:22:01+00,MPURNELL,2020/10/30 18:56:32+00,{B2AFB6B2-838C-4ACB-98D5-A21C54DE5804}
433242.9185,4274755.4012,9,Three Peaks Fuelwood,Fuelwood Map Information,Green Gate at Firebox Road,COF02000,MPURNELL,2020/09/24 18:23:28+00,MPURNELL,2020/10/30 18:56:31+00,{E0F59447-C88D-4588-82AC-4E8DC5782532}
440323.5387,4267135.7614,10,Waugh Mountain,Christmas Tree Map Information,BLM Sign - Waugh Mountain Access,COF02000,MPURNELL,2020/10/22 19:39:01+00,MPURNELL,2020/10/30 18:56:24+00,{5FE23BCE-3011-43F0-8F90-03188AD4C68D}
434343.0184,4269144.9434,11,Three Peaks Fuelwood,Fuelwood Map Information,Fuelwood along County Road,COF02000,MPURNELL,2020/09/30 18:24:43+00,MPURNELL,2020/10/27 21:26:14+00,{77D6D2E8-EF4B-4E4A-8ACA-FEBDC1B665A4}
427760.9782,4246639.7758,12,Kerr Gulch,Christmas Tree Species,"White Fir, Douglas-fir, Piñon Pine, Ponderosa Pine",COF02000,MPURNELL,2020/10/22 19:15:42+00,MPURNELL,2020/10/29 16:04:59+00,{BCA81CFD-C12B-4F53-8C0A-3DEB777F0DAC}
458164.3828,4265221.6823,13,Crampton Mountain,Christmas Tree Species,"White Fir, Douglas-fir, Ponderosa Pine",COF02000,MPURNELL,2020/10/22 18:45:11+00,MPURNELL,2020/10/29 16:04:13+00,{C58BA9C7-A3A5-45FC-A243-B7517926F388}
438312.128,4253797.1959,14,Arkansas Mountain,Christmas Tree Species,"White Fir, Douglas-fir, Piñon Pine, Rocky Mountain Juniper",COF02000,MPURNELL,2020/09/30 21:58:36+00,MPURNELL,2020/10/29 16:04:02+00,{0550C5E5-E7DA-4FF3-AD32-3747E80E3E6E}
448419.1167,4252665.6791,15,Texas Creek,Christmas Tree Species,"Piñon Pine, Rocky Mountain Juniper",COF02000,MPURNELL,2020/09/30 22:32:45+00,MPURNELL,2020/10/29 16:06:00+00,{58044E5D-D88F-48DB-9AF0-F9546D8E130C}
435197.9107,4267522.6013,16,Waugh Mountain,Christmas Tree Map Information,County Road 12,COF02000,MPURNELL,2020/10/22 19:40:38+00,MPURNELL,2020/10/27 21:25:52+00,{EB09A67E-35EC-4AB1-8BE3-A663CBC0EA26}
406189.726,4299470.0692,17,Fourmile,Christmas Tree Species,Piñon Pine,COF02000,MPURNELL,2020/10/22 19:19:57+00,MPURNELL,2020/10/29 16:04:16+00,{09DBC4FA-A47D-45CB-9C50-46B0705476F3}
439549.859,4265249.9171,18,Waugh Mountain,Christmas Tree Map Information,County Road 16,COF02000,MPURNELL,2020/10/22 19:40:14+00,MPURNELL,2020/10/27 21:25:49+00,{344972A7-3350-4105-96C1-2BA32D462F48}
435491.0057,4272672.2928,19,Stoney Face Mountain,Christmas Tree Species,"Engelmann Spruce, Douglas-fir",COF02000,MPURNELL,2020/10/22 19:29:58+00,MPURNELL,2020/11/02 22:11:41+00,{DEE770A5-275B-447F-9107-20EBC5E6273B}
444716.7617,4248860.6875,20,West McCoy Gulch,Christmas Tree Species,"Piñon Pine, Rocky Mountain Juniper",COF02000,MPURNELL,2020/09/30 22:41:47+00,MPURNELL,2020/10/29 16:06:16+00,{A9E4E0C7-4605-4DDA-9E5B-BA56FBF05786}
442386.7226,4272523.4644,21,Waugh Mountain,Christmas Tree Species,"Engelmann Spruce, Douglas-fir, Subalpine Fir",COF02000,MPURNELL,2020/10/22 19:35:12+00,MPURNELL,2020/11/02 22:11:59+00,{4E3B0AA4-7FE4-467F-AB8D-EEF674483F57}
401709.3742,4268924.4002,23,Shavano,Christmas Tree Species,Piñon Pine,COF02000,MPURNELL,2020/10/22 19:22:51+00,MPURNELL,2020/10/29 16:05:43+00,{7EB02330-B6FC-457C-A931-C32B23D987AA}
475795.9004,4268224.7095,24,Garden Park Area,Christmas Tree Species,"Piñon Pine, Rocky Mountain Juniper",COF02000,MPURNELL,2020/10/22 18:55:14+00,MPURNELL,2020/10/29 16:04:29+00,{A96665EA-D975-4EB0-A78A-035AF427E75D}
432695.8568,4274656.2445,25,"Three Peaks Fuelwood, Dead and Down Aspen",Fuelwood Map Information,Green Gate at Top of Hill,COF02000,MPURNELL,2020/09/24 18:24:21+00,MPURNELL,2020/10/30 18:56:30+00,{3E9E382F-22AA-4286-90E6-8C9A922523D5}
435176.2763,4273706.8661,26,Three Peaks Fuelwood,Fuelwood Map Information,Closed for personal use fuelwood south of Firebox Road,COF02000,MPURNELL,2020/09/24 18:26:35+00,MPURNELL,2020/10/27 21:26:17+00,{2C76D35A-212E-4E6F-A6BF-924DABD511DC}
471202.7245,4253069.3458,27,Grand Canyon Hills,Christmas Tree Species,"Piñon Pine, Rocky Mountain Juniper",COF02000,MPURNELL,2020/10/22 19:01:35+00,MPURNELL,2020/10/29 16:04:37+00,{7F755586-F165-41C8-91AC-EB87AADC006C}
439042.1317,4262010.1333,28,Waugh Mountain,Christmas Tree Map Information,10 Miles South to Cotopaxi,COF02000,MPURNELL,2020/10/22 19:41:39+00,MPURNELL,2020/10/27 21:25:54+00,{DF530CEC-AC73-4CF8-B385-7C197E7276B4}
440719.8412,4249907.8131,29,Sand Gulch,Christmas Tree Species,Piñon Pine,COF02000,MPURNELL,2020/09/30 22:24:13+00,MPURNELL,2020/10/29 16:05:21+00,{562C22DB-7F46-4611-986E-37BD54B3AD72}
384237.8976,4334361.7628,30,Lodgepole Flats,Christmas Tree Species,Lodgepole Pine,COF02000,MPURNELL,2020/11/02 22:10:45+00,MPURNELL,2020/11/02 22:11:24+00,{D2E1B5C3-830C-434B-A82D-A5C8A9162AA0}
