characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total,Female,"American Indian/Alaska Native, non-Hispanic",1110,112.0,1.9,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,1.2663984328648157,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",1135,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,118.0,1.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,103.13659260671488,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,118.0,1.0,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,115.0,2.3,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,93.02916867950168,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,122.0,1.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2569,120.0,2.4,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,120.0,1.3,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,108.0,2.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,110.0,1.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,83.04032778940419,2.867837401042558,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,120.0,2.4,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,113.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,120.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2513,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,127.0,1.3,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2838,120.0,1.81366406807892,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,63.9369273027112,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,120.0,2.4,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2902,127.0,1.3,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1587,96.0,2.9,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,88.34128121793705,2.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1226,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1838,120.0,2.4,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,90.01160239792411,1.9,Data not available.
