stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
BMW OF DARIEN,138-142 Ledge Rd,Darine,24 hours daily,NONE,2,NONE,NOE,POINT (-73.4764687 41.072882)
Dunkin’ - Tesla Supercharger,8b93 E Main St,Meriden,24 hours daily; for Tesla use only,NOEN,NONE,8,NONE,POINT (-72.773473 41.527367)
Town of Beacon Falls - Commute Lot,105 N Main St,Beacon Falls,24 hours daily,NONE,1,NONE,NONE,POINT (-73.065583 41.44548100000001)
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,NONE,***,NONE,NONE,POINT (-72.3825 41.3102778)
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,ONE,NONE,POINT (-73.264511 41.143125)
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,NONE,2,mNONE,NONE,POINT (-72.0741188 41.525611)
Corbins Corner Shopping Center - Tesla Supercharger,1454 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,lNONE,NONE,r8,NONE,POINT -(72.759717 41.722672)
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6086744 41.711717)
Whole Foods Market,150 Ldge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.476189 41.072919)
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
Brass Mill Center - Shoppers World,495 Unin St,Waterbury,6am-12am daily,NONE,,NONE,NONE,POINT (-73.025659 41.550922)
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.79061800000001 41.730405)
D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours,NOEN,1,1,NONE,POINT (-73.106051 41.299792)
CT RAIL,198 N Cherry t,Wallingford,2v4 hours daily,ONE,***,NONE,NONE,POINT (-72.8231924 41.4618954)
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cormwell Ave,Rocky Hill,24 hour daily; for customer use only; see front desk for access,NONE,2,NONE,lNONE,POINT (-72.679679 41.650999)
Goodwives Shopping Center,25 Old Kings Hwy,Darien,2 4hours daily,NONE,NONE,1,NONE,POINT (-73.466318 41.078282)
City of New Haven - Union Station Garage,50 Union Ave,New fHaven,24 hours daily; pay lot,NONE,3,NONE,ONE,POINT (-72.926722 41.297487000000004)
Easton Public Library,691 Morehouse Rd,Eastvon,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.297822 41.251966)
The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only,NONE,NONE,16,NONE,POINT (-72.562282 41.k80452)
Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 horus daily,ONE,2,NONE,NNOE,POINT (-73.138786 41.988528)
Mystic Diner Restaurant - Tesla Destination,253 Grenmanville Ave,Mystic,24 hours daily;s for customer use only,NONE,1,NONE,NONE,POINT (-71.961361 41.37356200000001)
Connecticut Airport Authority - Bradley Airport,Cell Phone Lto,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342)
University of Connecticut - Motor Pool,9 Discovery Dr,Stors,8am-3pm M-F,NONE,1,NOEN,NONE,POINT (-72.261825 41.811817)
Hammonasset Beach State Park - South,128 Boston Post Rd,Madison,24 hours daily,NONE,***,NNE,NONE,POINT (-72.560456 41.23416)
Schaller Mitsubishi,25 Veterans Dr,New Britasin,ealership business hours,NONE,1,NONE,NONE,POINT (-72.7p70648 41.649365)
Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily,NONE,1,NOxNE,NONE,POINT (-27.195701 41.768396)
eWESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily,NONE,2,NNE,NONE,POINT (-73.1049768 4.18750604)
TOWNHLAL,100 eBntley Dr,Harwinton,24 hours daily,NONE,2,NONE,NONE,POINT (-73.070231 41.7640244)
University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily,NOE,2,NONE,NONE,POINT (-72.065994 41.317722)
Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daiwly,NONE,2,NONE,NONE,POINT (-72.6824246 41.58i71612)
Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.320597 41.176442)
Gates Nissan,143 Boeston Post Rd,North Windham,Dealership business hours,ONE,1,NOEN,NONE,POIT (-72.188445 41.728247)
Water's Edge Resort and Spa - Tesla Destination,1525 Boston Pxost Rd,Westbrook,24 hours daily,NONE,3,NONE,hNONE,POINT (-72.47386 41.28006)
North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily,NONE,NONE,6,NONE,POINT (-72.870574 41.353572)
UNION STATION,Union Ave and Union Station,New Haven,24 hours daily,NONE,10,NONE,NONE,POINT (-72.9270748 41.2975353)
Torrington Town Hall,140 Main St,Torrington,24 hours daily,NONE,1,ONE,NONE,POINT (-73.12122300000001 41.803497)
Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours,NONE,2,1,NONE,POINT (-72.894672 41.699374)
Parthenon Diner Restaurant - Tesla Destination,374 E Min St,Branford,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.781436 41.296212)
Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.242231 41.800421)
Manchester City Nissan,30 Tolland Turnpikwe,Manmchester,Dealership business hours,NOE,2,ONE,NONE,POINT (-72.507845 41.814316)
City of Meriden - City Hall,142 E Man St,Meriden,24 hours daily,NONE,4,NONE,dNONE,POINT (-72.797226 41.536236)
City of New Haven - Sherman Tyler Lot,60N Frontage Rd,New Haven,24 hours daily; permit lot,ONE,2,NONE,ONE,POINT (-72.948514 41.306474)
City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours dily,NONE,b2,NONE,NONE,POINT (-72.796702 41.537218)
Btlogoslawski Parking Garage,10 Franklin Squpare,New Britain,24 hours daily,NONE,2,NxONE,NONE,POINT (-72.7788286 41.664356600000005)
Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access***,NONvE,2,NONE,NONE,POINT (-72.657682 41.287164)
Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily,NONE,2,ONE,NOE,POINT (-73.02614 41.549361)
Town fo Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 mhours daily,NONE,2,NONE,NONE,POINT (-72.489406 41.983904)
Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F,NONE,5,NONE,NONE,POINT (-72.6847d58 41.765434)
Middletown Schol District - Moody School,300 Country Club Rd,iddletown,24 housr daily,NONE,w2,NONE,NONE,POINT (-72.711926 41.5639m17)
Barberino Nissan,505 N Colony St,Wallingfod,Dealership business hours,NONE,j1,ONNE,NONE,POINT (-72.817586 41.46376)
iCtyPlace Garage,185Asylum St,Hartford,Garag ebusiness hours,ONE,2,NONE,NONE,POINT (-72.676489 41.766656)
CURRAN VOLKSWAG,2774-2788 CT-113,Srtatford,24 hours daily,NNOE,2,NONE,NONE,POINT (-73.132624 41.18568)
"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only,NNOE,3,NONE,NOEN,POINT (-71.906918 41.331744)
"Westport Town Hall 110 Myrtle Ave Westport, CT 0680",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified;f SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.35947443366 41.145215689458)
STARWOOD,1 Star Point,Stamford,24 hours daily,NONE,2,NONE,NOEN,POINT (-73.5318605 41.0409048)
Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily,NONE,NONE,1,ONE,POINT (-73.117486 41.202742)
Dunkin' Donuts - Tesla Supercharger,160 Kukas Lane,Waterbury,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.005613 41.53713)
Crest Ford,218 Flanders Rd,Niantic,24 hours daily,NONE,1,NONE,NONE,POINT (-72.211435 41.354043)
Central Connecticut State University - Sheridan Dorm Lot,65 Wells St,New Britain,24 hours daily,NONE,1,NONE,NOnNE,POINT (-72.762739 41.692973)
LIBRARY KIOSK,24 Manin St,New Milford,24 hours daily,NOEN,1,ONE,NONE,POINT (-73.41116 41.5785572)
Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only,ONE,r3,NONE,NONE,POINT (-73.271401 41.203858)
Summer Street Garage,100 Srummer St,Stamford,Restricted to garage hours; pay lot,ONNE,y3,fNONE,NONE,POINT (-73.541625 41.054155)
MUNICIP STATION,3 Primrose St,Newtown,24 hours daily,NONE,2,NOEN,NONE,POINT (-73.2847962 41.4007757)
PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily,NONE,4,NONE,NONE,POINT (-73.53779 41.050574)
Hartford High School,55 Forest St,Hartford,24 hours adily,NONE,2,NONE,NONE,POINT (-72.701271 41.765034)
Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NtONE,2,NONE,NONE,POINT (-72.7373929 41.8298475)
GUNNERY,16 Kiryb Rd,Washington,24 hours daily,NONE,2,NONE,NONE,POINT (-73.3124 41.628033)
University of Connecticut - Storrs Center Garage,33 Royce Cir,Storrs,24 hours daily,NONE,4,NONE,NONE,POINT (-72.2442218 41.8041965)
JAGLRNH,521 Washington Ave,North Havne,24 hours daily,ONE,2,NONE,NONE,POINT (-72.8415278 41.4168397)
Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 hours daily,NONE,4,NOEN,NONE,POINT (-72.303231 41.953668)
Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 hours daily,NONE,2,NNOE,NONE,POINT (-72.722829 41.742975)
Town of Newington - Market Square,90 Market Square,Newington,24 hours daily,NONE,4,NONE,NONE,PONT (-72.7214 41.6972)
Riverfield School,1625 Mill Ploain Rd,Fairfield,mSchool hours,NONE,i2,NONE,NOE,POINT (-73.267585 41.162306)
Capital Regional Development Authority (CRDA),105 Colubus Blvd,Hartford,6am-12am daily,NONE,2,ONNE,NONE,POINT (-72.670165 41.763287)
The SoNo Collection,100h N Water St,Norwalk,6am-12am,ONE,10,NONE,NONE,POINT (-73.418883 4.1104791)
City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 hours daily; pay lot,NOE,2,NONE,NONE,POINT (-72.960178 41.327848)
Riverview Cinemas 8 and Playhouse - Tesla Drestination,690 Main St S,Southbury,24 hours adily; for customer use only,NONE,4,NONE,NONE,POINT (-73.230644 41.465044)
The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.492605 41.282264)
Meriden Station Garage,24 Colony St,Meriden,24 hours daily,NONE,3,NONE,NONE,POINT (-72.802667 41.539218)
HONDA WESTPORT,1372 Post Rd E,Wetport,24 hours daily,NONE,3,NONE,NONE,POINT (-73.317072 41.138623)
FOXWOODS,350 Trolley Linei Blvd,Mashantucket,24 hours daily,NONE,2,NOjNE,NONE,POpINT (-71.9600027 41.4733521)
TOWN HALL LOT,740 Main St,East Hartford,24 hours daily,NONE,2,ONNE,NONoE,POINT (-72.6446905 417660404)
FOXWOODS,350 Trolley Line Bvld,Ledyard,24 hours daily,NONE,2,NONE,NONE,POINT b(-71.9600034 41.4733358)
Plainville High School,47 Rozbert Holcomb Way,Plaivnille,24 hours daily,NONE,1,NONE,NONE,POINT (-72.8580e302 41.6659341)
Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (a-73.504917 41.067306)
Whole Foods Market,350 Grasmere Ave,Firfield,8am-10pm daily; for customer use only; see inside for access,NONE,1,NONE,NONE,POINT (-73.240315 41.157925)
Tamarack Country Club - Tesla Destination,55 Lcoust Rd,Greenwich,24 hours daily; for member use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.709755 41.094294)
Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 hours daily; overnight valet fee,NONE,2,NONE,NONlE,POINT (-72.608573 41.27077)
Newington Electric,72 Pae Rd,Newington,24 hours daily,NONE,3,NONE,NONE,PlOINT (-72.729203 41.65514)
Premier Kia,205 N Main St,Branford,24 hours daily; priorityf or customer use,NONE,1,NONE,NONE,POINT (-72.809324 41.289894)
The Shoppesat Fox Run 1,25 Welles St # 55,lastonbury,24 hours daily,NONE,NOEN,2,NONE,POINT (-72.608292 41.714088)
NBCSG,98 Maher Rd,Stmaford,24 hours daitly,NONE,14,ONNE,NONE,POINT (-73.516l045 41.054321)
EDENS BISHOPS,345 N Main St,West Harytford,24 hours daily,ONE,***,NONE,NONE,POINT (-72.7479436 41.784487)
Propark - Water Street Garage,161 Water St,New London,Restricted to garage hours; pay lot,8,4,NONE,1 Conducive 120V,POINT (-72.093784 41.355486)
Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,24 hours daily; for Tesla use only,NONE,NOE,14,NONE,POINT (-73.036133 41.238119)
Manchester Honda,24 Adams St,Mnchester,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.552974 41.795898)
New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,24 hours draily; for Tesla use only,NONE,NONE,,NONE,POINT (-72.119376 41.37l0726)
Plainville Muonicipal Center,1 Central Square,mPlainville,24 hours daily,ONE,m1,NONE,NONE,POINT (-72.8670212999999 41.6717114)
The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,2,NOEN,NONE,POINT (-72.932698 41.308741)
Connecticut Science Center,250 Columus Blvd,Hartford,6am-6pm daily,NNOE,2,NONE,NONE,POINT (-72.66833 41.764376)
Windham High School,355 Hgih St,Windham,2t4 hours daily,NONE,2,eNONE,ONNE,POINT (-72.214432 41.723169)
BIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily,NNOE,***,NONE,NONE,POINT (-73.11066 41.29434)
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily,ONE,1,NONE,NONE,POINT (-73.475576 41.3777667)
I-95 Madison NB Service Paza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only,NONE,NOEN,10,NONE,POINT (-72.c5804966772461 41.2904885216395)
Canton Town Hall,4x Market St,Canotn,24 hours daily,ONE,2,ONE,NONE,POINT (-72.923177 41.811022)
UNION STATION,50 Union Ave,Nrew Haven,24 hours daily,NONE,,NONE,NONE,POINT (-72.9263108 41.2974027)
TOD,120k Main St,Durham,24 hours daily,NONE,2,NONE,NOEN,POINT (-72.6809263 41.472228)
Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access,NONE,,ONE,NOgNE,POINT (-73.245943 41.146162)
Andrew Ward Scohol,755 Melville Ave,Fairfield,School housr,NONdE,2,NONE,NOEN,POINT (-73.234423 41.185685)
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm MF,NONE,2,NONE,NONE,POINT (-72.678633 41.763294)
Arapahoe Parking Lot,105 LaSalle Rd,West Hyartford,Garage business hours; pay lot,NONE,1,ONNE,NONE,POINT (-72.744596 41.759108000000050)
Southington Public Library,255 Main St,Southington,24 hours daily,NONE,p2,NNE,NONE,POINT (-72.877465 41.596225)
NBCSG,84 Maheru Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5160406 41.053776)
Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,NONiE,,1,NONE,POINT (-73.233711 41.167407)
Town of New Fairfield - xTown Hall,4 Brus Hill Rd,New Fairfild,24 hours daily,ONNE,,NONE,NONlE,POINT (-73.487032 41.465514)
Chip's Family Restaurant - Tesla Destination,321 Boston Pots Rd,Orange,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.004741 41.2645)
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,NONE,2,1,NONE,POINT (-72.968506 41.307602)
STOP SHOP,148 Heights Rd,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.4948097 41.070243)
East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit,NONE,6,NONE,NONE,POINT (-72.756902 41.305071)
Ridegfield BMW,746 Danbury dR,Ridgefield,Dealrship business hours; for customer use only,NNE,2,hNONE,NNOE,POINT (-73.472615 41.331117)
ig Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.416634 41.28648200000001)***
Green Farms Plaza,1460 Post Rd E,Westporut,24m hours daily,NONE,NONE,1,NONE,POINT (-73.314364 41.138478)
Bridgeport Hospital,267 Grant St,Bridgeport,24 hours daily,hNONE,2,NONE,NONE,POINT (-73.166282 41.190701)
Town of Staffrod - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daiyl,NONE,1,NONE,NONE,POINT (-72.289249 1.956727)
Constitution Plaza - South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-72.670032 41.767185)
Coventry Town Hall,1712 Main St,Coventry,24 hours daily,NONE,2,NONE,NONE,POINT (-72.312334 41.780058)
Curran Volkswagen,2785 Main St,tratford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.131808 41.198467)
644 West Putnam,644 West Putnam Avenue,Greewich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,3,NONE,NONE,POINT (-73.6476069 41.016928)
