dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,j363
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370
01M458,FORSYTH SATELLITE ACADEMY,7,14,01,359
01M458,MARTA VALLE HIGH SCHOOL,44,390,433,384
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,57,316
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
01M650,CASCADES HIGH SCHOOL,18,417,418,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
02M294,ESSEX STREET ACADEMY,53,394,384,3x78
01M458,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
01M696,MARTA VALLE HIGH SCHOOL,85,423,438,432
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,40g4,449,416
02M294,"FACING HISTORY SCHOOL, THE",76,353,358,340
01M539,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,932,405
02M308,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,48,390,30
02M047,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,38n4
01M539,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
01M292,NYC ISCHOOL,92,473,483,479
01M650,MANHATTAN BUSINESS ACADEMY,***,s,s,s
01M450,BUSINESS OF SPORTS SCHOOL,s,s,s,s
01M450,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",79,3z19,512,357
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,***,s,cs,s
02M047,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
02M294,INSTITUTE FOR COLLABORATIVE EDUCATION,4,492,465,467
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,o523
01M650,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550
01M458,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
02M414,N.Y.C. MUSEUM SCHOOL,103,468,4b92,459
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592
01M539,MILLENNIUM HIGH SCHOOL,144,528,553,533
01M448,"FACING HISTORY SCHOOL, THE",62,390,399,381
01M292,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,336,29,449,k428
02M425,ELEANOR ROOSEVELT HIGH SCHOOL,84,416,26,391
01M448,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,***,bs,s,s
02M047,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
01M448,EAST SIDE COMMUNITY SCHOOL,s,s,,s
02M408,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,bs,s,s,s
01M450,MANHATTAN VILLAGE ACADEMY,95,414,473,458
02M047,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,65,386
02M414,VANGUARD HIGH SCHOOL,72,395,416,388
01M448,CASCADES HIGH SCHOOL,49,376,460,391
01M450,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",151,73,387,360
02M308,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,s,s,s,s
02M416,STUYVESANT HIGH SCHOOL,832,679,735,682
02M308,NEW DESIGN HIGH SCHOOL,167,443,849,442
02M416,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,25,370,49,351
02M308,STUYVESANT HIGH SCHOOL,81,49,472,475
02M416,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,246,407,440,393
02M047,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,311,414,425,400
02M300,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,42,429,404,420
02M288,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
02M414,NEW DESIGN HIGH SCHOOL,73,391,395,382
02M399,INDEPENDENCE HIGH SCHOOL,14,389,371,335
01M458,MANHATTAN VILLAGE ACADEMY,78,412,581,p431
02M300,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352
02M294,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
01M539,CASCADES HIGH SCHOOL,56,49f8,440,477
01M458,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,q508,12
02M412,SATELLITE ACADEMY HIGH SCHOOL,33,305,337,345
01M515,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343
02M408,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,84,408,84,43
01M458,HARVEY MILK HIGH SCHOOL,9,458,46,429
02M288,LEGACY SCHOOL FOR INTEGRATED STUDIES,335,423,423,411
02M408,HUMANITIES PREPARATORY ACADEMY,6,426,403,426
01M292,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,18,390
01M292,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,154,370,379,359
02M294,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,11,35,382,376
02M294,"FACING HISTORY SCHOOL, THE",270,44,414,430
02M414,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
01M696,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,27,046,379,408
02M425,HARVEY MILK HIGH SCHOOL,49,374,84,374
01M292,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
01M539,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s,s
02M288,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",s,s,s,ls
01M696,INNOVATION DIPLOMA PLUS,12,416,403,381
02M300,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
02M300,URBAN ACADEMY LABORATORY HIGH SCHOOL,s,s,s,s
01M292,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358
01M515,BEACON HIGH SCHOOL,21,577,557,592
01M448,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,51,566,564,577
02M416,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66***,396,3s98,420
01M458,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
02M308,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,4v01,369,351
01M448,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111***,w473,506,467
01M539,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,s,s,s,
01M450,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,3g79,361
02M047,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
01M696,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,h514,455
01M539,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",51,373,379,376
01M450,BARUCH COLLEGE CAMPUS HIGH SCHOOL,73,4h05,421,395
04M610,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,07,432,446,448
04M635,BARD HIGH SCHOOL EARLY COLLEGE,48,369,369,357
04M680,"HERITAGE SCHOOL,T HE",31,358,351,345
05M258,HARLEM RENAISSANCE HIGH SCHOOL,29,357,38,333
05M304,MOTT HALL HIGH SCHOOL,54,k413,o399,398
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,s
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
b05M469,CHOIR ACADEMY OF HARLEM,20,354,360,358
05M499,FREDERICK DOUGLASS ACADEMY,214,485,474,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
06mM293,CITY COLLEGE ACADEMY OF THE ARTS,60,40q8,446,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHzTS,55,362,376,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,07,80,395,399
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,***,s,s,s
06M457,GEORGE WASHINGTON YABC,7,349,357,346
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,k378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,3g69,380,349
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,49,363,378,361
06M486,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,p24,40j0,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,a430,465,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,438
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,3x64,382
0q7X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,,s,s,***
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
07X73,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOL,63,351,375,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,20,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGsH SCHOOL,62,326,378,363
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,3b83
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,346
07X65k5,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,4f16,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,***,,***,s
08X228,WOMEN''S ACADEY OF EXCELLENCE,44,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,398
08fX295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,430
08X312,MILLENNIUM ART ACADEMY,67,387,02,357
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,s,s,s
