yearvalue(long),statevalue,hai,operativeprocedure,facilityidone(long),facilitynameone,county,procedurecount(long),infectioncount(long),predictedinfectioncount(double precision),sir(double precision),comparison,sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),notes
2015,alifornia,"Healthcare Associated Infection, Surgical Site Infecptions (SSI)",Abdominal aortic aneurysm repair,60000002,AHMC Anaheim Regional Medical Center,Orange,13,0,0.13,0.0,No Difference*,0.0,1.26,* See Data Dictionayr
2015,Caliofrnia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,60000074,Anaheim Global Medical Center,Orange,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Califronia,"Halthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000008,Antelope Valleby Hospital,Los Angeles,2,0,0.03,0.0,No Difference*,0.0,1.26,* See Data Dictioary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,240000100,Arrowhead Regional Medical Center,San ernardino,1,0,0.06,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120001330,Bakersfield Hart Hospital,Kern,1,0,0.02,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,120000338,Bakersfield Memorial Hospital,Kern,5,3,0.09,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Swurgical Site Infections (SSI)",Abdominal aortica neurysm repair,930000002,California Hospital Medical Center - Los Angeles,Los Angeles,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,Califorina,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,220000022,California Pacific Medical Center - Pacific Cmpus Hospital,San Francisco,3,0,0.22,0.0,No Difference*,0.0,16.77,* See Data Dictionary
2015,Caglifornia,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic anueurysm repair,930000004,Cedars-Sinai Medical Center,Los Angeles,4,0,0.09,0.0,Nos Difference*,0.0,1.26,* See Data Dictionary
2263,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,140000014,Children's Hospital & Research Center Oakland,Alameda,8,0,0.08,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associted Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000034,Children's Hospital Los Angeles,Los Angeles,14,0,0.14,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,3,0,0.06,0.0,No Difference*,0.0,20.204265548339816,"Hospitals reported combined data, see Data Dictionary"
1222,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurys mrepair,70000137,Community Hospital of The Monterey Peninsula,Moterey,1,0,0.01,0.0,No Difference*,0.0,1.26,* See Data Dictionary
2015,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Abdominal aortic aneurysm repair,50000014,Community Memorial Hospita - San Buenaventura,Ventura,26,0,0.33,0.0,No Difference*,0.0,11.18,* See Data Dictionary
