Agency Number,Agency Name,Class Field,Class Description,Statutory Reference,Calendar Year,Month,Total Amount
01000,OKLAHOMA STATE UNIVERSITY,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2014,01,$3978484.59
01000,OKLAHOMA STATE UNIVERSITY,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2014,01,$0.00
01000,OKLAHOMA STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2014,01,$3491505.08
01000,OKLAHOMA STATE UNIVERSITY,340,Bond Transfer Fund,"TITLE 62, SEC. 7.5",2014,01,$0.00
01000,OKLAHOMA STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2014,01,$4298209.10
01000,OKLAHOMA STATE UNIVERSITY,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2014,01,$177594.05
01000,OKLAHOMA STATE UNIVERSITY,470,Const. Energy Research Bldg,"TITLE 70, SEC. 3412",2014,01,$194.03
01000,OKLAHOMA STATE UNIVERSITY,479,Capital Bond Project, ,2014,01,$0.00
01000,OKLAHOMA STATE UNIVERSITY,485,Rev Bond Funds '85 Cap Imprvmt,"TITLE 70, SECTION 4006",2014,01,$951.17
01000,OKLAHOMA STATE UNIVERSITY,486,1998 Athletic Fac Reven Bd Fd,"TITLE 70, SEC. 4004",2014,01,$68797937.85
01000,OKLAHOMA STATE UNIVERSITY,487,1998 ODFA Athletic Fac Pjt Fd,"TITLE 70, SEC. 4004",2014,01,$0.09
01000,OKLAHOMA STATE UNIVERSITY,488,1998 Utility Sys Revenue Bd Fd,"TITLE 70, SEC. 4004",2014,01,$0.00
01000,OKLAHOMA STATE UNIVERSITY,490,American Recov. & Reinv. Act, ,2014,01,$1479569.51
01000,OKLAHOMA STATE UNIVERSITY,495,Federal Construction Fund, ,2014,01,$167718.76
01000,OKLAHOMA STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2014,01,$4803094.09
01000,OKLAHOMA STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2014,01,$3270732.89
01100,OSU-EXPERIMENT STATION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2014,01,$7944345.42
01100,OSU-EXPERIMENT STATION,293,Higher Ed Capital Excellence F, ,2014,01,$0.00
01100,OSU-EXPERIMENT STATION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2014,01,$4117208.84
01100,OSU-EXPERIMENT STATION,450,Master Lease Purchase Fund, ,2014,01,$0.00
01100,OSU-EXPERIMENT STATION,490,American Recov. & Reinv. Act, ,2014,01,$437391.27
01100,OSU-EXPERIMENT STATION,495,Federal Construction Fund, ,2014,01,$93.60
01200,OSU-EXTENSION DIVISION,225,OSU Extension Service License,"TITLE 47, CH 74, SEC 1136",2014,01,$8570.00
01200,OSU-EXTENSION DIVISION,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2014,01,$16858572.32
01200,OSU-EXTENSION DIVISION,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2014,01,$1909217.73
01200,OSU-EXTENSION DIVISION,490,American Recov. & Reinv. Act, ,2014,01,$0.00
