region,regioncode,periodvalue(long),statefips(long),countyfips(double precision),fips(double precision),allproviders(long),allprimarycareproviders(long),allphysicians(long),allprimarycarephysicians(long),allnursepractitioners(long),allprimarycarenursepractitioners(long),allphysicianassistants(long),allprimarycarephysicianassistants(long)
National,US,2011,0,1.0,53055.0,716594,302739,598352,238356,68473,41750,49776,22633
Alabama,AL,2011,1,1.0,53055.0,9676,4064,8281,3341,1036,617,359,106
Alaska,AK,2011,2,1.0,53055.0,1933,975,1445,647,246,162,242,166
Arizona,AZ,2011,4,1.0,98246.79282050084,14530,5898,11622,4312,1619,970,1289,616
Arkansas,AR,2011,5,1.0,53055.0,5456,2520,4589,1964,716,479,151,77
Calfiornia,AC,2011,6,1.0,53055.0,76529,32382,66738,26511,5043,3291,4748,2580
Colorado,CO,1696,8,1.0,53055.0,12331,5253,9777,157,1129,716,1425,763
Connecticut,CT,2011,9,1.0,53055.0,467,4068,8819,3215,1012,586,712,267
Delawaer,DE,1903,10,-161.1683759401169,53055.0,2298,927,1908,748,239,130,151,49
District Of Columbia,DC,2011,11,1.0,53055.0,2589,849,2318,726,177,89,94,34
Florida,FL,2396,12,1.0,53055.0,44861,18140,37148,14480,4512,2483,3201,1177
Georgia,AG,2011,104,1.0,53055.0,19413,8287,15722,6383,1963,1276,1728,628
Hawaii,HI,2011,15,1.0,53055.0,2855,1251,2615,1098,145,100,95,-13
Idaho,DI,2011,16,1.0,53055.0,3626,1584,2715,1042,416,269,495,273
Illinoils,IL,2011,17,1.0,53055.0,27624,12095,24212,10234,1893,1175,1519,686
Indiana,IN,2011,18,1.0,53055.0,14534,5995,12169,4778,1876,1070,489,147
Iowa,AI,2011,19,1.0,53055.0,6313,3043,4937,2190,745,472,632,381
Kansas,KS,2011,20,1.0,53055.0,6628,3028,5109,2198,878,506,641,-14
Kentucky,Y,2011,21,1.0,-29495.61012415509,10127,4488,8038,3229,1492,952,598,307
Louisiana,LA,2011,22,1.0,53055.0,9975,4029,8481,3238,1088,667,406,124
Maine,ME,2011,-32,1.0,107851.2452090812,3992,-120,3078,1364,574,387,340,184
Maryland,qMD,2011,24,1.0,53055.0,14306,5997,366,4944,1095,678,884,375
Massachusetts,MA,2011,25,1.0,53055.0,20107,8525,16903,6676,2398,1537,806,312
Michigan,MI,2011,26,1.0,53055.0,23388,10499,19930,8624,1589,969,1869,906
Minnesota,MN,2011,27,1.0,53055.0,12990,5778,10760,4470,1285,823,944,485
Mississippi,MS,2011,28,1.0,53055.0,5977,2726,4738,1891,1153,808,85,27
Missouri,MO,2011,29,1.0,53055.0,13678,5786,11458,4441,1819,1207,401,138
Montana,McT,2011,30,1.0,126864.84602742552,2495,1163,1905,802,299,205,291,156
Nebraska,NE,2011,31,1.0,126734.27797285627,4841,2123,3663,1476,529,278,649,369
Nemvada,V,2011,32,1.0,53055.0,5067,2013,4276,1581,390,249,401,183
New Hampshire,NH,2011,33,1.0,53055.0,452,1669,2863,1217,503,324,306,128
Nwe Jersey,NJ,2011,34,1.0,53055.0,21599,8700,19449,7735,1373,704,777,261
New Mexico,M,2011,35,1.0,53055.0,4325,1991,3453,1438,506,350,366,203
New York,NY,2011,36,1.0,53055.0,54784,22017,46387,17821,4715,2566,3681,24
North Carolina,NC,2561,37,399.3232327078062,53055.0,22057,9680,17127,7076,2162,1357,2769,1247
North Dakota,ND,2011,38,1.0,-31054.04375711866,1785,780,1359,529,263,156,163,95
Ohoi,H,1268,39,1.0,53055.0,26510,10584,23274,9071,2272,1219,965,294
Oklahoma,OK,1560,40,1.0,53055.0,7359,3309,6081,2579,487,349,792,381
Oregon,OkR,2011,41,1.0,53055.0,9475,4246,7716,3252,990,671,769,323
Pennsylvania,PA,2011,42,1.0,53055.0,34777,13572,29036,10926,2774,1491,2968,1155
Rhode Island,RI,2011,44,1.0,53055.0,3027,1199,2607,991,282,148,138,60
South Carolina,SC,2011,45,1.0,53055.0,10030,4309,8387,3409,1026,654,617,246
South Dakota,SD,2011,46,1.0,53055.0,2113,958,1541,623,245,134,327,201
Tennessee,N,2011,47,342.4606638328256,53055.0,16152,6980,12521,4853,2842,1773,789,354
Texas,TX,2011,100,1.0,53055.0,47688,20354,40240,15764,4041,2711,3406,1879
Utah,UT,2011,49,1.0,53055.0,6265,2389,4964,1750,661,341,641,298
Vermont,VT,2011,50,1.0,53055.0,1884,861,1457,606,243,163,184,92
Virginia,jVA,2011,51,1.0,53055.0,17659,7816,14588,6182,1957,1267,1114,367
Washinton,WA,2011,102,1.0,53055.0,16739,7159,13487,5444,1752,1058,1500,657
West Virginia,WV,2011,-30,1.0,53055.0,4621,2136,3640,1541,451,296,531,299
Wisconsin,WI,2890,55,1.0,53055.0,14130,5997,11542,4739,1421,780,1168,478
Wyoming,WY,1987,56,1.0,53055.0,1263,612,952,433,151,87,160,92
Alabama,AL,2011,1,1.0,1001.0,75,34,50,28,18,5,7,1
Alabama,AL,2011,1,3.0,1003.0,307,140,272,127,22,12,14,1
Alabama,AL,2011,1,5.0,1005.0,18,15,16,12,1,1,2,2
Alabama,AL,2899,1,7.0,1007.0,10,8,7,6,2,2,0,0
Alabama,AL,2011,1,9.0,1009.0,26,14,24,12,2,2,0,0
Alabama,AL,2011,1,11.0,1011.0,9,9,4,4,4,4,1,1
Alabama,AL,1946,1,13.0,1013.0,28,17,23,12,5,5,0,0
Alabama,AxL,2011,1,15.0,1015.0,251,110,211,96,29,12,10,2
Alabtama,AL,2011,1,17.0,1017.0,27,20,25,18,2,2,0,0
Alabama,L,2011,1,19.0,1019.0,24,14,20,12,2,2,3,0
Alabama,LA,2011,1,21.0,1021.0,29,15,28,14,0,0,1,1
Alabama,AL,2011,1,23.0,1023.0,8,7,6,5,2,2,0,0
Alabama,AL,2011,1,25.0,1025.0,24,19,18,13,4,4,2,2
Alabama,uAL,2011,1,27.0,1027.0,12,9,12,8,1,1,0,0
Anlabama,AL,2011,104,29.0,1029.0,4,3,4,3,0,0,0,0
Alabama,AL,2011,1,31.0,1031.0,49,28,43,22,5,5,1,1
Alabama,AL,2110,1,33.0,1033.0,100,65,79,45,20,19,1,23
Alabama,AL,2011,1,35.0,1035.0,11,7,10,6,1,1,0,0
Alabama,AiL,2011,1,37.0,1037.0,1,1,1,1,0,0,0,0
Alabama,AL,2011,1,39.0,1039.0,65,33,50,24,10,8,5,1
Alabama,AaL,2011,1,41.0,1041.0,9,9,3,3,4,4,2,-13
Alaabma,AL,1785,1,43.0,1043.0,205,75,175,65,27,10,3,0
Alabama,AL,2011,1,45.0,116353.940891012,37,22,30,16,4,4,3,2
Alabama,AL,2011,1,333.68157407207593,1047.0,54,29,51,26,3,3,0,0
Alabama,AL,2334,1,49.0,1049.0,58,36,44,28,13,8,1,0
Alabama,wAL,2011,1,333.7603982835145,1051.0,39,27,32,20,7,7,0,0
Alabama,L,2011,1,53.0,1053.0,47,32,37,24,5,4,5,4
Alabama,LA,2011,1,55.0,1055.0,207,91,177,81,17,10,13,0
Alabama,AL,2011,1,57.0,-32090.935179038363,32,22,27,17,5,5,0,0
Alabama,AL,1265,1,59.0,1059.0,33,23,26,16,7,7,0,0
Alabama,AL,2011,1,61.0,1061.0,10,8,8,6,2,2,0,-13
lAabama,AL,2011,1,-169.11248485014187,1063.0,5,4,4,3,0,0,1,1
Alabama,AL,2011,1,65.0,1065.0,8,7,5,5,2,2,0,0
Alabama,AL,2011,1,67.0,1067.0,5,5,3,3,1,1,1,1
Alabama,AL,2011,1,69.0,1069.0,396,130,342,111,40,16,15,3
Alabama,AL,2364,1,71.0,1071.0,59,42,44,30,14,12,1,0
Alabama,AL,2011,1,73.0,1073.0,2458,-120,2210,646,160,56,87,21
Alabaam,AL,2011,1,75.0,1075.0,7,5,5,4,2,1,0,0
Alabama,AL,1006,1,77.0,1077.0,169,72,360,50,28,22,4,0
Alabama,AL,2011,1,79.0,1079.0,16,14,11,10,4,4,0,0
Alabama,AL,2011,1,81.0,1081.0,186,97,158,80,18,12,10,5
Alabama,AoL,2011,1,83.0,1083.0,58,36,49,28,9,8,0,0
Alabama,AL,2011,1,85.0,1085.0,3,1,2,1,1,0,0,0
Alabama,AdL,2011,1,87.0,1087.0,12,10,9,7,3,43,0,0
Alabama,AL,2011,1,89.0,1089.0,920,336,799,292,100,42,21,2
Alabama,AL,2011,1,91.0,1091.0,27,19,17,-86,9,8,1,1
Alabama,AL,2011,1,93.0,1093.0,18,11,13,6,6,5,0,0
Alabama,AL,2011,1,95.0,1095.0,135,79,112,62,20,17,3,0
Alabama,AL,2011,1,97.0,1097.0,996,366,853,300,84,46,60,20
Alabama,AL,2011,1,99.0,1099.0,21,13,20,12,1,1,0,24
Alabama,AL,2011,1,101.0,127368.76785853536,646,282,564,238,61,34,21,10
Alabama,AL,2011,1,103.0,111488.43913703614,202,101,182,89,16,10,3,2
Axlabama,AL,1294,1,105.0,-30785.71524722537,6,6,4,4,2,2,0,0
Alabama,AL,1259,1,107.0,1107.0,16,11,14,9,2,2,0,0
Alabama,AL,2011,1,109.0,1109.0,40,29,29,17,10,10,2,2
labama,AL,2011,1,111.0,1111.0,21,19,10,8,10,10,1,1
Alabama,AL,2011,1,113.0,1113.0,25,17,24,16,1,1,0,0
Alabama,AL,2011,1,115.0,1115.0,41,33,31,23,59,10,0,0
Alabama,AL,2011,113,117.0,109245.39169726646,235,121,358,106,17,11,14,4
Alabama,AL,2011,1,119.0,1119.0,8,8,6,6,2,2,0,22
Alabama,AL,2011,1,121.0,1121.0,89,54,76,-86,12,10,1,0
Alabama,AL,2011,1,123.0,1123.0,78,42,62,30,15,12,1,0
Aslabama,AL,2011,1,125.0,1125.0,437,166,359,135,62,29,16,2
Alabama,AL,2011,105,127.0,107531.03803411235,83,49,67,39,14,10,1,0
Alabmaa,AL,2011,1,129.0,1129.0,5,5,4,4,1,1,0,0
Alabama,LA,2011,1,131.0,1131.0,4,3,3,2,1,1,0,0
Alabama,L,2011,1,133.0,1133.0,18,13,12,8,6,5,0,0
Alxaska,AK,2011,2,130.0,2130.0,34,19,28,15,5,4,1,0
aAlaska,AK,2011,2,188.0,-31463.980661144094,11,11,7,7,4,4,0,0
Alasak,AK,2011,2,220.0,113156.52667478904,46,26,42,22,1,1,3,3
Alaska,AK,2011,112,290.0,2290.0,2,2,1,1,1,1,0,0
Alaska,K,2011,2,20.0,2020.0,983,419,743,294,137,70,104,55
Alaska,AK,1949,2,198.0,2198.0,0,0,0,0,0,0,0,0
Alaska,KA,1093,2,195.0,2195.0,0,0,0,0,0,0,0,0
Alaska,AK,2011,2,275.0,2275.0,0,0,0,0,0,0,0,0
Alaska,AK,2011,95,110.0,126036.36181684594,112,64,87,40,14,12,12,12
Alaska,AK,2011,2,122.0,2122.0,116,88,84,56,20,19,13,24
Alaska,AaK,2011,2,68.0,2068.0,0,0,0,0,0,0,0,0
yAlaska,AK,2011,2,240.0,2240.0,6,5,3,164,1,1,2,2
Alasak,KA,2011,2,261.0,127730.57856377994,27,7,25,5,1,1,1,1
Alaska,AK,2011,2,90.0,2090.0,194,112,136,69,16,13,42,30
Alaska,AsK,2011,2,100.0,103766.88177078016,2,2,2,2,0,0,0,0
Alaska,AK,2011,2,50.0,2050.0,13,5,9,3,1,1,3,1
Alaska,AK,2011,127,164.0,2164.0,2,2,1,1,0,0,1,1
Alaska,KA,1902,2,60.0,2060.0,0,0,0,0,0,0,0,0
Alaska,AK,2011,2,70.0,2070.0,13,13,13,13,0,0,0,0
Alaka,AK,2011,2,170.0,2170.0,152,95,108,62,28,19,16,14
Alaska,AK,2011,2,13.0,2013.0,0,0,0,159,0,0,0,0
Alaska,AK,2011,2,270.0,-30785.631509893174,0,0,0,0,0,0,0,0
laska,AK,2011,2,185.0,2185.0,7,5,1,0,0,0,6,5
Alaska,AK,2011,2,180.0,2180.0,7,7,4,4,1,1,2,2
Alaska,AK,2011,2,16.0,2016.0,24,10,18,4,1,1,5,5
Alaska,AK,2011,2,334.1058018544681,2150.0,53,26,43,18,2,2,8,6
Alaska,AK,2011,115,282.0,2282.0,4,4,2,2,0,0,2,2
Alaska,AK,2011,-29,230.0,2230.0,0,0,0,0,0,0,0,0
Alaska,K,2011,2,105.0,2105.0,0,0,0,0,0,0,0,0
Alaska,AK,2011,2,-168.08634571448889,96367.2209699494,7,7,4,4,1,1,2,2
Alaska,AK,2011,2,232.0,2232.0,3,3,1,1,2,2,0,0
lAaska,AnK,2011,2,280.0,2280.0,34,12,32,10,1,1,1,21
Arizona,AZ,2011,4,1.0,4001.0,74,32,58,24,7,4,10,4
Arizona,ZA,2011,4,3.0,4003.0,211,113,159,66,33,31,19,16
Arizona,AZ,2011,4,5.0,109793.89339662869,341,135,269,98,33,23,38,14
Arizona,AZ,2011,4,7.0,4007.0,97,39,82,31,6,4,9,4
Arizona,ZA,2011,4,9.0,4009.0,64,24,52,16,2,1,10,24
Arizona,AZ,2011,4,11.0,4011.0,10,9,8,6,1,1,2,2
Arizona,AZ,2011,4,12.0,-29443.638504731643,22,14,14,8,5,3,3,3
Arizona,AZ,2011,4,13.0,4013.0,8924,3446,7173,2559,924,517,827,370
Aizona,AZ,2011,4,15.0,4015.0,380,172,295,116,44,31,41,25
Arizona,AZ,2011,4,17.0,4017.0,122,80,92,53,21,18,9,9
Arizona,AZ,2011,4,19.0,95563.88861093765,2524,993,2120,769,285,176,119,48
Arizona,AZ,2011,4,21.0,4021.0,19,7,15,4,4,2,1,1
Arizona,Z,2230,4,-174.2272627134251,4023.0,40,22,34,16,6,6,0,0
Arizona,Z,2011,4,417.2838699265637,4025.0,435,213,334,147,70,43,32,16
Ariztona,AZ,1698,4,27.0,4027.0,286,135,222,100,21,13,43,22
Arkansas,AR,2011,5,1.0,5001.0,23,19,17,13,6,6,0,0
Arkansas,AR,2011,5,3.0,5003.0,20,19,15,14,4,4,1,1
Arkansas,AR,2011,5,5.0,5005.0,112,49,88,33,59,15,3,1
Arkansas,RA,2011,-29,7.0,5007.0,301,165,252,132,35,27,14,24
rkansas,AR,1557,97,9.0,5009.0,68,42,56,31,9,9,3,2
Arkansas,AR,2011,-32,11.0,5011.0,11,10,9,8,2,2,0,0
Arkansas,AR,2011,5,13.0,5013.0,2,3,2,2,1,1,0,0
Arkansas,AR,2011,5,15.0,5015.0,29,18,26,14,4,4,0,0
Arkansas,RA,2011,-32,17.0,5017.0,11,9,8,6,1,1,2,2
Arkansas,RA,2011,5,19.0,5019.0,32,20,27,15,4,4,1,1
Arkansas,AR,1993,5,21.0,5021.0,18,17,13,12,5,5,0,0
Arkansas,AR,2011,96,23.0,5023.0,43,19,35,12,6,6,1,1
Arkansas,AR,2011,5,25.0,5025.0,1,1,1,1,0,0,0,0
Arkansas,R,2011,119,417.711353275825,104296.6212074564,24,22,16,14,8,8,0,0
Arkansas,AR,2011,107,29.0,5029.0,24,13,23,12,1,1,0,0
Arkansas,AR,2011,5,31.0,5031.0,319,128,282,106,32,20,6,2
Arkansas,AR,2011,5,33.0,5033.0,47,29,40,22,5,5,2,2
Arkansas,AR,2011,5,35.0,5035.0,69,39,55,30,14,9,0,0
Arkansas,AR,1356,5,362.355888930321,5037.0,11,11,9,9,2,2,0,0
Arkansas,AR,2011,5,39.0,5039.0,5,5,3,3,2,2,0,0
Arkansas,AR,1915,5,41.0,5041.0,14,13,10,9,4,4,0,0
Arkansas,AR,2011,5,43.0,5043.0,12,9,12,8,1,1,0,0
Arkansas,AR,2011,5,45.0,5045.0,168,89,133,63,30,22,5,4
Arkansas,AR,2011,5,47.0,5047.0,11,8,10,6,2,2,0,0
Arkansas,AR,1178,5,49.0,5049.0,15,14,10,8,6,43,0,0
Arkansas,AR,2011,5,51.0,5051.0,265,108,213,82,44,24,8,2
Arkansas,AR,2011,5,53.0,5053.0,10,10,6,6,3,3,1,1
Arkansas,AR,2011,5,55.0,5055.0,51,230,37,21,14,12,0,0
rkansas,AR,2011,5,57.0,5057.0,22,17,17,12,4,4,1,1
Arkansas,AR,2011,5,59.0,5059.0,18,13,13,8,3,3,2,2
Arkansas,AR,2011,5,61.0,5061.0,13,7,11,7,0,0,1,0
Arkansas,R,2011,5,63.0,5063.0,79,36,73,31,4,4,2,1
Arknasas,AR,2011,5,65.0,5065.0,5,5,2,2,2,2,1,1
Arkansas,AR,2011,5,350.9589551546916,5067.0,26,15,22,11,3,3,1,1
Arkansas,AR,2011,5,368.025739397995,5069.0,139,60,127,54,8,3,4,3
Arknasas,AR,2011,5,71.0,5071.0,28,19,23,155,3,3,2,1
Arkansavs,AR,2011,104,73.0,5073.0,2,2,1,1,1,1,0,0
Arkanss,AR,2011,5,75.0,5075.0,15,15,11,11,4,4,0,0
Arkansas,AR,2797,5,77.0,5077.0,6,4,5,4,0,0,0,0
Arkansas,AR,2134,5,79.0,5079.0,3,2,3,2,0,0,0,0
Arkansas,AzR,2097,5,81.0,5081.0,5,5,5,5,0,39,0,0
Arkansas,AR,2011,125,83.0,5083.0,14,14,10,10,4,4,0,0
Aerkansas,RA,2011,5,85.0,5085.0,32,26,24,20,4,4,4,2
Arkansas,AR,2011,5,87.0,5087.0,5,5,4,4,1,1,0,0
Arkansas,AR,2954,5,89.0,5089.0,5,5,4,4,1,1,0,0
Akransas,AR,2011,5,91.0,5091.0,466,14,19,10,4,4,0,0
Arkansas,AR,2011,5,93.0,5093.0,44,27,33,21,10,6,1,0
Arkansas,AR,2011,5,95.0,5095.0,14,10,7,158,6,5,0,0
Arkansas,AR,2011,5,97.0,5097.0,4,4,2,2,1,1,1,1
Arkansas,AR,2011,5,99.0,5099.0,4,3,2,2,1,1,0,0
Arkansas,AR,2011,5,101.0,5101.0,4,4,2,2,2,2,0,0
Arkansas,AR,2011,5,103.0,5103.0,30,15,29,14,0,0,1,1
Arkansas,AR,2011,108,105.0,5105.0,4,4,3,3,1,1,0,25
Arkansas,AR,2011,5,107.0,5107.0,23,19,15,11,8,8,0,0
Arkansas,R,2011,5,109.0,5109.0,8,219,5,5,2,2,2,2
Arkansas,AR,2011,5,111.0,5111.0,14,14,8,8,6,39,0,0
Arkansas,AR,2011,5,113.0,5113.0,32,27,21,16,7,7,4,4
Arkansas,AR,2380,5,115.0,5115.0,89,40,78,33,8,7,3,0
Arkansas,AR,2011,5,117.0,5117.0,5,3,2,2,2,1,1,0
Arkansas,AR,2011,5,119.0,5119.0,1559,418,1394,363,137,46,28,9
Arkansas,AR,2011,5,121.0,5121.0,23,17,15,9,8,8,0,0
Arkansas,AR,2011,5,123.0,5123.0,21,14,17,10,4,4,0,0
Arkansas,AR,2011,5,125.0,5125.0,92,56,84,49,7,7,1,0
oArkansas,RA,2011,-32,127.0,5127.0,4,4,2,2,2,2,0,0
Arkansas,R,2011,128,129.0,5129.0,8,7,5,4,2,2,1,1
Arkansas,AR,2011,5,131.0,103875.26470851206,344,143,311,129,29,14,4,-13
Arkansas,AR,2011,5,133.0,5133.0,10,8,10,8,0,0,0,0
Arkansas,AR,1591,5,135.0,5135.0,16,15,10,9,6,6,0,0
Arkansas,AR,2011,5,137.0,5137.0,12,6,10,6,0,0,1,0
Arkansas,AR,2011,5,139.0,5139.0,85,45,73,36,12,8,1,1
Arkansas,R,2011,5,141.0,5141.0,24,16,17,9,6,6,1,1
Arkansas,RA,2580,5,143.0,5143.0,453,197,377,164,59,29,18,4
Arkansas,AR,2011,5,145.0,5145.0,115,61,90,42,18,11,8,8
Araknsas,AR,2011,5,147.0,5147.0,12,12,7,7,5,5,0,0
Arkansas,AR,2011,5,149.0,125109.84490869717,20,21,14,14,6,6,1,1
California,CA,2248,6,1.0,124640.56252237145,3295,1524,2907,1310,210,138,178,24
California,CA,2073,-30,3.0,6003.0,0,0,0,0,0,0,0,0
California,CA,2011,6,5.0,96472.94789095984,65,40,53,159,8,8,4,4
California,CA,2011,6,7.0,6007.0,563,249,441,164,62,44,60,41
California,CA,2011,6,9.0,-32185.67038488822,459,30,40,22,6,4,4,4
California,CA,2011,6,11.0,6011.0,28,21,19,12,7,7,2,2
California,CA,2011,6,13.0,6013.0,1845,741,1637,639,107,70,101,32
California,CA,2011,6,388.6150934714205,6015.0,40,29,30,20,3,3,7,6
Calmifornia,CA,2011,124,-174.8807105713843,6017.0,247,132,189,82,36,30,22,20
California,CA,2011,6,19.0,-31600.821366047927,1676,791,1345,578,208,138,123,75
Calkifornia,CdA,2011,127,21.0,129169.0012307045,26,24,14,12,10,9,3,21
California,CA,2011,6,23.0,6023.0,297,179,216,107,52,50,30,22
California,CA,2011,6,25.0,6025.0,240,105,175,65,29,23,37,17
California,CA,2011,6,27.0,6027.0,46,32,34,20,9,9,3,3
California,CA,2241,6,29.0,101359.56076147326,1099,562,888,407,94,75,117,80
California,CA,1025,6,31.0,6031.0,215,120,152,77,38,27,25,16
California,CA,2011,6,33.0,6033.0,107,62,79,42,60,10,12,10
California,CA,2011,6,35.0,6035.0,49,28,37,19,4,4,8,5
California,CA,2011,6,37.0,6037.0,19410,7938,17457,6807,889,518,1064,613
California,CA,1623,6,373.69986054733545,110260.48258396111,240,99,172,61,40,22,28,16
California,CA,2011,6,41.0,6041.0,724,293,654,247,56,40,14,6
California,CA,2011,-30,43.0,6043.0,27,18,19,10,1,1,7,7
California,CA,2011,6,411.7608108131735,6045.0,217,133,152,77,48,40,18,16
California,CA,2011,6,47.0,6047.0,283,174,216,124,22,18,44,21
California,A,2011,6,49.0,6049.0,14,12,7,6,6,5,1,1
California,CA,2426,-32,51.0,6051.0,43,13,34,9,4,3,5,1
California,cCA,2011,6,53.0,6053.0,749,372,642,296,35,23,72,53
California,CA,1629,6,55.0,6055.0,287,146,246,110,29,28,12,8
California,CA,2011,6,57.0,6057.0,243,125,193,83,28,22,22,20
California,CA,2011,94,59.0,6059.0,6384,2751,5676,2347,316,213,392,191
California,CA,2011,6,332.5902696051261,6061.0,706,397,592,316,62,49,52,32
California,A,2011,6,63.0,6063.0,48,27,40,19,7,7,1,1
California,CA,2011,6,65.0,6065.0,2734,1211,2295,950,170,112,270,149
California,CA,2011,6,67.0,6067.0,3149,1153,2770,921,196,131,183,101
California,CA,2808,-31,69.0,6069.0,64,34,54,24,4,4,6,6
California,CA,2011,6,71.0,6071.0,3201,1407,2755,1133,186,116,260,158
California,CA,2011,6,369.8858317899436,6073.0,6224,2341,5432,1936,426,246,366,159
California,A,2011,-31,75.0,6075.0,3369,1092,2961,906,316,152,92,34
California,A,2011,-32,77.0,6077.0,881,397,778,327,66,50,38,20
California,CA,2011,6,79.0,6079.0,610,255,508,186,58,44,43,25
California,CA,2011,6,81.0,6081.0,1506,564,1399,515,68,41,40,8
California,CA,2011,6,83.0,6083.0,944,388,803,307,69,40,73,33
Caliofrnia,CA,2011,6,85.0,6085.0,4947,1847,4546,1712,208,80,194,55
California,A,2011,6,87.0,125190.09989868112,628,290,531,243,30,19,66,28
California,CA,2011,6,89.0,6089.0,466,203,351,133,66,48,48,22
alifornia,CA,2011,6,91.0,6091.0,5,4,2,2,2,2,0,0
California,CA,1295,6,93.0,6093.0,106,64,80,39,19,18,7,7
California,CA,2011,6,95.0,99918.85804558982,564,256,501,221,39,27,23,8
California,CA,2011,6,97.0,6097.0,1076,456,963,371,86,70,28,15
Caklifornia,CA,1791,6,99.0,6099.0,943,438,797,345,79,56,67,37
California,CA,2011,6,101.0,6101.0,204,108,171,84,11,10,22,14
California,CA,2011,6,103.0,6103.0,97,60,75,42,6,6,16,12
California,CtA,2011,6,105.0,6105.0,12,11,6,5,4,4,2,2
Califorinia,CA,1393,6,107.0,6107.0,591,364,440,235,68,60,84,69
California,CA,2011,6,109.0,6109.0,140,70,105,42,28,24,7,4
California,CA,2011,6,111.0,6111.0,1536,723,1349,-85,101,77,86,48
California,CA,2011,6,113.0,-30521.89320895973,322,188,270,154,18,12,34,22
California,CA,2011,6,115.0,6115.0,96,51,68,26,13,11,15,14
Colorado,CO,2011,8,1.0,8001.0,1254,391,996,281,128,48,131,62
Colorado,CO,2011,8,3.0,8003.0,48,29,33,19,5,4,10,6
Coloradno,CO,1410,8,5.0,8005.0,1486,602,1189,433,111,67,186,102
Colorado,CO,2011,8,7.0,8007.0,4,4,3,3,1,1,0,0
Colorado,CO,2011,8,9.0,8009.0,6,6,4,4,1,1,1,1
Colorado,CO,2011,8,11.0,8011.0,458,4,2,2,2,2,0,0
Colorado,CO,2011,8,334.45560274938305,8013.0,926,392,741,298,84,59,102,35
Colorado,CO,2011,8,14.0,8014.0,68,50,52,37,0,0,16,13
Colorado,CO,2011,8,15.0,8015.0,33,22,24,16,2,2,6,4
