yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
1030,California,Stanislaus,Surgical Site Infection (SSI),30000129,Central Valley Specialty Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Californa,Sacramento,Surgicavl Site Infection (SSI),30000907,Vibra Hospital of Sacramento,Long-Term Acute Care,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Chalifornia,Mariposa,Surgical Site Infection (SSI),40000105,John C. Fremont Healthcare District,Critical Access***,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Fresno,Surgical Site Infection (SSI),40000613,San Joaquin Valley Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2982,Califorina,Santua Barbara,Surgical Site Infecction (SSI),50000030,Santa Ynez Valley Cottage Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Califorcnia,Ventura,Surgical Site Infection (SSI),50000553,"Los Robles Hospital & Medical Center, East Campus",Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Californai,Orange,Surgical Site Infection (SSI),60000008,College Hospital Costa Mesa,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),60000017,"Kindred Hospital, Westminster",Long-Term Acute Care,7,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,aClifornia,Orange,Surgical Site Infection (SSI),60001097,Encompass Health Rehabilitation Hospital of Tustin,Free-Standing Rehabilitation,12,N surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caligfornia,Orange,Surgical Site Infection (SSI),60001360,"Kindred Hospital, Brea",Long-Term Acute Care,12,No surgeris in the 28 surgical procedure categories were performed in 2019.
2019,Calfornia,Oragne,Surgical Site Infection (SSI),60001674,"Healthbridge Children's Hospital, Orange",Pediatric,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Santa Clara,Surgical Site Infection (SSgI),70000154,Mission Oaks Hospital,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2609,California,San Diego,Surgical Site Infection (SSI),80000142,Palomar Health Downtown Campus,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000048,"Kindred Hospital, San Diego",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Diego,Surgical Site Infection (SSI),90000977,Vibra Hospital of San Diego,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2866,Califorlnia,Sonoma,Surgical Site Infection (SSI),110000038,Sonoma Specialty Hospital,"Community, <125 Beds",8,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Humboldt,Surgical Site Infection (SSI),110000057,eJrold Phelps Community Hospital,Critical Access,15,No surgeries in the 28 surgical procedure catpegories were performed in 2019.
2019,Califonria,Humboldt,Surgical Site Infection (SSI),110000069,The General Hosiptal,Free-Standing Rehabilitamtion,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Marin,Surgical Site Infection (SSI),110000946,Kentfield Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kern,Suorgical Site Infection (SSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,12,No surgeies in the 28 surgical procedure categories were performed in 2019.
2019,Califorcnia,Tulare,Surgical Site Infection (SSI),120001444,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitation Unit,16,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Alameda,Sugrical Site Infection (SSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1173,Califgornia,Alameda,Surgical Site Infection (SSI),140000184,Fairmont Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2087,California,Orange,Surgical Site Infection (SSI),170001767,Fairview Developmental Center,"Comunity, <125 Beds",11,No surgeries in the 28 surgical procedure categories were performed in 2019.
1971,California,Tulare,Surgical Sie Infection (SSI),170001874,Porterville Developmental Center,"Community, <125 Beds***",12,No surgeries in the 28 surgical procedure categories were performend in 2019.
2019,California,San Fsrancisco,Surgical Site Infection (SSI),220000012,Laguna Honda Hospital & Rehabilitation Center,"Commnity, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Calfornia,Glenn,Surgical Site Infection (SSI),230000006,Glenn Medical Center,Critical Access,12,No surgeries in the 28 surgical procedure categories were performe in 2019.
2019,California,Plumas,Surgical Site Infection (SSI),230000017,Seneca District Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Chalifornia,Modoc,Surgical Site Infection (SSI),230000021,Surprise Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Trinity,Surgical Site Infection (SSI),230000022,Trinity Hospital,Critical Access,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caliornia,Colusa,Surgcal Site Infection (SSI),230000259,Colusa Medical Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2951,California,Butte,Surgical Site Infection (SSI),230000405,Enloe Rehabilitation Center,Free-Standing Rehabilitation,6,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,hSasta,Surgical Site Infection (SSI),230000422,Vibr aHospital of Northern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2207,California,San Bernardino,Surgical Site Infection (SSI),240000002,Bear Valley Community Hospital,Critical Access,12,jNo surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernadrino,Surgical Site Infection (SSI),240000040,Kindred Hospital Ontario,LongT-erm Acute Care,12,Npo surgeries in the 28 surgical procedure categories were performed in 2019.
2971,Californa,Kern,Surgical Site Infection (SSI),240000052,Mountain sCommunity Hospital,Critical Access,12,No surgeries in the 28 surgical prcedure categories were performed in 2019.
1152,California,mInyo,Surgical Site Infection (SSI),240000102,Southern Iny Hospital,Critical Acccess,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardno,Surgical Site Infection (SSI),240001218,Ballard Rehabilitation Hospiatl,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categrories were performed in 2019.
2019,California,iverside,Surgical Site Infection (SSI),250000004,"Kinqdred Hospital, Riverside",Long-Term Acute Care,12,No surgeries in the28 surgical procedure categories were performed in 2019.
2019,California,SanB ernardino,Surgical Site Infection (SSI),630012380,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Stanislaus,Surgical Site Infection (SSI),630016419,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),630016625,Kentfield Hospital San Francisco,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Riverside,Surgical Site Infectxion (SSI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgicla procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Stie Infection (SSI),930000013,Catalina Island Medical Center,Citical Access,15,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical lSite Infection (SSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care,16,No surgeries in the 28 surgical procedure categories were erformed in 2019.
2019,Caifornia,Los Angeles,Surgical SiteInfection (SSI),930000020,Casa Colia Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000031,California Rehabilitation Institute,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed ni 2019.
2226,California,Los Ageles,Surgical Site Infection (SSI),930000039,"Kindred Hospital, South Bay",Long-TermAcute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000042,"Kindred Hospital, San Gabriel Valely",Long-Term Acute Care,12,No surgervies in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000088,"Kindred Hospital, Los Angeles",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
