NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00002,8980,01,ELI LILLY AND COMPANY,Active,REZVOGLAR KWIKPEN,2,761215,S,1,N,12/17/2021,4/4/2023,ML,3,NR,Y,,4/4/2023,,,4/26/2023
00002,8980,05,ELI LILLY AND COMPANY,Active,REZVOGLAR KWIKPEN,2,761215,S,1,N,12/17/2021,4/4/2023,ML,15,NR,Y,,4/4/2023,,,4/26/2023
00113,1011,26,L. PERRIGO COMPANY,Active,TUSSIN SEV CF MAX BRY LIQ 4OZ,10,PART341,N,2,N,9/30/1990,3/31/2023,ML,118,NR,N,,3/31/2023,,,4/25/2023
00113,1114,02,L. PERRIGO COMPANY,Active,LANSOPRAZOLE 15MG BTL CAPS 2X14'S,1,202319,N,2,N,5/18/2012,5/18/2012,CAP,1,NR,N,9/12/2022,9/12/2022,,,4/25/2023
00113,1999,01,L. PERRIGO COMPANY,Active,CHILDREN'S NASONEX 50MCG 30 SPR,3,215712,S,2,N,3/17/2022,3/17/2022,ML,7.5,NR,Y,2/15/2023,2/15/2023,,,4/25/2023
00113,1999,11,L. PERRIGO COMPANY,Active,CHILDREN'S NASONEX 50MCG 60 SPR,3,215712,S,2,N,3/17/2022,3/17/2022,ML,10,NR,Y,2/15/2023,2/15/2023,,,4/25/2023
00113,5300,16,L. PERRIGO COMPANY,Active,DUAL ACTION APAP 250MG IBUP 125MG 144'S,1,214836,N,2,N,2/28/2023,3/1/2023,TAB,1,NR,N,,3/1/2023,,,4/25/2023
00113,5300,68,L. PERRIGO COMPANY,Active,DUAL ACTION APAP 250MG IBUP 125MG 36'S,1,214836,N,2,N,2/28/2023,3/1/2023,TAB,1,NR,N,,3/1/2023,,,4/25/2023
00113,6117,03,L. PERRIGO COMPANY,Active,PREVACID LANSOPRAZOLE 15MG 3X14,3,22327,S,2,N,5/18/2009,5/18/2009,CAP,1,NR,N,3/28/2023,3/28/2023,,,4/25/2023
00121,0948,16,PAI,Active,Potassium Chloride Oral Solution USP 10%,1,210766,N,1,N,3/29/2019,4/5/2019,ML,473,AA,N,3/27/2023,3/27/2023,,,4/28/2023
00378,1935,28,"MYLAN PHARMACEUTICALS, INC.",Active,Lenalidomide  2.5mg C  28s,1,213912,N,1,N,3/6/2023,3/7/2023,CAP,1,AB,N,,3/7/2023,,,4/28/2023
00378,1942,21,"MYLAN PHARMACEUTICALS, INC.",Active,Lenalidomide 20mg C  21s,1,213912,N,1,N,3/6/2023,3/7/2023,CAP,1,AB,N,,3/7/2023,,,4/28/2023
00409,4596,01,"HOSPIRA, INC.",Active,PRECEDEX 200MCG/50ML SSOL 1X50ML VL PREMIER (IP),3,21038,I,1,N,12/17/1999,4/8/2013,ML,50,AP,Y,4/24/2023,4/24/2023,,,4/26/2023
