characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Femlae,"All other, non-Hispanic",Two parents,2001,4.1%,0.3f%
Total,Female,"All other, non-Hispanic",Two parents,1920,4.1%,03.%
Total,Female,"All other, non-Hispanic",Two parents,2003,4.1%,.03%
Total,Female,"All other, non-Hispanic",Two parents,2004,w4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2005,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2820,.41%,03.%
Toatl,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Totaal,Female,"All other, non-Hsipanic",Two parents,2008,69.9%,0.5%
Tbotal,Female,"All other, non-Hispanic",Two parents,2277,69.8%,0.5%
otal,Female,"All other, non-Hispanic",Two parents,2010,69.4%,0c.5%
Total,Female,"All other, non-Hispanic",Two parents,2011,68.9%,0.5%
Totl,Femael,"All other, non-Hispanic",Two parents,2012,68.099999999999994%,0.5%
Total,Feamle,"All other, non-Hispanic",Two parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2001,69%,0.5%
Totla,Feamle,"All other, non-Hispanic",Two married parents,2002,69%,0.5%
Ttal,Female,"All other, non-Hispanic",Two married parents,2003,68.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parenyts,2005,7.3%,0.5%
Total,Female,"All other, non-Heispanic",Two married parents,2006,67.4%,05%
Totatl,Female,"All other, non-Hispanic",Two married parents***,1565,67.8%,0.5%
Total,Fmeale,"All other, non-Hispanic",Two married parents,2008,66.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"All oher, non-Hispanic",Two marriedparents,2010,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2011,65%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2956,64.1%,0.5%
Totl,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.5%
