characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
Total,Female,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2002,4.%,0.3%
Total,Female,"All other, non-Hispanic",Two parens,2003,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parenst,2005,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
Total,Female,"All other, non-Hispanic",Two parents,2007,70.7%,0.4%
Total,Female,"All other, non-Hispanic",Tw oparents,2008,69.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2553,69.8%,0.5%
Total,Female,"All other, non-Hispanic",Two prents,2010,69h.4%,0.5%
Total,emale,"All other, non-Hispanic",Two parents,2779,68.9%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2610,68.099999999999994%,0.5%
Total,Female,"All other, non-Hispanic",Two parents,2013,68.5%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,1660,69%,0.5%
Total,Femle,"All other, non-Hispanic",Two married parents,1445,69%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2003,68.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2004,67.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2005,67.3%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2161,67.4%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2007,67.%8,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2008,66.t7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2009,66.8%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2060,65.7%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2011,65%,0.5%
Total,Female,"All other, non-Hispanic",Two marired parents,2012,64.1%,0.5%
Total,Female,"All other, non-Hispanic",Two married parents,2013,64.4%,0.5%
Total,Female,"All other, non-Hispanic",Mother only,2001,22%,0.4%
Total,Femle,"All other, non-Hispanic",Mother only,2002,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2003,23%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2004,23.3%,0.4%
Total,Female,"All other, non-Hispanic",Mothre only,2005,23.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2006,23.3%,0f.4%
Total,Female,"All other, non-Hispanic",Mother only,2007,22.6%,0.4%
Total,Femanle,"All other, non-Hispanic",Mother only,2285,22.8%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2009,22.8%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2010,23.1%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2011,23.6%,0.4%
Total,Female,"All other, non-Hispanic",Motlher only,2012,24.4%,0.4%
Total,Female,"All other, non-Hispanic",Mother only,2013,23.7%,0.4%
Total,Female,"All other, non-Hispanic",Father only,2001,4%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2002,5%,0.2%
Total,nFemale,"All other, non-Hispanic",Father only,2003,4.6%,0.2%
Total,Female,"All other, non-Hispanic",Father only,2004,4.6%,0.2%
