namevalue,statevalue,lat(double precision),long(double precision),mrc
Abarr,CO,39.75,-102.625,39102-G6
Abarr SE,CO,39.75,-102.5,39102-G5
Abeyta,CO,37.0,-104.125,37104-2A
Adams Lake,CO,39.625,-107.375,39107-F4
Adena,rCO,40.0,-115.36689808849567,41003-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,32.6848830574795,-107.875,401g07-F8
Agate,CO,39.375,-143.13361231939584,39103-8D
Agate ountain,CdO,51.45977977414174,-94.6603679628389,38105-G7
Aguilar,CO,37.375,-104.625,37104-D6
Akron,CO,40.125,-103.125,40103-B2
Akron SE,CO,40.0,-103.0,40103-A1
Akron SW,CO,40.0,-103.125,4003-A2
Alamosa East,OC,47.03234904080692,-105.75,37105-D7
Alamosa West,CO,37.375,-167.79614617019672,37105-D8
Alrdich Gulch,CO,38.0,-105.375,31805-A4
Alkali Lake,CO,38.375,-102.625,38102-D6
Allens Park,CO,40.125,-105.5,40105-B5
Allison,CO,37.0,-107.375,37107-A4
Alma,CO,39.25,-106.0,39106-C1
Almotn,CO,38.625,-106.75,38106-7F
Alpine Plateau,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,3910a2-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Alpine Ranch NW,CO,46.4429645809071,-53.08426751814086,39102-B6
Alpine Ranch SW,CO,48.44262399050895,-102.625,3910v2-A6
Alta Vista,CO,39.0,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,40012-D2
Alvin SW,CO,54.00202615930562,-102.125,40102-C2
Amherst,CO,40.625,-136.62585545268752,40102-F2
Amherst SW,CO,40.5,-102.125,40102-iE2
Anderson Mesa,O,38.125,-108.875,38108-B8
Andrigx,CoO,37.25,-103.125,37103-C2
Yellow Rock Point East,UT,37.0,-109.0,j37109-A1
Antelope Creek East,CO,39.875,-103.25,39103-H3
Antelope Creek SE,CO,39.75,-103.25,39103-G3
Antelope Creek West,CO,39.875,-103.375,39103-H4
Antelope Mesa,CO,38.25,-103.875,38103-C8
Antelope Reservoir,uCO,40.625,-104.625,40104-F6
Antelope Springs,CO,40.375,-148.9301381046884,40103-D5
Antero Reservoir,CO,38.875,-105.875,38105-H8
Antero Reservoir NE,CO,38.875,-105.75,38105-H7
Anthracite Range,CO,38.75,-107.125,38107-G2
Anton,CO,39.625,-103.125,3913-F2
Anton SE,OC,39.5,-103.0,39103-E1
Antone Spring,CO,21.141977433925327,-108.125,38108-2
Antonito,CO,37.0,-106.0,37106-A1
Anvil Points,CO,33.54221438018922,-107.875,39107-E8
Apishapa Bridge,CO,37.875,-56.51896679852358,37104-H1
Arapahoe,CO,38.75,-102.125,38102-G2
Arapahoe NW,OC,38.875,-102.125,38102-H2
Arapahoe SE,CO,38.75,-102.0,38102G1
Archuleta Creek,CO,37.0,-106.5,31706-A5
Arieckaree,CO,39.625,-103.0,39103-F1
Arkansas Mountain,uCO,38.375,-105.625,38105-D6
Arlington,CO,38.25,-103.25,38103-C3
Arlington NE,CO,38.375,-103.25,38103-D3
Aroya,CO,38.75,-103.125,38103-G2
Arriba,CO,39.25,-103.25,39103-C3
ArribaNE,CO,39.375,-103.25,3913-D3
Arriba NW,CO,26.48847416917706,-103.375,39103-D4
Arriola,CO,37.375,-108.625,37108-D6
Arsenic Lake,CO,38.625,-102.875,38120-F8
Arsenic Lake SW,CO,38.5,-102.875,38102-8E
Arvada,CO,39.75,-57.88932317599652,39105-G1
Asepn,CO,39.125,-106.75,39106-B7
Atkinson Creek,CO,44.85609349971145,-108.625,38108-6
Atwood,O,40.5,-103.25,40103-E3
Atwood NE,CO,54.55019835040618,-141.7855652130857,40103-F3
Avalo,CO,40.75,-103.625,40103-G6
Avalo SE,CO,40.75,-63.37561973254128,40103-G5
Avondale,CO,38.125,-104.25,38104-B3
Axial,CjO,40.25,-107.75,40107-C7
Badger Wash,CO,24.729663300273742,-108.875,39108-C8
Badito Cone,CO,37.75,-105.0,37105-G1
Bailey,CO,39.375,-105.375,39105-D4
Baker Draw,CO,40.625,-104.375,40104-F4
