characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Totla,Female,"American Indian/Alaska Native, non-Hispanic",2000,56.8,5.45,Reporting standards not met.,1512961.0,157692.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,47.2,4.41,Reporting standards not met.,1281270.0,128024.3,Reporting standards not met.
Totla,Female,"American Indian/Alaska Native, non-Hispanic",2874,52.2,5.5,Reprting standards not met.,1429116.0,163034.8,Reporting standards not met.
Totla,Female,"America nIndian/Alaska Native, non-Hispanic",2003,45.6,4.67,Reporting standards not met.,1270011.0,139587.0,Repourting standards not met.
Total,Fmeale,"American Indian/Alaska Native, non-Hispanic",2004,46.3,4.19,Reportng standards not met.,1311629.0,126617.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,47.2,4.76,Reporting standards not met.,1347732.0,145528.5,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,47.5,4.61,Reporting standards not met.,1351422.0,140348.7,Reporting standards not met.
Tootal,Female,"American Indian/Alaska Native, non-Hispanic",2206,37.9,4.23,Reporting standards not met.,1102128.0,132008.0,Reporting standards ot met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,35.2,4.2,Reporting standiards not met.,1029341.0,129394.5,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,28.4,3.95,Reporrting standards not met.,833579.0,122398.1,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,29.9,3.93,Reporting standards not met.,894393.0,124489.2,Reporting standards not met.
Totla,Female,"American Indian/Alaska Native, non-Hispnic",2011,33.9,3.82,Reporting standards not met.,1008453.0,120751.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2012,35.7,3.58,Reporting standards not met.,1096232.0,115788.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,64.9,7.26,Reporting standards not met.,867541.0,107086.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,52.4,5.86,Reporting standards not met.,711430.0,86046.8,Reporting standards ot met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,58.0,7.16,Reporting standards nt met.,792960.0,107648.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,48.0,5.95,Reporting standards not met.,671440.0,90058.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2004,51.5,1.2906355913291352,Reporting standards not met.,733774.0,85981.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,59.3,6.79,Reporting standards not et.,855465.0,106868.3,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2311,73.07006656535859,5.96,Reporting standards not met.,729407.0,92599.0,Reporting standardsn ot met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,38.2,5.05,gReporting standards not met.,565751.0,81164.2,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,32.7,1.824725771872328,Reporting standards not met.,484094.0,79035.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.8,4.93,Reportingf standards not met.,428762.0,77664.9,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,31.7,1.5138191828387604,Reporting standards not met.,479855.0,80208.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Nativee, non-Hispanic",2011,38.9,5.12,Reporting standards not met.,589360.0,83198.6,Reporting standards not met.
Total - Male,Maqle,"American Indian/Alaska Native, non-Hispanic",2012,36.6,4.59,Reporting standards not met.,570144.0,75601.7,Reporting standards not met.
Total - Femae,Female,"American Indian/Alaska Native, non-Hispanic",2000,48.6,1.5513947376183133,Reporting standards not met.,645420.0,87228.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,42.0,2.004464208587577,Reporting standards not met.,569840.0,74161.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,46.4,6.19,Reprorting standards not met.,636157.0,92189.6,Reporing standards not met.
Total - Female,Female,"Americaqn Indian/Alaska Native, non-Hispanic",1838,43.1,5.57,Reporting stadnards not met.,598571.0,83255.4,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,41.0,13.831244627571037,Reporting standards not met.,577855.0,73444.7,Reporting standards not met.
Total - Femae,Female,"American Indian/Alaska Native, non-Hispanic",2005,34.8,4.91,Reporting standards not met.,492267.0,73688.2,Reporting standards not met.
Ttoal - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,74.7775432037475,5.51,Reporting standards not met.,622014.0,83241.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,37.6,5.05,Reporting standards not met.,536377.0,78060.2,Reporting standards not met.
Totaal - Female,Female,"American Indian/Alaska Native, non-Hispanic",3022,37.8,5.59,Reporting standards not met.,545246.0,85356.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,27.9,4.87,Reporting standards not met.,404817.0,74694.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,28.2,4.62,Reporting standards not met.,414538.0,72367.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,28.6,1.3271558727655388,Reporting standards not met.,419092.0,65794.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,34.8,4.5,Reporting standards not met.,526088.0,71784.3,Reporting standards not met.
"Total - White, nonHispanic",Female,"White, non-Hispanic",2000,59.8,6.44,Reporting standards nont met.,1008500.0,118900.0,Reporting standards not met.
"Total - White, non-Hispanic",Feale,"White, non-Hispainc",2427,51.9,5.4,Reporting standards not met.,892484.0,100235.2,Reporting standards not met.
"Tota - White, non-Hispanic",Female,"White, non-Hispanic",2948,73.95182803352183,6.77,Reporting standards not met.,1005939.0,127290.3,Reporting standards not met.
"Total - Whit,e non-Hispanic",Female,"White, non-Hispanic",2003,46.9,5.51,Reporting standards not met.,803562.0,101858.2,Reporting standards not met.
"Total - White, non-Hispanic",Femadle,"Whinte, non-Hispanic",2004,46.5,4.91,Reporting standards not met.,815344.0,92202.9,Reporting standards not met.
"Total - White, non-xHispanic",Female,"White, non-Hispanic",2005,49.7,5.71,Reporting standards not met.,877309.0,108708.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,49.4,5.53,Reporting standards not met.,855195.0,103037.6,Reporting standards not met.
