NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Units Per Package Size,Therapeutic Equivalent Code,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date,Date Reported to CMS
00074,3575,01,ABBVIE INC,Active,Lupron Depot PED 6M 45mg,3,20263,S,1,N,4/14/2023,4/27/2023,EA,1,NR,Y,,4/27/2023,,,5/25/2023
00074,7098,02,ABBVIE INC,Active,Vuity 2.5 mL (Inner Pack),3,214028,S,1,Y,10/28/2021,12/6/2021,ML,2.5,NR,Y,,12/6/2021,,,5/25/2023
00121,4948,40,PAI,Active,Potassium Chloride Oral Solution USP 10%,1,210766,N,1,N,3/29/2019,4/5/2019,ML,15,AA,N,4/12/2023,4/12/2023,,,5/25/2023
00121,4948,50,PAI,Active,Potassium Chloride Oral Solution USP 10%,1,210766,N,1,N,3/29/2019,4/5/2019,ML,15,AA,N,4/12/2023,4/12/2023,,,5/25/2023
00121,4948,80,PAI,Active,Potassium Chloride Oral Solution USP 10%,1,210766,N,1,N,3/29/2019,4/5/2019,ML,15,AA,N,4/12/2023,4/12/2023,,,5/25/2023
00121,4948,94,PAI,Active,Potassium Chloride Oral Solution USP 10%,1,210766,N,1,N,3/29/2019,4/5/2019,ML,15,AA,N,4/12/2023,4/12/2023,,,5/25/2023
00254,1016,36,PAR PHARMACEUTICAL INC.,Active,Posaconazole OS 200mg/5mL 105mL,4,22003,I,1,N,9/15/2006,3/30/2023,ML,1,AB,N,4/1/2023,4/1/2023,,,5/26/2023
16571,0805,10,"RISING PHARMACEUTICALS, INC",Active,CYPROHEPTADINE HCL TABS USP 4MG 1000CT,1,207555,N,1,N,1/31/2017,3/15/2022,TAB,1000,AA,N,,3/15/2022,,,5/25/2023
16571,0880,41,"RISING PHARMACEUTICALS, INC",Active,Esomeprazole Magnesium DR Cap 20 mg 14ct,1,216349,N,2,N,6/24/2022,4/18/2023,CAP,14,NR,N,,4/18/2023,,,5/25/2023
16714,0094,05,NORTHSTAR RX LLC,Active,LEVALBU I/S 0.31MG/3ML,1,207820,N,1,N,11/5/2018,11/25/2020,ML,3,AN,Y,11/25/2020,11/25/2020,7/31/2023,,5/24/2023
21922,0051,06,ENCUBE ETHICALS PVT. LTD.,Active,Adapalene 0.3% Topical Gel 45g,1,200298,N,1,N,6/14/2012,5/17/2023,GM,45,AB,N,5/18/2023,5/18/2023,,,5/28/2023
21922,0051,50,ENCUBE ETHICALS PVT. LTD.,Active,Adapalene 0.3% Topical Gel Pump,1,200298,N,1,N,6/14/2012,5/17/2023,GM,45,AB,N,5/18/2023,5/18/2023,,,5/28/2023
23155,0837,11,"HERITAGE PHARMACEUTICALS, INC.",Active,"Cyclosporine Caps 25mg, 10ct (inner)",1,216046,N,1,N,8/2/2022,1/27/2023,CAP,1,AB,N,,1/27/2023,,,5/22/2023
23155,0838,11,"HERITAGE PHARMACEUTICALS, INC.",Active,"Cyclosporine Caps 50mg, 10ct (inner) ",1,216046,N,1,N,8/2/2022,1/27/2023,CAP,1,AB,N,,1/27/2023,,,5/22/2023
23155,0839,11,"HERITAGE PHARMACEUTICALS, INC.",Active,"Cyclosporine Caps 100mg, 10ct (inner)",1,216046,N,1,N,8/2/2022,1/27/2023,CAP,1,AB,N,,1/27/2023,,,5/22/2023
24338,0185,04,AZURITY PHARMACEUTICALS INC.,Active,"SKLICE LOTION (Ivermectin Lotion 0.5%, 4OZ) - OTC",3,202736,I,2,N,2/7/2012,2/7/2012,GM,117,AT,N,,2/7/2012,,,5/22/2023
28595,0240,35,ALLEGIS PHARMACEUTICALS LLC,Active,Augmentin Oral Suspension 100 ML,3,50575,S,1,N,2/15/2023,2/23/2023,ML,1,AB,N,,2/23/2023,,,5/28/2023
28595,0240,36,ALLEGIS PHARMACEUTICALS LLC,Active,Augmentin Oral Suspension 150 ML,3,50575,S,1,N,2/15/2023,2/23/2023,ML,1,AB,N,,2/23/2023,,,5/28/2023
31722,0044,12,"CAMBER PHARMACEUTICALS, INC.",Active,Zileuton ER Tabs 600mg 120ct,1,215742,N,1,N,10/11/2022,4/17/2023,TAB,120,AB,N,,4/17/2023,,,5/23/2023
31722,0676,32,"CAMBER PHARMACEUTICALS, INC.",Active,Roflumilast  TAB 250mcg 20ct,1,208213,N,1,N,4/18/2023,5/11/2023,TAB,20,AB,N,,5/11/2023,,,5/26/2023
31722,0676,36,"CAMBER PHARMACEUTICALS, INC.",Active,Roflumilast  TAB 250mcg 28ct,1,208213,N,1,N,4/18/2023,5/11/2023,TAB,28,AB,N,,5/11/2023,,,5/26/2023
35573,0460,38,BUREL PHARMACEUTICALS,Active,Tadalafil Tablets,1,215556,N,1,N,11/4/2021,4/20/2023,TAB,30,A1,N,4/20/2023,4/20/2023,,,5/26/2023
35573,0461,30,BUREL PHARMACEUTICALS,Active,Tadalafil Tablets,1,215556,N,1,N,11/4/2021,4/20/2023,TAB,30,A1,N,4/20/2023,4/20/2023,,,5/26/2023
35573,0462,30,BUREL PHARMACEUTICALS,Active,Tadalafil Tablets,1,215556,N,1,N,11/4/2021,4/20/2023,TAB,30,A1,N,4/20/2023,4/20/2023,,,5/26/2023
